learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.125,9.508803486824036E-8,1000.0,59.0,17.985893573694664,15.637860082304519,14.40501043841335,1000.0,326720.0
2000.0,2.265625,1.9199247213287486E-7,2000.0,68.2,36.33582651312523,35.365853658536594,35.49695740365112,2000.0,328400.0
3000.0,3.046875,2.5870491905758777E-7,3000.0,69.69999999999999,39.39272712725527,40.935672514619874,38.28920570264765,3000.0,330080.0
4000.0,4.28125,4.091519642517798E-7,4000.0,69.69999999999999,39.22935603173711,34.97854077253217,36.74321503131523,4000.0,471128.0
5000.0,5.09375,5.152765596802863E-7,5000.0,74.5,48.75649084449303,47.74590163934426,47.74590163934426,5000.0,504888.0
6000.0,5.859375,6.196439951761729E-7,6000.0,78.4,56.61274058837945,58.46153846153847,55.18672199170125,6000.0,526928.0
7000.0,6.640625,7.371329249710673E-7,7000.0,75.6,51.13060545975286,51.491053677932406,50.70707070707071,7000.0,581312.0
8000.0,7.46875,8.688712518455254E-7,8000.0,76.2,52.16734195125089,53.87596899224807,50.2092050209205,8000.0,614920.0
9000.0,8.328125,1.0130241409771973E-6,9000.0,76.7,53.28564325468748,51.45833333333334,52.15605749486654,9000.0,648400.0
10000.0,9.109375,1.1527839685893722E-6,10000.0,78.3,56.59548593053678,56.07287449392713,56.42570281124498,10000.0,691504.0
11000.0,9.984375,1.319437934499648E-6,11000.0,80.7,61.37713526407633,60.772357723577244,60.04140786749483,11000.0,736224.0
12000.0,10.828125,1.5010301204812196E-6,12000.0,83.3,66.53789433187995,65.49586776859503,65.35269709543567,12000.0,831928.0
13000.0,11.625,1.6908995328574546E-6,13000.0,81.6,63.107473543647465,62.13991769547324,62.37218813905929,13000.0,921016.0
14000.0,12.4375,1.8938144138600265E-6,14000.0,82.1,64.24005114272015,64.9706457925636,61.83368869936034,14000.0,965368.0
15000.0,13.25,2.1107702761785024E-6,15000.0,82.89999999999999,65.8,65.17311608961303,63.53944562899786,15000.0,1032168.0
16000.0,14.046875,2.325877657211903E-6,16000.0,84.6,69.09665922845997,68.88888888888889,66.66666666666666,16000.0,1043440.0
17000.0,14.84375,2.545157557405117E-6,17000.0,86.3,72.58618343645196,73.70441458733205,73.0844793713163,17000.0,1063680.0
18000.0,15.671875,2.7873939446484044E-6,18000.0,88.6,77.17443536761172,76.96969696969698,76.8762677484787,18000.0,1130696.0
19000.0,16.484375,3.0362926190719005E-6,19000.0,86.6,73.19324469766381,72.08333333333333,72.37113402061856,19000.0,1184136.0
20000.0,17.3125,3.29918140778318E-6,20000.0,88.6,77.13341249719183,76.59137577002053,75.10917030567686,20000.0,1227096.0
21000.0,18.078125,3.5511821948198804E-6,21000.0,86.2,72.39149658094694,71.60493827160494,71.48760330578511,21000.0,1272296.0
22000.0,18.84375,3.8075056121063725E-6,22000.0,87.3,74.58353012752264,74.49799196787149,72.45119305856834,22000.0,1294120.0
23000.0,19.640625,4.081095879276593E-6,23000.0,88.5,76.98619171502902,77.62645914396887,77.88461538461539,23000.0,1327128.0
24000.0,20.46875,4.377122774409751E-6,24000.0,89.5,78.9825134511914,79.45205479452055,78.7878787878788,24000.0,1381776.0
25000.0,21.3125,4.685728733117382E-6,25000.0,88.5,76.96867740126572,77.66990291262135,75.84033613445378,25000.0,1413816.0
