learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.875,3.546657454636362E-8,1000.0,60.5,20.96901985578347,18.72427983539094,17.536534446764087,1000.0,156680.0
2000.0,1.8125,7.350722120867835E-8,2000.0,68.8,37.55203996669441,36.58536585365852,36.71399594320486,2000.0,156848.0
3000.0,2.5,1.0594686803718407E-7,3000.0,64.7,29.380226463409752,31.189083820662773,28.105906313645622,3000.0,182392.0
4000.0,3.40625,1.4910209251360758E-7,4000.0,70.0,40.021832053132655,35.62231759656651,37.369519832985375,4000.0,184072.0
5000.0,4.09375,1.8424658466958335E-7,5000.0,72.3,44.49075781137278,43.23770491803278,43.23770491803278,5000.0,197600.0
6000.0,4.75,2.1796473043246398E-7,6000.0,75.1,49.955381906760245,52.11538461538462,48.3402489626556,6000.0,198608.0
7000.0,5.4375,2.5340802191446223E-7,7000.0,74.1,48.119065742558384,48.508946322067594,47.676767676767675,7000.0,199280.0
8000.0,6.203125,2.9291223553526733E-7,8000.0,74.7,49.17555926973515,50.968992248062015,47.071129707112966,8000.0,199448.0
9000.0,6.84375,3.2607815228402617E-7,9000.0,75.6,51.00342574408528,49.166666666666664,49.89733059548255,9000.0,200120.0
10000.0,7.53125,3.6588249107201895E-7,10000.0,74.3,48.57572774349493,47.97570850202429,48.39357429718875,10000.0,223800.0
11000.0,8.15625,4.063911425570647E-7,11000.0,72.6,45.175438596491226,44.30894308943089,43.27122153209109,11000.0,250536.0
12000.0,8.875,4.55616455939081E-7,12000.0,78.60000000000001,57.139652630904315,55.78512396694215,55.601659751037346,12000.0,264736.0
13000.0,9.59375,5.052478647687369E-7,13000.0,80.10000000000001,60.17196106058667,59.053497942386834,59.30470347648262,13000.0,266920.0
14000.0,10.234375,5.496794538986352E-7,14000.0,79.60000000000001,59.19216489565997,60.07827788649708,56.50319829424307,14000.0,268096.0
15000.0,10.890625,5.971206377984748E-7,15000.0,79.2,58.14569323207811,57.63747454175153,55.65031982942431,15000.0,279440.0
16000.0,11.53125,6.439612803256346E-7,16000.0,76.9,53.59544873803728,53.333333333333336,50.0,16000.0,282632.0
17000.0,12.234375,6.994171740694178E-7,17000.0,82.1,64.18596089667149,65.6429942418426,64.83300589390963,17000.0,304872.0
18000.0,12.921875,7.541685934282011E-7,18000.0,86.5,73.0136011450229,72.72727272727273,72.61663286004057,18000.0,307840.0
19000.0,13.609375,8.108650541139973E-7,19000.0,82.69999999999999,65.35537772651175,63.95833333333333,64.3298969072165,19000.0,318776.0
20000.0,14.265625,8.674454228538605E-7,20000.0,82.89999999999999,65.79616917094714,64.8870636550308,62.66375545851527,20000.0,333272.0
21000.0,14.90625,9.232262123583091E-7,21000.0,81.10000000000001,62.18729493109686,61.111111111111114,60.95041322314051,21000.0,336576.0
22000.0,15.53125,9.797794821982583E-7,22000.0,80.5,60.98876476425211,60.84337349397592,57.700650759219094,22000.0,349768.0
23000.0,16.203125,1.0408050729893148E-6,23000.0,82.5,64.99579949593951,65.9533073929961,66.34615384615384,23000.0,351096.0
24000.0,16.875,1.1020378507156339E-6,24000.0,83.2,66.41289744738019,67.12328767123287,66.06060606060605,24000.0,352288.0
25000.0,17.5,1.1588200706885092E-6,25000.0,82.89999999999999,65.72541851067923,66.79611650485437,64.07563025210084,25000.0,351184.0
26000.0,18.1875,1.2238800667950676E-6,26000.0,78.9,57.81822252786797,60.56074766355142,57.200811359026375,26000.0,365800.0
27000.0,18.9375,1.2967312229900724E-6,27000.0,83.1,66.2140549531395,66.46825396825396,65.36885245901638,27000.0,375472.0
28000.0,19.6875,1.3726076253482864E-6,28000.0,81.5,62.747877635839345,61.61825726141078,59.782608695652165,28000.0,391064.0
29000.0,20.484375,1.4559425633504159E-6,29000.0,84.39999999999999,68.79101181140169,69.3516699410609,68.67469879518072,29000.0,404240.0
30000.0,21.21875,1.5331274739259648E-6,30000.0,82.6,65.18927829771569,66.08187134502923,64.5621181262729,30000.0,406272.0
31000.0,22.0,1.615706359088007E-6,31000.0,83.6,67.20944368022009,66.86868686868686,66.93548387096774,31000.0,408584.0
32000.0,22.734375,1.6934581799432637E-6,32000.0,85.39999999999999,70.76960038439978,71.484375,70.02053388090349,32000.0,409256.0
33000.0,23.40625,1.7668093076079259E-6,33000.0,83.0,65.97754517981866,67.24470134874758,65.58704453441294,33000.0,422008.0
34000.0,24.046875,1.838813089610388E-6,34000.0,82.19999999999999,64.38803437955153,62.91666666666666,62.208067940552006,34000.0,434464.0
35000.0,24.765625,1.924167510070321E-6,35000.0,83.7,67.27012786737775,67.59443339960238,66.5983606557377,35000.0,459040.0
36000.0,25.4375,2.004503201331116E-6,36000.0,85.1,70.12854748558551,70.02012072434607,68.76310272536688,36000.0,462192.0
37000.0,26.140625,2.0888504675692985E-6,37000.0,85.6,71.12237694923955,70.24793388429752,69.2963752665245,37000.0,463704.0
38000.0,26.84375,2.173503324027277E-6,38000.0,84.89999999999999,69.82196960612673,69.55645161290323,70.79303675048355,38000.0,465384.0
39000.0,27.515625,2.256508806668636E-6,39000.0,84.2,68.39241417940305,69.20077972709551,67.68916155419222,39000.0,477552.0
40000.0,28.203125,2.341787557169381E-6,40000.0,83.8,67.59961119533435,68.84615384615384,67.20647773279352,40000.0,479480.0
41000.0,28.875,2.425135106831375E-6,41000.0,86.0,72.01354544400509,71.07438016528926,69.95708154506437,41000.0,479520.0
42000.0,29.671875,2.526591641880158E-6,42000.0,85.0,70.0038395085429,70.17892644135189,69.63562753036436,42000.0,492144.0
43000.0,30.328125,2.6103939873994225E-6,43000.0,85.0,69.92457082362566,69.51219512195121,68.87966804979253,43000.0,493616.0
