learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.421875,1.0190124157816172E-8,1000.0,67.10000000000001,34.22473150095565,32.3045267489712,31.315240083507312,1000.0,93368.0
2000.0,0.640625,1.548430494343241E-8,2000.0,68.10000000000001,36.02342465203963,35.16260162601627,35.29411764705883,2000.0,93552.0
3000.0,0.875,2.2382397825519242E-8,3000.0,67.10000000000001,34.18051743316022,35.867446393762194,32.99389002036661,3000.0,113768.0
4000.0,1.171875,3.124900912452075E-8,4000.0,67.10000000000001,34.19315608823318,29.399141630901294,31.315240083507312,4000.0,115448.0
5000.0,1.359375,3.739185760625534E-8,5000.0,71.39999999999999,42.64583199640633,41.39344262295081,41.39344262295081,5000.0,126640.0
6000.0,1.5625,4.408150238709317E-8,6000.0,72.5,44.95993082964397,47.11538461538461,42.9460580912863,6000.0,127304.0
7000.0,1.84375,5.3419175350831607E-8,7000.0,70.3,40.67593480345157,40.95427435387673,39.99999999999999,7000.0,128336.0
8000.0,2.203125,6.534990259549683E-8,8000.0,71.8,43.794247082084304,45.348837209302324,41.0041841004184,8000.0,128328.0
9000.0,2.484375,7.474869360319441E-8,9000.0,72.6,45.37458283326488,42.91666666666666,43.737166324435314,9000.0,129176.0
10000.0,2.75,8.488643086618846E-8,10000.0,73.2,46.41886056108249,45.74898785425101,46.18473895582329,10000.0,147528.0
11000.0,2.9375,9.306421917345787E-8,11000.0,75.4,50.81259197645404,50.0,49.06832298136646,11000.0,168592.0
12000.0,3.1875,1.0471454718046717E-7,12000.0,81.10000000000001,62.12971274685818,60.95041322314051,60.78838174273859,12000.0,180136.0
13000.0,3.421875,1.1576915211561652E-7,13000.0,77.0,53.96961994916645,52.674897119341566,52.965235173824134,13000.0,182320.0
14000.0,3.765625,1.3208572959734334E-7,14000.0,78.8,57.632538210654225,58.51272015655577,54.79744136460555,14000.0,183480.0
15000.0,4.09375,1.484123964069618E-7,15000.0,77.60000000000001,55.0942019397701,54.37881873727088,52.23880597014926,15000.0,192336.0
16000.0,4.328125,1.6026832680735322E-7,16000.0,77.8,55.49175595047156,55.15151515151515,51.948051948051955,16000.0,195536.0
17000.0,4.609375,1.7574632592085333E-7,17000.0,82.89999999999999,65.75205287402362,67.17850287907868,66.40471512770137,17000.0,212728.0
18000.0,4.828125,1.8794639294760093E-7,18000.0,85.8,71.61907198362701,71.31313131313131,71.19675456389452,18000.0,215584.0
19000.0,5.078125,2.024222501657075E-7,19000.0,82.1,64.14377744303066,62.70833333333332,63.09278350515463,19000.0,223824.0
20000.0,5.3125,2.167296932182378E-7,20000.0,82.6,65.21558341862844,64.27104722792608,62.00873362445414,20000.0,235968.0
21000.0,5.53125,2.302449300057358E-7,21000.0,80.2,60.44098314146545,59.25925925925927,59.09090909090909,21000.0,238824.0
22000.0,5.796875,2.473912900313735E-7,22000.0,80.30000000000001,60.60567278311923,60.4417670682731,57.26681127982647,22000.0,249520.0
23000.0,6.046875,2.636159640840358E-7,23000.0,82.39999999999999,64.73016572814171,65.75875486381322,66.15384615384615,23000.0,250864.0
24000.0,6.359375,2.839782973751425E-7,24000.0,81.8,63.6697540721814,64.3835616438356,63.23232323232322,24000.0,251872.0
25000.0,6.6875,3.0531189016376927E-7,25000.0,83.39999999999999,66.65715927031401,67.76699029126213,65.12605042016806,25000.0,251320.0
26000.0,6.984375,3.254898668577273E-7,26000.0,79.0,58.02149299558626,60.74766355140188,57.40365111561867,26000.0,262728.0
27000.0,7.234375,3.429925224433342E-7,27000.0,84.5,69.02874132804757,69.24603174603175,68.23770491803278,27000.0,270624.0
28000.0,7.421875,3.567209932953119E-7,28000.0,81.2,61.90584259007851,60.99585062240664,59.13043478260871,28000.0,283024.0
29000.0,7.703125,3.7743593566119667E-7,29000.0,84.2,68.3893788312873,68.95874263261295,68.27309236947791,29000.0,284704.0
30000.0,7.9375,3.9475950567672646E-7,30000.0,81.69999999999999,63.36776363199614,64.32748538011694,62.72912423625253,30000.0,285712.0
31000.0,8.140625,4.098665926398502E-7,31000.0,82.39999999999999,64.79831031889529,64.44444444444444,64.51612903225805,31000.0,287488.0
32000.0,8.4375,4.3197198667460015E-7,32000.0,85.1,70.2202502298437,70.8984375,69.40451745379876,32000.0,287824.0
33000.0,8.578125,4.4249913318910527E-7,33000.0,81.3,62.60329091039988,63.96917148362235,62.14574898785424,33000.0,289368.0
34000.0,8.8125,4.6111976391532347E-7,34000.0,82.5,64.99411901199402,63.54166666666665,62.84501061571124,34000.0,307104.0
35000.0,9.109375,4.861479262924855E-7,35000.0,83.8,67.54183496826313,67.79324055666002,66.80327868852459,35000.0,325880.0
36000.0,9.375,5.087559434792232E-7,36000.0,84.5,68.9199377596689,68.81287726358148,67.50524109014674,36000.0,329000.0
37000.0,9.5625,5.247797364265553E-7,37000.0,85.6,71.09640953176182,70.24793388429752,69.2963752665245,37000.0,330344.0
38000.0,9.8125,5.462643134200737E-7,38000.0,84.1,68.23963693310748,67.94354838709677,69.24564796905221,38000.0,332192.0
39000.0,10.078125,5.697689549480046E-7,39000.0,83.6,67.18582427608726,68.03118908382065,66.46216768916155,39000.0,342048.0
40000.0,10.5,6.073670293618407E-7,40000.0,83.0,66.00122395593758,67.3076923076923,65.58704453441294,40000.0,344496.0
41000.0,10.828125,6.366283115413453E-7,41000.0,84.89999999999999,69.80531426468941,68.80165289256198,67.59656652360513,41000.0,344712.0
42000.0,11.1875,6.695778251418636E-7,42000.0,85.39999999999999,70.79158797733747,70.9741550695825,70.44534412955466,42000.0,354408.0
43000.0,11.5625,7.046312546460991E-7,43000.0,83.5,66.95982314494424,66.46341463414633,65.76763485477177,43000.0,361328.0
44000.0,11.78125,7.258188432186013E-7,44000.0,84.89999999999999,69.80096636907619,68.21052631578947,69.61770623742454,44000.0,374400.0
45000.0,12.0,7.475017143102983E-7,45000.0,84.0,67.99897596723095,67.0103092783505,67.07818930041152,45000.0,383152.0
46000.0,12.203125,7.682735384959313E-7,46000.0,83.3,66.48928058304638,64.46808510638297,64.76793248945147,46000.0,395288.0
47000.0,12.46875,7.965982917489277E-7,47000.0,83.2,66.39999999999999,65.92292089249491,66.06060606060605,47000.0,412192.0
48000.0,12.75,8.270816437693106E-7,48000.0,85.1,70.1132087582339,70.43650793650794,69.02286902286902,48000.0,418960.0
49000.0,13.015625,8.566262679071062E-7,49000.0,85.1,70.1565479337916,70.72691552062868,69.40451745379876,49000.0,429944.0
50000.0,13.28125,8.869311811091999E-7,50000.0,83.8,67.63314366089124,65.82278481012658,66.0377358490566,50000.0,441008.0
