learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.171875,2.777410878075494E-9,1000.0,55.400000000000006,10.766091114623562,8.230452674897126,6.889352818371614,1000.0,62464.0
2000.0,0.28125,4.544854164123536E-9,2000.0,51.0,3.0424871778636216,0.4065040650406508,0.6085192697768768,2000.0,62464.0
3000.0,0.390625,6.312297450171577E-9,3000.0,60.9,21.970416610123486,23.781676413255358,20.366598778004068,3000.0,62464.0
4000.0,0.46875,7.574756940205893E-9,4000.0,66.9,34.488136613016884,28.96995708154507,30.897703549060545,4000.0,62464.0
5000.0,0.578125,9.342652952505484E-9,5000.0,58.4,18.0818551309115,14.754098360655728,14.754098360655728,5000.0,62480.0
6000.0,0.640625,1.0352879245248108E-8,6000.0,66.60000000000001,33.85693294201987,35.76923076923078,30.705394190871377,6000.0,62480.0
7000.0,0.703125,1.136284683727556E-8,7000.0,56.599999999999994,13.832469672603073,13.717693836978121,12.323232323232313,7000.0,62464.0
8000.0,0.796875,1.287779822531674E-8,8000.0,54.300000000000004,10.831356143856146,11.434108527131793,4.393305439330548,8000.0,62464.0
9000.0,0.9375,1.5150225307378508E-8,9000.0,53.5,9.54644838506369,3.1250000000000027,4.517453798767971,9000.0,62464.0
10000.0,1.046875,1.691766859342655E-8,10000.0,55.7,11.681911339005902,10.323886639676122,11.044176706827319,10000.0,62464.0
11000.0,1.109375,1.7927636185454002E-8,11000.0,56.8,14.105745371254056,12.195121951219502,10.559006211180112,11000.0,62464.0
12000.0,1.203125,1.944258757349518E-8,12000.0,61.199999999999996,23.737341971193153,19.834710743801647,19.502074688796675,12000.0,62464.0
13000.0,1.265625,2.045255516552263E-8,13000.0,66.2,32.975073866227774,30.452674897119348,30.87934560327199,13000.0,62464.0
14000.0,1.34375,2.171533803145091E-8,14000.0,68.0,35.79454253611558,37.37769080234835,31.76972281449894,14000.0,62480.0
15000.0,1.40625,2.2725564324193534E-8,15000.0,64.1,25.921951863712895,26.883910386965375,23.454157782515992,15000.0,62480.0
16000.0,1.46875,2.3735531916220985E-8,16000.0,62.2,20.254510472397087,23.636363636363637,18.181818181818173,16000.0,62464.0
17000.0,1.625,2.6260450896289617E-8,17000.0,60.6,21.858575922128303,24.37619961612284,22.593320235756384,17000.0,62464.0
18000.0,1.75,2.8280903481774863E-8,18000.0,63.9,26.8537805046076,27.070707070707073,26.774847870182555,18000.0,62480.0
19000.0,1.8125,2.9290871073802314E-8,19000.0,65.60000000000001,31.64594187520616,28.33333333333334,29.07216494845361,19000.0,62464.0
20000.0,1.90625,3.080621051291625E-8,20000.0,67.2,32.71187553338149,32.64887063655031,28.384279475982538,20000.0,62480.0
21000.0,1.96875,3.18161781049437E-8,21000.0,68.7,37.0687297936337,35.59670781893005,35.330578512396706,21000.0,62464.0
22000.0,2.046875,3.307863759497801E-8,22000.0,67.30000000000001,34.044389940861834,34.33734939759037,29.067245119305863,22000.0,62464.0
23000.0,2.109375,3.4088605187005464E-8,23000.0,63.7,28.599527930763173,29.377431906614788,30.192307692307697,23000.0,62464.0
24000.0,2.203125,3.560355657504664E-8,24000.0,65.60000000000001,30.12674683132922,32.68101761252447,30.505050505050512,24000.0,62464.0
25000.0,2.28125,3.6866016065080955E-8,25000.0,65.8,32.51323095866733,33.59223300970874,28.151260504201687,25000.0,62464.0
26000.0,2.359375,3.812847555511527E-8,26000.0,67.60000000000001,35.00449351649764,39.43925233644861,34.27991886409737,26000.0,62464.0
27000.0,2.421875,3.913844314714272E-8,27000.0,65.7,31.062481911438404,31.944444444444454,29.713114754098363,27000.0,62464.0
