learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.625,2.3372316112120948E-8,1000.0,69.0,37.99826395139063,36.21399176954731,35.28183716075155,1000.0,144552.0
2000.0,1.09375,4.090155319621166E-8,2000.0,67.7,35.3581120566127,34.34959349593497,34.482758620689665,2000.0,144552.0
3000.0,1.65625,6.193663769712052E-8,3000.0,69.69999999999999,39.40436288587221,40.935672514619874,38.28920570264765,3000.0,144552.0
4000.0,2.046875,7.65443352671961E-8,4000.0,71.1,42.139825418435166,37.98283261802574,39.66597077244258,4000.0,144552.0
5000.0,2.625,9.816372767090798E-8,5000.0,72.1,44.02535912045582,42.82786885245901,42.82786885245901,5000.0,144552.0
6000.0,2.96875,1.1101850153257449E-7,6000.0,73.1,46.155201127337946,48.26923076923077,44.1908713692946,6000.0,144552.0
7000.0,3.34375,1.2507526359210412E-7,7000.0,69.39999999999999,38.77673515936054,39.16500994035784,38.18181818181817,7000.0,144896.0
8000.0,4.015625,1.5020050341263414E-7,8000.0,71.39999999999999,42.71200564066405,44.57364341085271,40.16736401673639,8000.0,144552.0
9000.0,4.390625,1.6425726547216377E-7,9000.0,73.4,46.67308193500531,44.58333333333333,45.379876796714576,9000.0,144896.0
10000.0,4.796875,1.7948542436998754E-7,10000.0,74.7,49.390687886571136,48.78542510121457,49.19678714859438,10000.0,144896.0
11000.0,5.171875,1.935088140372601E-7,11000.0,72.7,45.39038870841268,44.512195121951216,43.47826086956521,11000.0,144552.0
12000.0,5.5625,2.081512745159368E-7,12000.0,72.7,45.424449846468775,43.595041322314046,43.3609958506224,12000.0,144896.0
13000.0,6.21875,2.3275060812011364E-7,13000.0,74.9,49.75135931581771,48.35390946502057,48.670756646216766,13000.0,144896.0
14000.0,6.734375,2.520327689126134E-7,14000.0,72.5,45.04045022863173,46.1839530332681,41.36460554371001,14000.0,144552.0
15000.0,7.125,2.666752293912901E-7,15000.0,69.8,39.547527253656156,38.49287169042769,35.60767590618335,15000.0,144896.0
16000.0,7.53125,2.8190506984376247E-7,16000.0,70.89999999999999,41.861858982043096,41.212121212121204,37.012987012987004,16000.0,144912.0
17000.0,7.953125,2.976831294492715E-7,17000.0,72.2,44.35481611068187,46.64107485604606,45.383104125736736,17000.0,144568.0
18000.0,8.3125,3.111556806187663E-7,18000.0,72.3,44.63410539107909,44.040404040404034,43.81338742393508,18000.0,144912.0
19000.0,8.6875,3.2521244267829594E-7,19000.0,73.0,46.01360457164794,43.74999999999999,44.32989690721649,19000.0,144896.0
20000.0,9.09375,3.4040444815117457E-7,20000.0,71.8,43.6882967506949,42.094455852156045,38.42794759825326,20000.0,144552.0
21000.0,9.484375,3.5504852550932106E-7,21000.0,73.1,46.19698703127374,44.65020576131687,44.421487603305785,21000.0,144912.0
22000.0,9.90625,3.708623828262919E-7,22000.0,72.5,44.9881174333656,44.77911646586345,40.34707158351409,22000.0,144896.0
23000.0,10.296875,3.854700803963675E-7,23000.0,73.7,47.44414691659006,48.83268482490272,49.42307692307693,23000.0,144552.0
24000.0,10.6875,4.0011415775451397E-7,24000.0,71.5,42.981754161331615,44.22700587084149,42.42424242424242,24000.0,144912.0
25000.0,11.0625,4.141709198140436E-7,25000.0,72.7,45.29584328561581,46.99029126213592,42.647058823529406,25000.0,144896.0
26000.0,11.40625,4.2702569367571013E-7,26000.0,71.7,43.41539101364428,47.10280373831775,42.59634888438133,26000.0,144552.0
27000.0,11.796875,4.4166815415438683E-7,27000.0,71.89999999999999,43.81977543904544,44.24603174603174,42.41803278688524,27000.0,144896.0
28000.0,12.15625,4.551392177947694E-7,28000.0,73.1,46.01732261974521,44.1908713692946,41.521739130434774,28000.0,144896.0
29000.0,12.5,4.679939916564359E-7,29000.0,74.1,48.19544119882549,49.115913555992144,47.99196787148594,29000.0,144552.0
30000.0,12.921875,4.838078489734067E-7,30000.0,72.8,45.57365765030275,46.978557504873294,44.602851323828915,30000.0,144896.0
31000.0,13.296875,4.978312386406793E-7,31000.0,71.5,43.00957439150222,42.42424242424242,42.54032258064516,31000.0,144552.0
32000.0,13.6875,5.124736991193559E-7,32000.0,73.6,47.13232938160846,48.4375,45.79055441478439,32000.0,144896.0
