learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.59375,2.1505725776983633E-8,1000.0,48.1,-3.851510349133179,-6.79012345679013,-8.35073068893529,1000.0,140008.0
2000.0,1.09375,3.961581064181195E-8,2000.0,50.3,-0.5511090969417791,-1.0162601626016268,-0.811359026369169,2000.0,140008.0
3000.0,1.546875,5.6028075050562624E-8,3000.0,49.4,-1.560743761842064,1.3645224171539971,-3.0549898167006138,3000.0,140008.0
4000.0,1.953125,7.074251900323563E-8,4000.0,50.8,-0.9350856101854299,-5.5793991416309066,-2.7139874739039693,4000.0,140008.0
5000.0,2.59375,9.394606523629692E-8,5000.0,51.2,0.0,0.0,0.0,5000.0,140008.0
6000.0,2.953125,1.069946706088053E-7,6000.0,51.300000000000004,0.0,6.346153846153851,-1.03734439834025,6000.0,140352.0
7000.0,3.375,1.222750547135042E-7,7000.0,50.5,0.0,1.5904572564612343,0.0,7000.0,140008.0
8000.0,3.78125,1.3702565209112236E-7,8000.0,51.6,0.0,6.201550387596905,-1.2552301255230138,8000.0,140352.0
9000.0,4.46875,1.619270187802613E-7,9000.0,51.7,0.0,-0.6250000000000006,0.8213552361396311,9000.0,140008.0
10000.0,4.859375,1.761102854895095E-7,10000.0,50.2,0.0,-0.8097165991902842,0.0,10000.0,140352.0
11000.0,5.234375,1.897262215303878E-7,11000.0,50.4,0.0,-0.8130081300813016,-2.6915113871635636,11000.0,140352.0
12000.0,5.609375,2.0330878517900906E-7,12000.0,51.6,0.0,0.0,-0.41493775933609994,12000.0,140008.0
13000.0,5.984375,2.1692472121988736E-7,13000.0,51.1,0.0,-0.6172839506172845,0.0,13000.0,140352.0
14000.0,6.421875,2.3280997993424537E-7,14000.0,49.2,0.0,0.5870841487279849,-8.31556503198295,14000.0,140352.0
15000.0,7.0,2.537497655592031E-7,15000.0,46.9,0.0,-8.146639511201636,-13.219616204690842,15000.0,140008.0
16000.0,7.390625,2.6793303226845135E-7,16000.0,46.2,0.0,-8.686868686868683,-16.450216450216455,16000.0,140352.0
17000.0,7.765625,2.8154896830932965E-7,17000.0,50.7,0.0,5.374280230326301,3.1434184675834995,17000.0,140352.0
18000.0,8.125,2.94597573681838E-7,18000.0,48.6,0.0,-3.838383838383842,-4.259634888438138,18000.0,140352.0
19000.0,8.53125,3.09312017634511E-7,19000.0,50.7,0.0,-2.7083333333333357,-1.6494845360824757,19000.0,140008.0
20000.0,8.921875,3.2349528434375927E-7,20000.0,47.199999999999996,0.0,-8.41889117043122,-15.283842794759842,20000.0,140352.0
21000.0,9.3125,3.376801679324773E-7,21000.0,49.2,-0.20000552283494202,-4.52674897119342,-4.958677685950417,21000.0,140368.0
22000.0,9.6875,3.5126273158109853E-7,22000.0,48.9,-0.6634727519147804,-2.6104417670682754,-10.845986984815628,22000.0,140008.0
23000.0,10.125,3.6714799029545654E-7,23000.0,48.6,-2.339472374315576,0.0,1.1538461538461549,23000.0,140352.0
24000.0,10.484375,3.801965956679649E-7,24000.0,46.9,-7.277928626842526,-3.9138943248532323,-7.27272727272728,24000.0,140352.0
