learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.515625,7.362539246160951E-7,1000.0,81.8,63.5992719854397,62.5514403292181,62.00417536534446,1000.0,1886944.0
2000.0,2.546875,1.5394734671442872E-6,2000.0,87.1,74.20061918513956,73.78048780487805,73.83367139959431,2000.0,3010736.0
3000.0,3.765625,2.8448761117437647E-6,3000.0,89.9,79.80048478836508,80.31189083820664,79.4297352342159,3000.0,4139960.0
4000.0,4.734375,4.119813448697743E-6,4000.0,90.7,81.39806539880148,80.04291845493563,80.58455114822547,4000.0,5087208.0
5000.0,5.6875,5.6017988633054E-6,5000.0,92.0,84.00000000000001,83.60655737704919,83.60655737704919,5000.0,6010304.0
6000.0,6.984375,7.887792049182786E-6,6000.0,91.7,83.38271802674782,84.03846153846155,82.78008298755188,6000.0,6813640.0
7000.0,8.03125,9.982509137545194E-6,7000.0,92.4,84.79726350743134,84.8906560636183,84.64646464646466,7000.0,7734512.0
8000.0,9.046875,1.22751575610083E-5,8000.0,91.9,83.7823552024603,84.30232558139535,83.05439330543933,8000.0,8725824.0
9000.0,10.046875,1.4762099276089833E-5,9000.0,92.5,84.98570639248565,84.37500000000001,84.59958932238195,9000.0,9613200.0
10000.0,11.078125,1.757516900801824E-5,10000.0,93.0,85.99932796774246,85.82995951417006,85.94377510040162,10000.0,1.0544328E7
11000.0,12.125,2.06350149690277E-5,11000.0,93.10000000000001,86.19977919646715,85.97560975609757,85.71428571428572,11000.0,1.1298144E7
12000.0,13.203125,2.399660614577846E-5,12000.0,92.80000000000001,85.60552747744867,85.12396694214877,85.06224066390043,12000.0,1.2052528E7
13000.0,14.34375,2.7779474459950704E-5,13000.0,92.9,85.79875029002552,85.39094650205762,85.48057259713703,13000.0,1.2819784E7
14000.0,15.484375,3.184437363718946E-5,14000.0,93.60000000000001,87.20000000000002,87.47553816046968,86.3539445628998,14000.0,1.377556E7
15000.0,16.625,3.612729245408748E-5,15000.0,91.8,83.51619634220377,83.29938900203668,82.51599147121536,15000.0,1.4514408E7
16000.0,17.765625,4.0681045599437E-5,16000.0,92.4,84.73037048943182,84.64646464646466,83.54978354978357,16000.0,1.543224E7
17000.0,18.9375,4.5629577167953045E-5,17000.0,92.0,84.00044798745637,84.64491362763916,84.28290766208252,17000.0,1.6322904E7
18000.0,20.078125,5.063303063959917E-5,18000.0,93.4,86.78816219332522,86.66666666666669,86.61257606490874,18000.0,1.6956232E7
19000.0,21.296875,5.621817231359373E-5,19000.0,93.0,85.99490214438056,85.41666666666667,85.56701030927836,19000.0,1.7714216E7
20000.0,22.5625,6.227355777001421E-5,20000.0,92.60000000000001,85.14008482200232,84.80492813141684,83.84279475982534,20000.0,1.8494352E7
21000.0,23.8125,6.849602657085697E-5,21000.0,92.4,84.79190929574536,84.36213991769547,84.29752066115704,21000.0,1.9242216E7
22000.0,25.140625,7.543669884196584E-5,22000.0,94.0,87.98572704372793,87.95180722891565,86.98481561822125,22000.0,2.0200632E7
23000.0,26.453125,8.252019592974746E-5,23000.0,93.5,86.99219531719032,87.35408560311285,87.50000000000001,23000.0,2.0861752E7
