learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.375,6.383235773278608E-7,1000.0,78.3,56.60381886393998,55.34979423868314,54.697286012526106,1000.0,1803680.0
2000.0,2.5625,1.5153973880741334E-6,2000.0,85.7,71.39519439265797,70.9349593495935,70.99391480730223,2000.0,2854992.0
3000.0,3.890625,2.8590640027282967E-6,3000.0,89.2,78.4027644461509,78.94736842105263,78.0040733197556,3000.0,3910704.0
4000.0,4.9375,4.2199474086778034E-6,4000.0,88.5,76.98563903876018,75.32188841201717,75.99164926931107,4000.0,5024912.0
5000.0,5.921875,5.753464324192868E-6,5000.0,91.3,82.5958229975194,82.172131147541,82.172131147541,5000.0,6021856.0
6000.0,6.984375,7.65395829350584E-6,6000.0,92.7,85.3939238723309,85.96153846153847,84.85477178423237,6000.0,6914168.0
7000.0,7.96875,9.618112946757012E-6,7000.0,91.0,81.99531878288356,82.10735586481114,81.81818181818183,7000.0,7712896.0
8000.0,9.0625,1.207257963768724E-5,8000.0,89.7,79.38548738311772,80.03875968992249,78.4518828451883,8000.0,8674440.0
9000.0,10.140625,1.4694483575618102E-5,9000.0,92.10000000000001,84.1892486891086,83.54166666666667,83.7782340862423,9000.0,9400480.0
10000.0,11.1875,1.7476332884851015E-5,10000.0,91.8,83.60052478320694,83.4008097165992,83.53413654618474,10000.0,1.0271672E7
11000.0,12.328125,2.0712775844407993E-5,11000.0,91.9,83.79870389631171,83.53658536585367,83.22981366459629,11000.0,1.0968E7
12000.0,13.578125,2.4507643700215137E-5,12000.0,92.30000000000001,84.59704263218539,84.0909090909091,84.02489626556017,12000.0,1.173516E7
13000.0,14.828125,2.8566487178775586E-5,13000.0,92.10000000000001,84.19860947763404,83.74485596707821,83.84458077709613,13000.0,1.2551472E7
14000.0,16.09375,3.2977343232940055E-5,14000.0,92.80000000000001,85.59815656404021,85.90998043052839,84.64818763326227,14000.0,1.3471632E7
15000.0,17.3125,3.744043057344647E-5,15000.0,91.8,83.51619634220377,83.29938900203668,82.51599147121536,15000.0,1.4155432E7
16000.0,18.578125,4.236564735442193E-5,16000.0,91.3,82.47479997099278,82.42424242424244,81.16883116883118,16000.0,1.5042592E7
17000.0,19.8125,4.7387565686626155E-5,17000.0,93.0,85.99882390120771,86.56429942418427,86.24754420432221,17000.0,1.572624E7
18000.0,21.078125,5.27221991473602E-5,18000.0,92.7,85.38117094818126,85.25252525252526,85.19269776876268,18000.0,1.6293032E7
19000.0,22.375,5.845738875602062E-5,19000.0,93.0,85.9996079890237,85.41666666666667,85.56701030927836,19000.0,1.7094328E7
20000.0,23.703125,6.453664472145547E-5,20000.0,93.0,85.93066632364292,85.62628336755648,84.71615720524018,20000.0,1.7693504E7
21000.0,25.046875,7.09910628372907E-5,21000.0,92.5,84.99327698809067,84.56790123456791,84.50413223140497,21000.0,1.8566968E7
22000.0,26.4375,7.790950996827128E-5,22000.0,93.0,85.98334821768262,85.94377510040162,84.81561822125815,22000.0,1.923096E7
23000.0,27.921875,8.56003690407508E-5,23000.0,93.5,86.99843981277755,87.35408560311285,87.50000000000001,23000.0,2.0027816E7
24000.0,29.375,9.334494256310994E-5,24000.0,93.10000000000001,86.18142783901564,86.49706457925636,86.06060606060608,24000.0,2.0601408E7
25000.0,30.8125,1.0124947591167359E-4,25000.0,92.10000000000001,84.20214850780295,84.66019417475728,83.40336134453781,25000.0,2.1255472E7
26000.0,32.3125,1.098159982615875E-4,26000.0,92.2,84.3980029443769,85.42056074766357,84.17849898580123,26000.0,2.207576E7
27000.0,33.8125,1.1864930727622577E-4,27000.0,94.0,87.99154604841807,88.09523809523809,87.70491803278688,27000.0,2.2763264E7
28000.0,35.3125,1.2775674488188493E-4,28000.0,93.8,87.50841167439667,87.1369294605809,86.52173913043477,28000.0,2.3469688E7
29000.0,36.9375,1.3780483769045937E-4,29000.0,95.0,90.00015999744004,90.17681728880156,89.9598393574297,29000.0,2.3901912E7
30000.0,38.625,1.485603491568731E-4,30000.0,92.9,85.79499983994367,86.1598440545809,85.53971486761712,30000.0,2.4637104E7
31000.0,40.359375,1.5992209544896872E-4,31000.0,92.10000000000001,84.19886231808691,84.04040404040404,84.0725806451613,31000.0,2.5322376E7
32000.0,42.125,1.7178709444124252E-4,32000.0,94.5,88.99691913735846,89.25781249999999,88.70636550308008,32000.0,2.597596E7
33000.0,43.90625,1.8407722042563062E-4,33000.0,91.60000000000001,83.20369518705886,83.81502890173411,82.99595141700405,33000.0,2.6670664E7
34000.0,45.59375,1.9604629875781638E-4,34000.0,91.4,82.80770214943706,82.08333333333334,81.74097664543525,34000.0,2.741696E7
35000.0,47.328125,2.08658301368511E-4,35000.0,93.4,86.74230250048211,86.87872763419485,86.47540983606558,35000.0,2.8108872E7
36000.0,49.046875,2.2152492404630824E-4,36000.0,92.7,85.36769186363492,85.3118712273642,84.69601677148847,36000.0,2.8937048E7
37000.0,50.75,2.3450791547980368E-4,37000.0,93.2,86.335723242131,85.95041322314052,85.50106609808104,37000.0,2.946664E7
38000.0,52.6875,2.4959123651367715E-4,38000.0,93.2,86.39646308040092,86.29032258064517,86.84719535783366,38000.0,3.0092456E7
39000.0,54.375,2.629957751358031E-4,39000.0,94.19999999999999,88.40111349310466,88.69395711500974,88.13905930470347,39000.0,3.0705096E7
40000.0,56.125,2.771479253230306E-4,40000.0,93.89999999999999,87.80078075003199,88.26923076923076,87.65182186234817,40000.0,3.125984E7
41000.0,57.90625,2.918068502913229E-4,41000.0,93.30000000000001,86.58819761390023,86.15702479338843,85.62231759656653,41000.0,3.1811168E7
42000.0,59.765625,3.07441950814488E-4,42000.0,92.9,85.79977279636475,85.88469184890657,85.62753036437249,42000.0,3.2503944E7
43000.0,61.703125,3.2407400450514006E-4,43000.0,94.19999999999999,88.38499341148763,88.21138211382113,87.9668049792531,43000.0,3.3182304E7
44000.0,63.546875,3.4021789272729717E-4,44000.0,93.30000000000001,86.59957118627797,85.89473684210527,86.51911468812878,44000.0,3.3846088E7
45000.0,65.390625,3.5667139784588165E-4,45000.0,93.2,86.39934716866411,85.97938144329898,86.00823045267491,45000.0,3.4495208E7
46000.0,67.578125,3.765189121865357E-4,46000.0,93.89999999999999,87.7938480994421,87.02127659574467,87.13080168776371,46000.0,3.5071992E7
47000.0,69.5,3.9421874457426986E-4,47000.0,92.80000000000001,85.60000000000001,85.39553752535498,85.45454545454547,47000.0,3.5599704E7
48000.0,71.578125,4.137665344428064E-4,48000.0,94.1,88.16980935347004,88.29365079365078,87.73388773388773,48000.0,3.6360376E7
49000.0,73.4375,4.315683026733394E-4,49000.0,94.39999999999999,88.79475594578263,88.99803536345775,88.50102669404517,49000.0,3.7008248E7
50000.0,75.4375,4.5101391652780065E-4,50000.0,93.89999999999999,87.7996095875068,87.13080168776371,87.2117400419287,50000.0,3.7583224E7
