learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.59375,3.605874048338996E-8,1000.0,60.3,20.672346819700433,18.312757201646086,17.118997912317322,1000.0,234752.0
2000.0,0.875,5.326259674297439E-8,2000.0,68.5,36.93491683417288,35.97560975609757,36.105476673428,2000.0,236448.0
3000.0,1.296875,7.919498279483783E-8,3000.0,68.60000000000001,37.19095549759167,38.79142300194933,36.04887983706722,3000.0,237608.0
4000.0,1.734375,1.194387247475485E-7,4000.0,61.0,22.06889110026737,16.30901287553647,18.580375782880996,4000.0,355568.0
5000.0,2.0625,1.5216404184078177E-7,5000.0,65.60000000000001,31.600547195622447,29.50819672131148,29.50819672131148,5000.0,385520.0
6000.0,2.34375,1.8245472650354106E-7,6000.0,73.8,47.66803155897333,49.61538461538461,45.64315352697095,6000.0,416312.0
7000.0,2.75,2.3135769879445432E-7,7000.0,70.3,40.71382944746087,40.95427435387673,39.99999999999999,7000.0,465312.0
8000.0,3.046875,2.701677860588663E-7,8000.0,63.7,28.16774316109423,29.651162790697676,24.05857740585774,8000.0,505328.0
9000.0,3.28125,3.026141914435559E-7,9000.0,62.6,26.376503474477854,22.08333333333333,23.203285420944557,9000.0,535128.0
10000.0,3.609375,3.5136126421598924E-7,10000.0,73.9,47.83130121926845,47.165991902834,47.59036144578313,10000.0,574264.0
11000.0,4.0,4.1336859188353025E-7,11000.0,77.9,55.78655911397065,55.08130081300814,54.244306418219466,11000.0,613600.0
12000.0,4.375,4.812736491051813E-7,12000.0,80.9,61.89024390243903,60.53719008264464,60.373443983402495,12000.0,699960.0
13000.0,4.6875,5.436347500007186E-7,13000.0,78.4,56.72192635514469,55.55555555555556,55.82822085889572,13000.0,771200.0
14000.0,5.015625,6.125942389998172E-7,14000.0,77.5,55.14210979616575,55.96868884540118,52.02558635394456,14000.0,812376.0
15000.0,5.28125,6.718346655058365E-7,15000.0,78.8,57.89757990522985,56.82281059063137,54.79744136460555,15000.0,862088.0
16000.0,5.71875,7.705815045887398E-7,16000.0,84.0,68.09698516509809,67.67676767676767,65.36796536796537,16000.0,872464.0
17000.0,6.109375,8.605155744589865E-7,17000.0,81.8,63.500868358461574,65.06717850287907,64.24361493123772,17000.0,889952.0
18000.0,6.453125,9.459828531059127E-7,18000.0,83.89999999999999,67.92036279877898,67.47474747474746,67.34279918864097,18000.0,961080.0
19000.0,6.84375,1.0479756100620661E-6,19000.0,83.5,66.92777025022649,65.62499999999999,65.97938144329896,19000.0,1009280.0
20000.0,7.140625,1.127713055919028E-6,20000.0,84.8,69.68149613838003,68.78850102669404,66.81222707423579,20000.0,1038048.0
21000.0,7.515625,1.2323952655100988E-6,21000.0,85.0,69.99411884729406,69.1358024691358,69.0082644628099,21000.0,1079056.0
22000.0,7.8125,1.3167967295481099E-6,22000.0,85.0,70.00539902817493,69.87951807228914,67.46203904555314,22000.0,1098952.0
23000.0,8.171875,1.421735958299703E-6,23000.0,85.3,70.5964715765892,71.40077821011673,71.73076923076923,23000.0,1128736.0
24000.0,8.421875,1.49726880610817E-6,24000.0,86.2,72.42470746211394,72.99412915851272,72.12121212121212,24000.0,1167880.0
25000.0,8.828125,1.6231003812410766E-6,25000.0,85.9,71.81150090762969,72.62135922330097,70.3781512605042,25000.0,1197288.0
26000.0,9.125,1.7166940961033107E-6,26000.0,84.5,68.98958049904768,71.02803738317756,68.55983772819472,26000.0,1218640.0
27000.0,9.484375,1.8317745545775528E-6,27000.0,87.7,75.37872722031835,75.59523809523809,74.79508196721312,27000.0,1237816.0
28000.0,9.9375,1.982580579351634E-6,28000.0,87.5,74.98118585176053,74.06639004149378,72.82608695652173,28000.0,1286480.0
29000.0,10.265625,2.094436107048144E-6,29000.0,88.8,77.60071677706314,77.99607072691552,77.51004016064257,29000.0,1317712.0
30000.0,10.609375,2.21425961677192E-6,30000.0,87.5,74.99119690130927,75.6335282651072,74.54175152749491,30000.0,1347416.0
31000.0,10.984375,2.348710776358429E-6,31000.0,85.9,71.79390748401656,71.51515151515152,71.57258064516128,31000.0,1385912.0
32000.0,11.359375,2.487867443253183E-6,32000.0,88.4,76.78700072040343,77.34375,76.18069815195072,32000.0,1434416.0
33000.0,11.796875,2.6569842399718863E-6,33000.0,84.6,69.20135514037382,70.32755298651252,68.82591093117408,33000.0,1494032.0
34000.0,12.109375,2.7818086285454534E-6,34000.0,85.1,70.23167349939663,68.95833333333333,68.36518046709129,34000.0,1544016.0
