learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.6875,2.4814572599199084E-8,1000.0,52.6,5.17155146543964,2.469135802469138,1.0438413361169112,1000.0,139520.0
2000.0,1.203125,4.344791199805008E-8,2000.0,56.89999999999999,14.262979908494128,12.398373983739825,12.576064908722099,2000.0,139688.0
3000.0,1.734375,6.878868185190691E-8,3000.0,57.99999999999999,16.002687913986748,18.128654970760227,14.460285132382882,3000.0,184384.0
4000.0,2.265625,9.436034209405383E-8,4000.0,58.3,15.492615229973566,10.515021459227453,12.943632567849676,4000.0,186064.0
5000.0,2.796875,1.2310509595813023E-7,5000.0,64.4,28.58059960197728,27.049180327868854,27.049180327868854,5000.0,209152.0
6000.0,3.234375,1.4687231871195966E-7,6000.0,67.2,34.30092579610052,36.923076923076934,31.950207468879675,6000.0,209992.0
7000.0,3.859375,1.809638989571896E-7,7000.0,65.10000000000001,30.169274480771545,30.61630218687873,29.494949494949502,7000.0,210848.0
8000.0,4.3125,2.0569998822692368E-7,8000.0,71.39999999999999,42.697313585946006,44.57364341085271,40.16736401673639,8000.0,211016.0
9000.0,4.765625,2.3047546468054255E-7,9000.0,72.5,44.69160036362758,42.70833333333333,43.53182751540041,9000.0,211352.0
10000.0,5.234375,2.6131970419858894E-7,10000.0,68.60000000000001,37.176881092241956,36.437246963562764,36.947791164658646,10000.0,254352.0
11000.0,5.78125,3.038205128783981E-7,11000.0,71.39999999999999,42.82378530531298,41.86991869918699,40.786749482401646,11000.0,300408.0
12000.0,6.515625,3.6541007122852735E-7,12000.0,70.8,41.367345627449716,39.669421487603294,39.41908713692945,12000.0,324184.0
13000.0,6.953125,4.023489115449289E-7,13000.0,74.2,48.21086608293488,46.913580246913575,47.239263803680984,13000.0,326368.0
14000.0,7.359375,4.3678883230313656E-7,14000.0,74.7,49.45337723364127,50.489236790606654,46.05543710021321,14000.0,327696.0
15000.0,7.78125,4.7485664254054424E-7,15000.0,72.0,44.214439693816956,42.97352342158859,40.29850746268656,15000.0,348800.0
16000.0,8.203125,5.132178193889558E-7,16000.0,72.3,44.40564212486853,44.040404040404034,40.043290043290035,16000.0,351488.0
17000.0,8.640625,5.57589519303292E-7,17000.0,77.60000000000001,55.18619734878343,57.00575815738964,55.992141453831046,17000.0,392040.0
18000.0,9.046875,5.991743657634489E-7,18000.0,82.69999999999999,65.38255280661453,65.05050505050504,64.90872210953346,18000.0,395680.0
19000.0,9.46875,6.444270386257104E-7,19000.0,78.5,57.019255373592635,55.208333333333336,55.670103092783506,19000.0,414632.0
20000.0,9.875,6.90626911818981E-7,20000.0,80.10000000000001,60.12407624116318,59.1375770020534,56.55021834061136,20000.0,439592.0
21000.0,10.296875,7.39019305910915E-7,21000.0,79.5,58.99540748563841,57.81893004115227,57.64462809917356,21000.0,443400.0
22000.0,10.71875,7.899149204604326E-7,22000.0,78.60000000000001,57.19537710072689,57.02811244979921,53.579175704989154,22000.0,466336.0
23000.0,11.171875,8.447184356757334E-7,23000.0,82.6,65.22295285111825,66.14785992217898,66.53846153846153,23000.0,467512.0
24000.0,11.578125,8.939938723213142E-7,24000.0,79.7,59.329721759199906,60.27397260273973,58.989898989899004,24000.0,468856.0
25000.0,12.0,9.450222003377145E-7,25000.0,80.10000000000001,60.24325533819206,61.35922330097089,58.19327731092437,25000.0,467552.0
26000.0,12.421875,9.987510727821952E-7,26000.0,78.10000000000001,56.168441277719964,59.065420560747675,55.57809330628803,26000.0,492296.0
27000.0,12.890625,1.060517162032839E-6,27000.0,82.5,64.96748983056276,65.27777777777777,64.13934426229507,27000.0,509344.0
