learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.65625,2.6153090099493663E-8,1000.0,67.60000000000001,35.19974079896321,33.33333333333334,32.359081419624225,1000.0,154048.0
2000.0,1.140625,4.547761313410269E-8,2000.0,68.5,36.928855749285205,35.97560975609757,36.105476673428,2000.0,154216.0
3000.0,1.6875,7.015572110604908E-8,3000.0,66.60000000000001,33.1828948210742,34.89278752436648,31.975560081466405,3000.0,174432.0
4000.0,2.078125,8.795271343034174E-8,4000.0,71.7,43.31747023666458,39.27038626609441,40.918580375782874,4000.0,176112.0
5000.0,2.671875,1.166728907264769E-7,5000.0,73.2,46.255534877751394,45.08196721311475,45.08196721311475,5000.0,186976.0
6000.0,3.03125,1.3414987026610308E-7,6000.0,76.7,53.40484589602682,55.19230769230769,51.65975103734441,6000.0,187984.0
7000.0,3.40625,1.524852834538453E-7,7000.0,75.5,50.99803992159686,51.29224652087475,50.505050505050505,7000.0,189000.0
8000.0,4.09375,1.860987847774393E-7,8000.0,74.0,48.033258714422765,49.6124031007752,45.60669456066945,8000.0,188992.0
9000.0,4.5,2.0605043068321216E-7,9000.0,77.4,54.73536209707463,52.916666666666664,53.59342915811089,9000.0,189840.0
10000.0,4.890625,2.2705612031535971E-7,10000.0,75.5,51.002743846344615,50.40485829959515,50.80321285140562,10000.0,207864.0
11000.0,5.3125,2.5211451833860743E-7,11000.0,76.6,53.20898387509598,52.4390243902439,51.5527950310559,11000.0,229600.0
12000.0,5.71875,2.7745722844782807E-7,12000.0,78.5,56.853647572566146,55.57851239669422,55.3941908713693,12000.0,241136.0
13000.0,6.453125,3.236839741778871E-7,13000.0,80.7,61.32853513292565,60.28806584362141,60.5316973415133,13000.0,243320.0
14000.0,6.953125,3.5528685354317234E-7,14000.0,79.7,59.45578883456365,60.27397260273973,56.71641791044777,14000.0,244320.0
15000.0,7.40625,3.8500448378423856E-7,15000.0,78.10000000000001,56.10201970798824,55.397148676171085,53.304904051172706,15000.0,253512.0
16000.0,7.828125,4.1300265972192096E-7,16000.0,79.3,58.3276293856647,58.18181818181819,55.1948051948052,16000.0,256536.0
17000.0,8.234375,4.417185684562558E-7,17000.0,82.19999999999999,64.39302103212229,65.83493282149712,65.02946954813359,17000.0,273232.0
18000.0,8.6875,4.741407853240769E-7,18000.0,85.5,70.98212498899322,70.70707070707071,70.58823529411764,18000.0,276584.0
19000.0,9.078125,5.029584281146528E-7,19000.0,84.39999999999999,68.76939400612599,67.5,67.83505154639174,19000.0,285168.0
20000.0,9.515625,5.365307960245346E-7,20000.0,83.2,66.38494045332308,65.50308008213551,63.318777292576414,20000.0,296624.0
21000.0,9.875,5.644227106434605E-7,21000.0,82.19999999999999,64.40299014882748,63.37448559670781,63.22314049586776,21000.0,300008.0
22000.0,10.265625,5.957853217195307E-7,22000.0,80.4,60.77599490888424,60.642570281124506,57.483731019522786,22000.0,310352.0
23000.0,10.671875,6.285075344041819E-7,23000.0,82.3,64.6212272636418,65.56420233463034,65.96153846153845,23000.0,311352.0
24000.0,11.125,6.651835671315591E-7,24000.0,81.0,62.00486337748769,62.81800391389434,61.61616161616163,24000.0,312872.0
25000.0,11.546875,6.992516379492979E-7,25000.0,81.8,63.60742408548655,64.66019417475727,61.764705882352935,25000.0,312152.0
26000.0,11.984375,7.368912985030976E-7,26000.0,78.9,57.80742589304283,60.56074766355142,57.200811359026375,26000.0,332560.0
27000.0,12.390625,7.726352648913033E-7,27000.0,84.3,68.59899516784537,68.84920634920636,67.827868852459,27000.0,340104.0
28000.0,12.8125,8.111815421014196E-7,28000.0,82.19999999999999,64.05536281870575,63.070539419087126,61.304347826086946,28000.0,353184.0
29000.0,13.234375,8.508768385379678E-7,29000.0,84.3,68.59020014244443,69.15520628683693,68.47389558232932,29000.0,363712.0
30000.0,13.625,8.87834661019345E-7,30000.0,83.2,66.39852153494753,67.25146198830409,65.78411405295314,30000.0,365720.0
31000.0,14.046875,9.28017155577739E-7,31000.0,83.0,66.0065267468646,65.65656565656565,65.7258064516129,31000.0,368176.0
32000.0,14.5,9.712352119903597E-7,32000.0,85.1,70.17494695544258,70.8984375,69.40451745379876,32000.0,368680.0
33000.0,14.90625,1.0110527445148262E-6,33000.0,81.39999999999999,62.7918141991238,64.16184971098265,62.348178137651814,33000.0,378864.0
34000.0,15.328125,1.053514942112896E-6,34000.0,83.6,67.2146878198567,65.83333333333331,65.1804670912951,34000.0,389064.0
35000.0,15.765625,1.0996740052683486E-6,35000.0,83.39999999999999,66.63772589877162,66.9980119284294,65.98360655737704,35000.0,407832.0
36000.0,16.15625,1.141220531685071E-6,36000.0,84.8,69.4566907932017,69.41649899396378,68.13417190775681,36000.0,411128.0
37000.0,16.515625,1.1795839074895614E-6,37000.0,87.3,74.45983557765014,73.7603305785124,72.92110874200426,37000.0,412640.0
38000.0,16.890625,1.216471266363644E-6,38000.0,82.89999999999999,65.82487948773293,65.52419354838709,66.92456479690522,38000.0,380232.0
39000.0,17.3125,1.2591194374383324E-6,39000.0,83.6,67.18424843925084,68.03118908382065,66.46216768916155,39000.0,390768.0
40000.0,17.671875,1.2956367896145418E-6,40000.0,82.69999999999999,65.40221425828746,66.73076923076923,64.97975708502022,40000.0,392784.0
41000.0,18.078125,1.336903822246111E-6,41000.0,86.0,71.97410407216267,71.07438016528926,69.95708154506437,41000.0,392656.0
42000.0,18.46875,1.377650801765008E-6,42000.0,86.0,71.98924386964595,72.16699801192843,71.65991902834008,42000.0,403216.0
43000.0,18.890625,1.4227428214831484E-6,43000.0,83.2,66.40255340594115,65.85365853658536,65.14522821576763,43000.0,413160.0
44000.0,19.3125,1.4690214043690099E-6,44000.0,83.6,67.21259036529972,65.4736842105263,67.0020120724346,44000.0,424032.0
45000.0,19.734375,1.5161992956159842E-6,45000.0,82.39999999999999,64.79154997199326,63.711340206185554,63.786008230452666,45000.0,432272.0
46000.0,20.171875,1.565535591604809E-6,46000.0,84.1,68.12324076375913,66.17021276595743,66.45569620253163,46000.0,435904.0
47000.0,20.578125,1.6130176502176457E-6,47000.0,84.0,68.0,67.54563894523325,67.67676767676767,47000.0,451792.0
48000.0,21.015625,1.6657629748806357E-6,48000.0,84.0,67.93227296049254,68.25396825396824,66.73596673596673,48000.0,466024.0
49000.0,21.4375,1.7177857807837426E-6,49000.0,85.8,71.55118182801688,72.10216110019645,70.84188911704312,49000.0,476664.0
50000.0,21.875,1.7722170580075017E-6,50000.0,85.5,71.03799814643187,69.40928270042194,69.60167714884695,50000.0,480920.0
