learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.25,1.535440484682719E-8,1000.0,56.99999999999999,13.989334677499999,11.522633744855955,10.229645093945706,1000.0,237408.0
2000.0,0.390625,2.399183964977662E-8,2000.0,61.5,22.97596850217267,21.74796747967479,21.90669371196754,2000.0,237424.0
3000.0,0.546875,3.358898943083154E-8,3000.0,62.7,25.422075065780525,27.290448343079927,24.032586558044805,3000.0,237424.0
4000.0,0.65625,4.0306994277569987E-8,4000.0,68.2,36.3635999791881,31.759656652360523,33.61169102296452,4000.0,237424.0
5000.0,0.8125,4.990414405862491E-8,5000.0,68.2,36.30828392885756,34.836065573770504,34.836065573770504,5000.0,237424.0
6000.0,0.9375,5.7602042539252186E-8,6000.0,68.89999999999999,37.76116296569058,40.19230769230768,35.4771784232365,6000.0,238048.0
7000.0,1.0625,6.527976236409613E-8,7000.0,67.60000000000001,35.170178282009736,35.58648111332009,34.545454545454554,7000.0,237424.0
8000.0,1.171875,7.199776721083457E-8,8000.0,67.60000000000001,35.06701725133073,37.209302325581405,32.21757322175733,8000.0,237424.0
9000.0,1.296875,7.96951482900315E-8,9000.0,72.39999999999999,44.607900197886266,42.49999999999999,43.326488706365495,9000.0,238032.0
10000.0,1.40625,8.641315313676994E-8,10000.0,69.69999999999999,39.3820570888983,38.66396761133602,39.15662650602409,10000.0,237424.0
11000.0,1.546875,9.505000586311023E-8,11000.0,70.39999999999999,40.7810499359795,39.83739837398373,38.716356107660445,11000.0,237408.0
12000.0,1.640625,1.0082342972358068E-7,12000.0,71.3,42.46375416987425,40.70247933884297,40.4564315352697,12000.0,238048.0
13000.0,1.78125,1.0946086452653012E-7,13000.0,72.0,43.90868333647177,42.38683127572016,42.740286298568506,13000.0,237424.0
14000.0,1.90625,1.1713858435137406E-7,14000.0,70.3,40.6550720930976,41.87866927592954,36.67377398720681,14000.0,237424.0
15000.0,2.015625,1.238742455219229E-7,15000.0,65.8,31.676249305774757,30.346232179226075,27.078891257995735,15000.0,238048.0
16000.0,2.140625,1.315514479453365E-7,16000.0,68.5,37.086066261354475,36.363636363636374,31.818181818181824,16000.0,237408.0
17000.0,2.265625,1.392286503687501E-7,17000.0,70.1,40.15643388386744,42.61036468330134,41.25736738703339,17000.0,237408.0
18000.0,2.390625,1.4690637019359404E-7,18000.0,71.1,42.306617371098206,41.616161616161605,41.37931034482758,18000.0,237424.0
19000.0,2.5,1.536243750403325E-7,19000.0,70.39999999999999,40.778443353380624,38.33333333333332,38.96907216494844,19000.0,237424.0
20000.0,2.609375,1.6036003621088136E-7,20000.0,69.89999999999999,39.91440297673229,38.1930184804928,34.27947598253274,20000.0,238048.0
21000.0,2.734375,1.6803723863429496E-7,21000.0,71.8,43.62683362719345,41.9753086419753,41.73553719008264,21000.0,237408.0
22000.0,2.859375,1.7571444105770856E-7,22000.0,70.8,41.58527949043159,41.365461847389554,36.65943600867678,22000.0,237408.0
23000.0,2.984375,1.8339216088255248E-7,23000.0,73.3,46.535843011613935,48.0544747081712,48.65384615384615,23000.0,237424.0
24000.0,3.125,1.920295956855019E-7,24000.0,71.2,42.40737185640237,43.63992172211349,41.81818181818181,24000.0,237424.0
25000.0,3.21875,1.977874975030621E-7,25000.0,70.8,41.43672559094755,43.300970873786405,38.65546218487394,25000.0,237408.0
26000.0,3.359375,2.064243502294024E-7,26000.0,71.7,43.41358074062225,47.10280373831775,42.59634888438133,26000.0,237408.0
27000.0,3.484375,2.1410207005424636E-7,27000.0,70.8,41.61121064755566,42.063492063492056,40.163934426229496,27000.0,237424.0
28000.0,3.59375,2.208200749009848E-7,28000.0,72.6,44.77432046212203,43.153526970954346,40.43478260869564,28000.0,237424.0
29000.0,3.71875,2.2849779472582873E-7,29000.0,74.6,49.19187069931189,50.09823182711198,48.99598393574297,29000.0,237424.0
30000.0,3.8125,2.3425569654338893E-7,30000.0,70.0,40.0026398838451,41.5204678362573,38.90020366598777,30000.0,237408.0
31000.0,3.9375,2.4193341636823286E-7,31000.0,69.5,39.030728512829526,38.38383838383837,38.50806451612902,31000.0,237424.0
32000.0,4.0625,2.4961061879164646E-7,32000.0,72.8,45.50845420306114,46.875,44.147843942505126,32000.0,237408.0
33000.0,4.1875,2.5728782121506006E-7,33000.0,68.0,35.92387756654907,38.342967244701356,35.22267206477734,33000.0,237408.0
34000.0,4.296875,2.6400537333554696E-7,34000.0,69.8,39.6135265700483,37.08333333333332,35.88110403397026,34000.0,237408.0
35000.0,4.40625,2.7072292545603386E-7,35000.0,71.2,42.39999999999999,42.74353876739562,40.98360655737704,35000.0,237408.0
36000.0,4.515625,2.774409303027723E-7,36000.0,70.89999999999999,41.981481924540034,41.4486921529175,38.99371069182389,36000.0,237424.0
37000.0,4.640625,2.8511865012761623E-7,37000.0,71.1,42.167613863763705,40.289256198347104,38.37953091684434,37000.0,237424.0
38000.0,4.78125,2.937560849305657E-7,38000.0,71.3,42.623868470716175,42.13709677419354,44.48742746615086,38000.0,237424.0
39000.0,4.890625,3.0047408977730414E-7,39000.0,70.89999999999999,41.8013967664776,43.274853801169584,40.49079754601227,39000.0,237424.0
40000.0,5.0,3.0719164189779104E-7,40000.0,70.89999999999999,41.803259017495016,44.03846153846153,41.09311740890688,40000.0,237408.0
41000.0,5.109375,3.139096467445295E-7,41000.0,72.2,44.49524615759356,42.56198347107437,40.34334763948497,41000.0,237424.0
42000.0,5.234375,3.215868491679431E-7,42000.0,70.5,41.0047196224302,41.35188866799204,40.28340080971659,42000.0,237408.0
43000.0,5.34375,3.2830485401468154E-7,43000.0,72.5,44.92465693068117,44.105691056910565,42.9460580912863,43000.0,237424.0
44000.0,5.484375,3.3694170674102184E-7,44000.0,71.5,43.03463494195528,39.99999999999999,42.65593561368208,44000.0,237408.0
45000.0,5.625,3.455791415439713E-7,45000.0,70.89999999999999,41.79860316647599,39.99999999999999,40.12345679012345,45000.0,237424.0
