learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.75,3.9040087722241884E-5,1000.0,53.800000000000004,7.561915509189785,4.938271604938276,3.5490605427974984,1000.0,2.0121108E8
2000.0,2.03125,1.0601240591818675E-4,2000.0,55.400000000000006,10.906911705952865,9.349593495934966,9.533468559837736,2000.0,2.02052312E8
3000.0,3.921875,2.051193992762516E-4,3000.0,54.400000000000006,8.84083930399182,11.11111111111112,7.128309572301432,3000.0,2.02628848E8
4000.0,5.9375,3.1070107167276243E-4,4000.0,57.699999999999996,15.055464965901683,9.227467811158784,11.691022964509381,4000.0,2.02479552E8
5000.0,8.53125,4.47143347765733E-4,5000.0,54.800000000000004,8.988402061855673,7.377049180327876,7.377049180327876,5000.0,2.03340184E8
6000.0,11.28125,5.91794600024716E-4,6000.0,56.39999999999999,12.35793341615105,16.153846153846146,9.543568464730276,6000.0,2.03325512E8
7000.0,14.34375,7.533116694927837E-4,7000.0,55.7,11.204650230507127,11.928429423459255,10.505050505050514,7000.0,2.03865952E8
8000.0,17.5,9.197958580140646E-4,8000.0,56.699999999999996,12.993505658436202,16.08527131782945,9.414225941422579,8000.0,2.03893776E8
9000.0,20.703125,0.0010887363358051516,9000.0,55.1,9.374217873261163,6.458333333333339,7.802874743326496,9000.0,2.03874168E8
10000.0,24.234375,0.0012753424794451954,10000.0,58.8,17.560429005922835,16.5991902834008,17.269076305220878,10000.0,2.04267768E8
11000.0,27.828125,0.0014656629934324881,11000.0,57.699999999999996,15.238614321668456,14.02439024390243,12.422360248447193,11000.0,2.04710496E8
12000.0,31.828125,0.0016774786370741719,12000.0,58.699999999999996,16.57239819004525,14.669421487603296,14.315352697095426,12000.0,2.04691784E8
13000.0,35.640625,0.001879643589588037,13000.0,61.199999999999996,21.915564160048934,20.164609053497937,20.654396728016355,13000.0,2.04973816E8
14000.0,39.953125,0.002108881542323312,14000.0,56.10000000000001,12.494020092489249,14.090019569471638,6.396588486140731,14000.0,2.05475376E8
15000.0,44.703125,0.002362265957797515,15000.0,55.400000000000006,12.011079501738097,9.164969450101841,4.904051172707894,15000.0,2.062E8
16000.0,49.828125,0.002635916668061529,16000.0,54.1,8.074245567936941,7.27272727272728,0.64935064935065,16000.0,2.06397808E8
17000.0,55.15625,0.0029206966434463136,17000.0,59.699999999999996,19.359357115986448,22.648752399232244,20.825147347740664,17000.0,2.06603376E8
18000.0,60.25,0.0031931225512137947,18000.0,58.699999999999996,17.515478330337526,16.565656565656557,16.227180527383357,18000.0,2.06734592E8
19000.0,65.953125,0.0034983525018065444,19000.0,58.3,16.29061009491079,13.12499999999999,14.02061855670102,19000.0,2.06879104E8
20000.0,71.5,0.0037954947006720533,20000.0,58.4,17.023042062934827,14.579055441478431,9.17030567685588,20000.0,2.07070544E8
