learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent)- first measurement,classifications correct (percent)- last measurement,model training instances,model serialized size (bytes)
1000.0,0.109375,7.041296662969722E-8,14.0,50.0,57.14285714285714,14.0,2488496.0
2000.0,0.265625,2.0002008467498753E-7,27.0,60.0,51.85185185185185,27.0,3206352.0
3000.0,0.546875,6.979441321972344E-7,36.0,57.57575757575758,52.77777777777778,36.0,6843416.0
4000.0,1.03125,1.9055970026076669E-6,46.0,52.5,50.0,46.0,9637464.0
5000.0,1.90625,5.6353985241407316E-6,67.0,53.333333333333336,52.23880597014925,67.0,1.6477072E7
6000.0,2.703125,9.777802980453188E-6,79.0,55.55555555555556,54.43037974683544,79.0,2.009392E7
7000.0,3.703125,1.609346767913343E-5,94.0,58.139534883720934,56.38297872340425,94.0,2.4413016E7
8000.0,4.609375,2.2073843251241163E-5,98.0,57.77777777777777,56.12244897959183,98.0,2.5508376E7
9000.0,5.390625,2.723007673113089E-5,98.0,57.77777777777777,56.12244897959183,98.0,2.5512024E7
10000.0,7.03125,4.222396612426059E-5,127.0,56.896551724137936,55.90551181102362,127.0,3.5327048E7
11000.0,8.78125,6.216876680911E-5,153.0,55.633802816901415,54.90196078431373,153.0,4.405488E7
12000.0,10.75,8.819114306889887E-5,178.0,53.293413173652695,52.80898876404494,178.0,5.1092688E7
13000.0,13.359375,1.311267952163083E-4,215.0,54.45544554455446,53.95348837209303,215.0,6.3603928E7
14000.0,16.25,1.88285865167725E-4,253.0,54.166666666666664,53.75494071146245,253.0,7.6435616E7
15000.0,19.734375,2.7314612396164904E-4,301.0,56.44599303135889,56.14617940199336,301.0,9.4141656E7
16000.0,23.359375,3.7542554769768487E-4,339.0,56.30769230769231,56.04719764011799,339.0,1.09064304E8
17000.0,27.5625,5.067803682888755E-4,368.0,55.80736543909348,55.70652173913043,368.0,1.20802544E8
18000.0,32.265625,6.714228207581781E-4,403.0,55.95854922279793,55.831265508684865,403.0,1.35318656E8
19000.0,37.1875,8.618579567862779E-4,438.0,55.952380952380956,55.93607305936074,438.0,1.49561176E8
20000.0,42.59375,0.0010891421912432027,472.0,55.947136563876654,55.932203389830505,472.0,1.62508304E8
21000.0,48.59375,0.0013692339786211959,518.0,55.91182364729459,55.79150579150579,518.0,1.8044776E8
22000.0,54.734375,0.0016808735961482547,558.0,57.91433891992551,57.70609318996416,558.0,1.96174456E8
23000.0,61.421875,0.002054258717624988,603.0,56.970740103270224,56.71641791044776,603.0,2.15821936E8
24000.0,68.328125,0.0024735492077242165,651.0,56.91573926868044,56.68202764976959,651.0,2.34679464E8
25000.0,77.171875,0.0030526271298812286,700.0,57.31166912850812,57.14285714285714,700.0,2.5310628E8
26000.0,86.265625,0.003695156427695312,749.0,58.06896551724138,57.943925233644855,749.0,2.7311924E8
27000.0,96.203125,0.004465426224180394,807.0,58.5147247119078,58.48822800495663,807.0,2.99618136E8
28000.0,106.65625,0.0053439917555402235,865.0,58.77403846153846,59.07514450867052,865.0,3.23985048E8
29000.0,116.671875,0.00623369081809263,906.0,58.944954128440365,59.27152317880795,906.0,3.43374032E8
30000.0,127.21875,0.007239405671910693,958.0,58.913043478260875,59.185803757828815,958.0,3.68598392E8
31000.0,138.171875,0.008346686809349597,1008.0,58.73836608066184,59.099999999999994,1008.0,3.90770912E8
32000.0,149.5625,0.009561895615738142,1056.0,59.099999999999994,59.699999999999996,1056.0,4.1238772E8
33000.0,161.15625,0.010865742285936396,1104.0,59.599999999999994,60.099999999999994,1104.0,4.34715336E8
34000.0,173.1875,0.012293816738044064,1155.0,59.699999999999996,60.699999999999996,1155.0,4.58820136E8
35000.0,186.078125,0.0139136822107442,1204.0,59.699999999999996,61.0,1204.0,4.85743888E8
36000.0,203.15625,0.016176605337790934,1258.0,60.4,61.6,1258.0,5.12191048E8
37000.0,220.09375,0.01853017791588273,1307.0,61.4,62.2,1307.0,5.37131544E8
38000.0,237.65625,0.021119633460055205,1370.0,61.3,62.6,1370.0,5.69933904E8
39000.0,256.125,0.023996125903472092,1430.0,61.7,62.9,1430.0,6.02043824E8
40000.0,274.71875,0.027032894149306225,1483.0,62.0,63.6,1483.0,6.31316344E8
41000.0,293.484375,0.03022722645242336,1533.0,62.3,63.6,1533.0,6.57990208E8
42000.0,312.265625,0.033570931310467934,1589.0,62.1,63.0,1589.0,6.88185968E8
43000.0,331.109375,0.037032949458743025,1630.0,61.199999999999996,63.6,1630.0,7.1017336E8
44000.0,350.53125,0.04072427230825673,1684.0,62.1,64.0,1684.0,7.34671592E8
45000.0,370.078125,0.04456951955184599,1731.0,62.3,63.6,1731.0,7.604126E8
46000.0,389.671875,0.04852743828462229,1770.0,62.4,63.7,1770.0,7.80821352E8
47000.0,410.03125,0.05279663374518147,1825.0,61.9,63.3,1825.0,8.1055776E8
48000.0,430.53125,0.05721606179838999,1872.0,61.199999999999996,62.3,1872.0,8.3332532E8
49000.0,451.625,0.06192486836051102,1922.0,61.4,62.3,1922.0,8.62897928E8
50000.0,473.390625,0.0669544486556616,1974.0,61.7,63.4,1974.0,8.93229328E8
51000.0,495.484375,0.07222310311671915,2030.0,61.199999999999996,62.7,2030.0,9.217914E8
52000.0,517.875,0.07772321897018829,2078.0,61.6,62.2,2078.0,9.49528472E8
53000.0,540.625,0.08348757604373126,2127.0,61.199999999999996,62.1,2127.0,9.79426488E8
54000.0,563.671875,0.08947400061093502,2164.0,61.0,61.9,2164.0,1.004055776E9
