learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent)- first measurement,classifications correct (percent)- last measurement,model training instances,model serialized size (bytes)
1000.0,0.140625,1.260216231457889E-7,14.0,58.333333333333336,57.14285714285714,14.0,3464056.0
2000.0,0.34375,3.101430290068189E-7,27.0,52.0,44.44444444444444,27.0,3503832.0
3000.0,0.609375,6.404680122310916E-7,36.0,54.54545454545454,47.22222222222222,36.0,4807008.0
4000.0,1.046875,1.457856204878125E-6,46.0,50.0,45.65217391304348,46.0,7221920.0
5000.0,1.828125,4.066885254966716E-6,67.0,51.66666666666667,49.25373134328358,67.0,1.290896E7
6000.0,2.53125,7.010970536308984E-6,79.0,54.166666666666664,51.89873417721519,79.0,1.618528E7
7000.0,3.4375,1.1780878541887635E-5,94.0,56.97674418604651,54.25531914893617,94.0,2.0345312E7
8000.0,4.109375,1.551465687548949E-5,98.0,56.666666666666664,54.08163265306123,98.0,2.1481392E7
9000.0,4.703125,1.8814274937742288E-5,98.0,56.666666666666664,54.08163265306123,98.0,2.1481392E7
10000.0,6.09375,2.9875610942124494E-5,127.0,56.03448275862068,54.330708661417326,127.0,3.07468E7
11000.0,7.671875,4.6034176064293E-5,153.0,54.929577464788736,53.59477124183007,153.0,3.9578904E7
12000.0,9.484375,6.8397926483562E-5,178.0,52.69461077844312,51.68539325842697,178.0,4.7694576E7
13000.0,11.671875,1.0254769692740713E-4,215.0,53.960396039603964,53.02325581395348,215.0,6.0345112E7
14000.0,14.421875,1.5474607239917128E-4,253.0,53.75,52.96442687747036,253.0,7.3371376E7
15000.0,17.6875,2.308912037147416E-4,301.0,56.09756097560976,55.48172757475083,301.0,9.0131832E7
16000.0,20.984375,3.1983785156626255E-4,339.0,56.00000000000001,55.45722713864307,339.0,1.04286832E8
17000.0,24.328125,4.194675752013508E-4,368.0,55.524079320113316,55.16304347826087,368.0,1.15174808E8
18000.0,27.9375,5.387360303171187E-4,403.0,55.69948186528497,55.33498759305211,403.0,1.27730896E8
19000.0,32.328125,6.98866431743631E-4,438.0,55.714285714285715,55.47945205479452,438.0,1.40977504E8
20000.0,36.875,8.802643154113968E-4,472.0,55.72687224669603,55.50847457627118,472.0,1.54213208E8
21000.0,41.921875,0.001105676946333713,518.0,55.71142284569138,55.4054054054054,518.0,1.72646616E8
22000.0,47.234375,0.00136456992981645,558.0,57.72811918063314,57.34767025089605,558.0,1.88375192E8
23000.0,52.921875,0.0016687316534161156,603.0,56.79862306368331,56.38474295190713,603.0,2.0672144E8
24000.0,58.984375,0.002023538837157604,651.0,56.75675675675676,56.374807987711215,651.0,2.26226264E8
25000.0,65.296875,0.0024282352534484948,700.0,57.163958641063516,56.85714285714286,700.0,2.47816568E8
26000.0,71.828125,0.0028838779305806386,749.0,57.931034482758626,57.67690253671562,749.0,2.69668648E8
27000.0,80.296875,0.0035302459653596295,807.0,58.38668373879642,58.24039653035935,807.0,2.95027792E8
28000.0,89.15625,0.0042653575101414595,865.0,58.65384615384615,58.84393063583815,865.0,3.2073956E8
29000.0,97.9375,0.005036822187410306,906.0,58.830275229357795,59.05077262693157,906.0,3.39595616E8
30000.0,107.25,0.005912696880760552,958.0,58.80434782608695,58.977035490605424,958.0,3.63561648E8
31000.0,116.8125,0.006869442336966233,1008.0,58.63495346432265,58.9,1008.0,3.86747336E8
32000.0,126.578125,0.007901258700003383,1056.0,58.9,59.699999999999996,1056.0,4.08417872E8
33000.0,136.71875,0.00903421468945453,1104.0,59.599999999999994,60.099999999999994,1104.0,4.31867664E8
34000.0,147.296875,0.010281514897004754,1155.0,59.699999999999996,60.699999999999996,1155.0,4.55789872E8
35000.0,158.0625,0.011615048590497787,1204.0,59.699999999999996,61.0,1204.0,4.78814304E8
36000.0,169.421875,0.013099273743088512,1258.0,60.4,61.6,1258.0,5.0506552E8
37000.0,181.0,0.014682677167196137,1307.0,61.4,62.2,1307.0,5.2863476E8
38000.0,193.28125,0.01646648679180847,1370.0,61.3,62.6,1370.0,5.614464E8
39000.0,205.953125,0.018408139246134346,1430.0,61.7,62.9,1430.0,5.92288072E8
40000.0,221.625,0.020924913196423506,1483.0,62.0,63.6,1483.0,6.20762712E8
41000.0,238.078125,0.023682522142545268,1533.0,62.3,63.6,1533.0,6.47868184E8
42000.0,254.453125,0.026556948266386625,1589.0,62.1,63.0,1589.0,6.78534936E8
43000.0,270.9375,0.02954894599960729,1630.0,61.199999999999996,63.6,1630.0,7.01602528E8
44000.0,287.984375,0.032773613823778254,1684.0,62.1,64.0,1684.0,7.31210768E8
45000.0,305.34375,0.03618327755371057,1731.0,62.3,63.6,1731.0,7.5924132E8
46000.0,322.734375,0.03970149655114963,1770.0,62.4,63.7,1770.0,7.82005936E8
47000.0,340.96875,0.04354287396957968,1825.0,61.9,63.3,1825.0,8.14326312E8
48000.0,359.6875,0.047627711579649866,1872.0,61.199999999999996,62.3,1872.0,8.43529592E8
49000.0,379.125,0.05202594689510685,1922.0,61.4,62.3,1922.0,8.74662336E8
50000.0,398.703125,0.05661513668122805,1974.0,61.7,63.4,1974.0,9.0608156E8
