learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent)- first measurement,classifications correct (percent)- last measurement,model training instances,model serialized size (bytes)
1000.0,0.109375,6.932823453098535E-8,14.0,58.333333333333336,57.14285714285714,14.0,2450160.0
2000.0,0.25,1.6461068298667668E-7,27.0,40.0,44.44444444444444,27.0,2619104.0
3000.0,0.375,2.529828472890788E-7,36.0,42.42424242424242,47.22222222222222,36.0,2732800.0
4000.0,0.515625,3.575741559163564E-7,46.0,40.0,45.65217391304348,46.0,2874984.0
5000.0,0.75,5.683261487219068E-7,67.0,45.0,49.25373134328358,67.0,3475864.0
6000.0,0.96875,7.738588869364725E-7,79.0,48.61111111111111,51.89873417721519,79.0,3631912.0
7000.0,1.328125,1.2497395315828423E-6,94.0,52.32558139534884,54.25531914893617,94.0,5123552.0
8000.0,1.6875,1.7858301483405134E-6,98.0,52.22222222222223,54.08163265306123,98.0,5766240.0
9000.0,1.921875,2.1356756527287265E-6,98.0,52.22222222222223,54.08163265306123,98.0,5769888.0
10000.0,2.234375,2.677186696221017E-6,127.0,52.58620689655172,54.330708661417326,127.0,6698224.0
11000.0,2.5625,3.3042489990798964E-6,153.0,52.112676056338024,53.59477124183007,153.0,7387096.0
12000.0,3.265625,5.440144191703035E-6,178.0,53.293413173652695,56.17977528089888,178.0,1.1742208E7
13000.0,4.375,1.1223822883847687E-5,215.0,55.940594059405946,58.139534883720934,215.0,2.0152464E7
14000.0,5.46875,1.860885421693739E-5,253.0,56.25,56.126482213438734,253.0,2.6099768E7
15000.0,6.734375,2.957246214565304E-5,301.0,56.44599303135889,56.810631229235874,301.0,3.348504E7
16000.0,8.140625,4.4220658665936856E-5,339.0,56.30769230769231,57.227138643067846,339.0,4.0264656E7
17000.0,9.5625,6.061463477736753E-5,368.0,55.524079320113316,56.52173913043478,368.0,4.4568216E7
18000.0,10.921875,7.766184403509316E-5,403.0,55.181347150259064,55.831265508684865,403.0,4.847484E7
19000.0,12.390625,9.780651294729776E-5,438.0,55.714285714285715,55.93607305936074,438.0,5.3016936E7
20000.0,13.84375,1.1885988357890811E-4,472.0,55.2863436123348,56.567796610169495,472.0,5.6004256E7
21000.0,15.40625,1.4313060906715692E-4,518.0,55.91182364729459,57.33590733590733,518.0,6.0043376E7
22000.0,17.03125,1.6934846747770077E-4,558.0,56.424581005586596,58.24372759856631,558.0,6.236576E7
23000.0,18.8125,1.9970585831389245E-4,603.0,56.79862306368331,58.70646766169154,603.0,6.5878232E7
24000.0,20.609375,2.318431066426759E-4,651.0,56.75675675675676,59.29339477726574,651.0,6.913424E7
