learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.40625,1.995627858882977E-6,1000.0,696456.439653555,4664599.486003454,1000.0,1.8988408E7
2000.0,2.265625,1.112957080800293E-5,1000.0,41454.96279782975,363525.8643500162,2000.0,1.8988632E7
3000.0,3.953125,1.9419199703002553E-5,1000.0,10155.025182320816,151616.2042225948,3000.0,1.8988632E7
4000.0,5.71875,2.8092615021806623E-5,1000.0,4255.28122700685,63026.44004560605,4000.0,1.8988648E7
5000.0,7.3125,3.5921715575063393E-5,1000.0,28823.555079003716,225159.77654444813,5000.0,1.8988648E7
6000.0,9.171875,4.5055666220529625E-5,1000.0,5350.943213189141,83507.20991831853,6000.0,1.8988648E7
7000.0,10.78125,5.2961516000020005E-5,1000.0,373.6498673910354,5747.240095166906,7000.0,1.8988632E7
8000.0,12.34375,6.063710477772272E-5,1000.0,2374.79485373203,34303.22225963909,8000.0,1.8988648E7
9000.0,14.015625,6.884998476986463E-5,1000.0,117.73792042725361,331.69026476291486,9000.0,1.8988648E7
10000.0,15.703125,7.713962064978357E-5,1000.0,98.78747192285353,126.45157147607259,10000.0,1.8988648E7
11000.0,17.265625,8.481520942748628E-5,1000.0,103.92484807321706,131.02449157051024,11000.0,1.8988648E7
12000.0,18.796875,9.233728642963494E-5,1000.0,1029.7539067893688,14027.778830615443,12000.0,1.8988648E7
13000.0,20.359375,1.0001287520733765E-4,1000.0,269.3063804961896,1252.5108108903503,13000.0,1.8988648E7
14000.0,21.96875,1.0791872498682804E-4,1000.0,186.80510858985417,661.4088698426849,14000.0,1.8988632E7
15000.0,23.53125,1.1559431376453075E-4,1000.0,96.79301729383924,124.74008750983177,15000.0,1.8988648E7
16000.0,25.078125,1.2319314665445644E-4,1000.0,7521.891429623878,58197.70784032925,16000.0,1.8988648E7
17000.0,26.671875,1.310222472077132E-4,1000.0,91.17698860114142,137.07649586261223,17000.0,1.8988648E7
18000.0,28.21875,1.386210800976389E-4,1000.0,621.6685710052411,8729.85200499696,18000.0,1.8988648E7
19000.0,29.78125,1.4629666240782374E-4,1000.0,85.78499029250094,107.72721519800614,19000.0,1.8988632E7
20000.0,31.328125,1.5389549529774943E-4,1000.0,102.57764799672172,609.56586021395,20000.0,1.8988648E7
21000.0,32.875,1.6149432818767512E-4,1000.0,72.72398756148297,105.30840932269899,21000.0,1.8988648E7
22000.0,34.453125,1.692466663209618E-4,1000.0,81.45200386834568,105.9323650201867,22000.0,1.8988632E7
23000.0,36.03125,1.7699901098644155E-4,1000.0,79.92533437634889,113.75604925707827,23000.0,1.8988648E7
24000.0,37.578125,1.8459783747352455E-4,1000.0,136.85143078326863,224.20573641757252,24000.0,1.8988632E7
25000.0,39.15625,1.923501821390043E-4,1000.0,170.16568918663987,251.18382261209683,25000.0,1.8988648E7
26000.0,40.703125,1.9994901502893E-4,1000.0,141.53725569245557,219.20128591296785,26000.0,1.8988648E7
27000.0,42.3125,2.0785486480842037E-4,1000.0,128.0778581380515,178.43539118795502,27000.0,1.8988632E7
28000.0,43.890625,2.1560720947390012E-4,1000.0,97.29542077313768,124.30388668149355,28000.0,1.8988648E7
29000.0,45.453125,2.2328279825160283E-4,1000.0,232.75291836863667,2382.632321759657,29000.0,1.8988648E7
30000.0,46.984375,2.3080487525375148E-4,1000.0,98.11948789094461,130.68246864934287,30000.0,1.8988648E7
31000.0,48.5625,2.3855721338703816E-4,1000.0,80.78122572513178,104.61756326183982,31000.0,1.8988632E7
32000.0,50.140625,2.463095580525179E-4,1000.0,85.13474535858712,183.36377825772124,32000.0,1.8988648E7
33000.0,51.734375,2.541386586057746E-4,1000.0,68.13231287312024,97.92740441976403,33000.0,1.8988648E7
34000.0,53.296875,2.6181424738347733E-4,1000.0,67.19483731630993,89.12474003015502,34000.0,1.8988648E7
35000.0,54.875,2.6956658551676403E-4,1000.0,116.45649942031703,209.74773029097298,35000.0,1.8988632E7
36000.0,56.46875,2.7739568607002083E-4,1000.0,117.93701119562886,188.42241374473468,36000.0,1.8988648E7
37000.0,58.046875,2.8514803073550056E-4,1000.0,128.74265623575258,606.6578858264224,37000.0,1.8988648E7
38000.0,59.609375,2.928236130456854E-4,1000.0,92.6891706731502,135.08582171192515,38000.0,1.8988632E7
39000.0,61.171875,3.004992018233881E-4,1000.0,898.5394721034852,17699.285715861348,39000.0,1.8988648E7
40000.0,62.765625,3.0832830237664485E-4,1000.0,34780.77283959897,265335.542615267,40000.0,1.8988648E7
41000.0,64.359375,3.1615740292990164E-4,1000.0,157.64540471010014,213.41249262819701,41000.0,1.8988648E7
42000.0,65.890625,3.236794799320503E-4,1000.0,6852.58302652945,100206.05437029238,42000.0,1.8988648E7
43000.0,67.46875,3.3143182459753005E-4,1000.0,194.97841457197532,389.7512035721862,43000.0,1.8988648E7
44000.0,69.078125,3.393376743770204E-4,1000.0,221.5550454820283,303.82940507755546,44000.0,1.8988632E7
45000.0,70.640625,3.4701326315472313E-4,1000.0,263.6228915442642,347.5716241427955,45000.0,1.8988648E7
46000.0,72.234375,3.5484236370797993E-4,1000.0,313.19338382984586,416.3596989321629,46000.0,1.8988648E7
47000.0,73.8125,3.6259470837345965E-4,1000.0,358.71504854588323,451.31383830676333,47000.0,1.8988648E7
