learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.6875,4.07642245085703E-6,1000.0,33.48686672261907,47.79741795958936,1000.0,2.2921152E7
2000.0,2.890625,2.0669678116165516E-5,1000.0,29.445818896142978,44.1319638608044,2000.0,2.9113528E7
3000.0,5.203125,3.439057524600584E-5,1000.0,28.490750213888326,40.96607398926517,3000.0,2.2935232E7
4000.0,7.171875,4.673700685897428E-5,1000.0,30.49736500077005,42.049959650602425,4000.0,2.4241152E7
5000.0,9.078125,6.185998541897991E-5,1000.0,36.986574342689735,50.73137732209673,5000.0,3.0666192E7
6000.0,11.421875,8.447307475661445E-5,1000.0,35.44358070946048,58.07555462100025,6000.0,3.7295032E7
7000.0,13.734375,1.0834974757421555E-4,1000.0,32.32956631873409,48.48618422588606,7000.0,3.9911168E7
8000.0,16.015625,1.2200610631326627E-4,1000.0,41.17410941693499,158.26142454836327,8000.0,2.3140056E7
9000.0,17.96875,1.326936957775615E-4,1000.0,53.35997396506017,276.22062411640024,9000.0,2.1152032E7
10000.0,19.609375,1.4243618362039947E-4,1000.0,42.33360472976765,63.03306132731536,10000.0,2.295424E7
11000.0,21.375,1.5516116798001652E-4,1000.0,39.1263803943832,56.92966640930991,11000.0,2.785872E7
12000.0,23.5,1.6765334071048226E-4,1000.0,47.57179172991628,267.48615016267,12000.0,2.2723824E7
13000.0,25.328125,1.7949061565256368E-4,1000.0,113.63363914100871,661.5536037667122,13000.0,2.5029272E7
14000.0,27.1875,1.937866134944165E-4,1000.0,68.46158732298325,378.8855610458512,14000.0,2.9720072E7
15000.0,29.15625,2.11843389519749E-4,1000.0,41.79957108539721,114.25182838964425,15000.0,3.545292E7
16000.0,31.21875,2.3414402964085134E-4,1000.0,45.47059941535519,68.69679456091053,16000.0,4.1795136E7
17000.0,33.515625,2.6210242180645256E-4,1000.0,34.228417951214986,88.79850289905704,17000.0,4.7051904E7
18000.0,36.125,2.980306306077788E-4,1000.0,47.859160471343294,133.25585585698488,18000.0,5.3223256E7
19000.0,38.875,3.411441235544367E-4,1000.0,31.877651325566948,48.50712003231266,19000.0,6.0601432E7
20000.0,41.828125,3.879616820227562E-4,1000.0,46.8204622591918,565.8265298144788,20000.0,6.1281488E7
21000.0,45.03125,4.3150809318629195E-4,1000.0,34.085735407993326,66.24426646593328,21000.0,5.2550984E7
22000.0,47.84375,4.691766745397924E-4,1000.0,31.685444017312395,49.79749466989781,22000.0,5.1771304E7
23000.0,50.546875,5.091838781178618E-4,1000.0,31.830315609035793,54.85730450067825,23000.0,5.7210328E7
