learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.5625,3.4938589669764042E-6,1000.0,33.45467937553567,48.26469785413345,1000.0,2.4011072E7
2000.0,2.703125,1.9699074586646425E-5,1000.0,29.444544268882094,43.590185311018985,2000.0,2.9262848E7
3000.0,4.90625,3.252804295496188E-5,1000.0,27.497831153567184,40.61947342932674,3000.0,2.2508936E7
4000.0,6.65625,4.478840949660581E-5,1000.0,30.23185616234854,41.759359029292334,4000.0,2.7081192E7
5000.0,8.515625,6.122182508180332E-5,1000.0,36.21372278760331,50.09100505510387,5000.0,3.4163568E7
6000.0,10.71875,8.262925700465632E-5,1000.0,35.10996649462204,58.415673505623865,6000.0,3.7560192E7
7000.0,13.0,1.0720233377974688E-4,1000.0,33.463138815358086,52.03171023223142,7000.0,4.163792E7
8000.0,15.34375,1.2360795928139447E-4,1000.0,40.02293048055252,143.53184025650097,8000.0,2.7057264E7
9000.0,17.21875,1.349736686420834E-4,1000.0,48.97237219643305,235.68663356095695,9000.0,2.3431368E7
10000.0,18.921875,1.4719441562192516E-4,1000.0,40.06205263373096,62.23548257281929,10000.0,2.7736624E7
11000.0,20.703125,1.6222094214754182E-4,1000.0,36.04196448340088,54.147520958353134,11000.0,3.2608896E7
12000.0,22.796875,1.7670683203808345E-4,1000.0,45.133742727301495,241.00021492334105,12000.0,2.6743776E7
13000.0,24.671875,1.9129283367268123E-4,1000.0,110.83107101050425,626.1927942467299,13000.0,3.0070272E7
14000.0,26.546875,2.0782526844413955E-4,1000.0,74.20254325719763,376.3857621605079,14000.0,3.4083008E7
15000.0,28.453125,2.2793169143066436E-4,1000.0,41.07018287520394,104.28180799270162,15000.0,4.077156E7
16000.0,30.578125,2.53785534910599E-4,1000.0,44.13571013082974,67.37562141407078,16000.0,4.7029304E7
17000.0,33.109375,2.887641545708499E-4,1000.0,33.56525674490886,87.43902242020775,17000.0,5.3415832E7
18000.0,35.828125,3.302752473326918E-4,1000.0,46.645187775337625,130.96657219685554,18000.0,5.9019736E7
19000.0,38.59375,3.7725851622073814E-4,1000.0,30.1222957457674,46.691620901646765,19000.0,6.5667776E7
20000.0,41.890625,4.218712114703118E-4,1000.0,47.457504369993096,565.8821932074839,20000.0,5.2306824E7
21000.0,44.671875,4.635398644151995E-4,1000.0,34.84635738291373,67.28000051416274,21000.0,5.7912432E7
22000.0,47.484375,5.109765643848935E-4,1000.0,32.88108399155599,52.64309662180651,22000.0,6.5196504E7
23000.0,50.40625,5.652090877669658E-4,1000.0,31.982198668731378,54.62519080293816,23000.0,7.1746472E7
24000.0,54.125,5.913266927301368E-4,1000.0,55.07333320380377,125.31672202847727,24000.0,2.7148056E7
