learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.65625,3.22527252137661E-6,1000.0,47.59538028532229,64.66372881715452,1000.0,1.8997632E7
2000.0,2.765625,1.359302317723632E-5,1000.0,56.40212912212968,76.23395991830886,2000.0,1.8999104E7
3000.0,4.859375,2.388397568008966E-5,1000.0,56.48345484164227,73.29274443997616,3000.0,1.8999104E7
4000.0,6.75,3.317655219386021E-5,1000.0,61.83704530120768,81.14873098936913,4000.0,1.8999104E7
5000.0,8.859375,4.354430284971992E-5,1000.0,66.42177077462335,86.83762447979124,5000.0,1.8999104E7
6000.0,10.6875,5.252967918446908E-5,1000.0,70.60103526904403,100.6131237203427,6000.0,1.8999088E7
7000.0,12.671875,6.228304461627785E-5,1000.0,73.91277578061862,107.5539662970107,7000.0,1.8999104E7
8000.0,14.515625,7.134522667102929E-5,1000.0,86.94198528042098,204.31892254917133,8000.0,1.8999104E7
9000.0,16.3125,8.017700682911608E-5,1000.0,96.65345513033917,316.34369014643744,9000.0,1.8999088E7
10000.0,18.125,8.908559257785479E-5,1000.0,91.3463780472225,125.29254563810926,10000.0,1.8999104E7
11000.0,19.921875,9.791738017358714E-5,1000.0,95.00646264461157,127.99482674058677,11000.0,1.8999104E7
12000.0,21.78125,1.0705636038134496E-4,1000.0,104.67444425279143,298.2285669994662,12000.0,1.8999104E7
13000.0,23.640625,1.1619534058910279E-4,1000.0,162.7933227982037,768.3811609582538,13000.0,1.8999104E7
14000.0,25.4375,1.2502712074718956E-4,1000.0,139.04878029734863,616.1129528347413,14000.0,1.8999088E7
15000.0,27.25,1.3393569899360753E-4,1000.0,90.23278247466227,118.0768554954963,15000.0,1.8999088E7
16000.0,29.109375,1.4307467920136535E-4,1000.0,86.70353579705845,111.70735505453602,16000.0,1.8999104E7
17000.0,30.953125,1.5213685362444571E-4,1000.0,83.86890788625365,127.38921557548473,17000.0,1.8999088E7
18000.0,32.734375,1.6089184306717169E-4,1000.0,100.37448457267743,196.8967966470734,18000.0,1.8999104E7
19000.0,34.53125,1.6972363066290402E-4,1000.0,82.30111148890198,101.28567311378026,19000.0,1.8999104E7
20000.0,36.328125,1.7855541825863636E-4,1000.0,86.5784102192454,568.5961666767047,20000.0,1.8999104E7
