learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.390625,1.917842989011357E-6,1000.0,682815.9194543605,4677553.917731559,1000.0,1.8978216E7
2000.0,2.34375,1.1507199411021753E-5,1000.0,43403.180151846864,378623.4197487819,2000.0,1.8978496E7
3000.0,4.0625,1.99458330623909E-5,1000.0,10691.142100142779,159191.27610613557,3000.0,1.8978496E7
4000.0,5.796875,2.8461188744080977E-5,1000.0,4518.87186787488,66790.24322026139,4000.0,1.8978512E7
5000.0,7.390625,3.62861101813097E-5,1000.0,31112.759060102093,243076.76713763873,5000.0,1.8978512E7
6000.0,9.296875,4.5645329939563654E-5,1000.0,5796.661495783727,90443.14657759521,6000.0,1.8978512E7
7000.0,10.875,5.339353646074111E-5,1000.0,408.50311635143754,6400.874293473276,7000.0,1.8978512E7
8000.0,12.40625,6.0911598233764786E-5,1000.0,2588.3950349208476,37411.04383753201,8000.0,1.8978512E7
9000.0,14.015625,6.881323458704477E-5,1000.0,117.90614712688331,332.07774551208166,9000.0,1.8978512E7
10000.0,15.75,7.732859026873485E-5,1000.0,98.80014988740386,126.45516395954462,10000.0,1.8978512E7
11000.0,17.3125,8.500008187386105E-5,1000.0,103.91545242320281,130.98979404639593,11000.0,1.8978512E7
12000.0,18.84375,9.251814364688472E-5,1000.0,1117.7316736990085,15400.084023060394,12000.0,1.8978512E7
13000.0,20.390625,1.0011292033595966E-4,1000.0,274.7089611623511,1349.0080864667987,13000.0,1.8978512E7
14000.0,22.0,1.0801455002769623E-4,1000.0,187.37244181502422,664.215407574203,14000.0,1.8978496E7
15000.0,23.546875,1.1560932671677116E-4,1000.0,96.92233300457174,124.95283890652014,15000.0,1.8978512E7
16000.0,25.09375,1.2320410340584608E-4,1000.0,8307.552996422848,64302.370096877254,16000.0,1.8978512E7
17000.0,26.609375,1.306454502628185E-4,1000.0,90.8855025897068,136.80584715992836,17000.0,1.8978512E7
18000.0,28.203125,1.384703717000472E-4,1000.0,646.4838824288446,9137.750149489208,18000.0,1.8978512E7
19000.0,29.78125,1.462185716890316E-4,1000.0,85.76053402774622,107.66824137034325,19000.0,1.8978496E7
20000.0,31.328125,1.5381334837810654E-4,1000.0,102.6902598987418,609.6724036190091,20000.0,1.8978512E7
21000.0,32.828125,1.611779803190277E-4,1000.0,72.61544256067472,105.16091143616195,21000.0,1.8978512E7
22000.0,34.390625,1.68849465456636E-4,1000.0,81.4512577361809,105.92090899638949,22000.0,1.8978496E7
23000.0,35.96875,1.7659767197781347E-4,1000.0,79.84164143367492,113.62100026452349,23000.0,1.8978512E7
24000.0,37.5625,1.8442258681817395E-4,1000.0,136.75724714156297,223.9524194387013,24000.0,1.8978496E7
25000.0,39.109375,1.9201736350724888E-4,1000.0,170.07432467822252,250.9378614602696,25000.0,1.8978512E7
26000.0,40.65625,1.9961214019632381E-4,1000.0,141.38772937780965,218.96096855083417,26000.0,1.8978512E7
27000.0,42.25,2.074370550366843E-4,1000.0,128.07253214375757,178.3942720367526,27000.0,1.8978496E7
28000.0,43.828125,2.1518526155786175E-4,1000.0,97.31225569270724,124.32474477895306,28000.0,1.8978512E7
29000.0,45.375,2.2278003824693668E-4,1000.0,213.19944084432095,2032.9895856188032,29000.0,1.8978512E7
30000.0,46.921875,2.3037481493601162E-4,1000.0,98.03240700637363,130.59396499503012,30000.0,1.8978512E7
31000.0,48.53125,2.382764446277482E-4,1000.0,80.740862604909,104.56869929133846,31000.0,1.8978496E7
32000.0,50.078125,2.458712213168231E-4,1000.0,85.48168046248924,184.8563315431234,32000.0,1.8978512E7
33000.0,51.59375,2.533125681737955E-4,1000.0,68.1116372242097,97.94726597913613,33000.0,1.8978512E7
34000.0,53.171875,2.6106077469497296E-4,1000.0,67.17367107534729,89.10423553131132,34000.0,1.8978512E7
35000.0,54.734375,2.687322598325813E-4,1000.0,116.38564995074931,209.57886040325351,35000.0,1.8978496E7
36000.0,56.3125,2.7648046635375873E-4,1000.0,117.80504308350578,188.26017544897982,36000.0,1.8978512E7
37000.0,57.84375,2.839985281267824E-4,1000.0,128.67870084880187,606.2286450823725,37000.0,1.8978512E7
38000.0,59.390625,2.915933048158573E-4,1000.0,92.67379002576298,135.02800816468744,38000.0,1.8978512E7
39000.0,60.9375,2.9918808150493223E-4,1000.0,984.7985933918955,19591.829233213823,39000.0,1.8978512E7
40000.0,62.53125,3.0701300294216097E-4,1000.0,38228.60526948214,291310.3610911791,40000.0,1.8978512E7
41000.0,64.078125,3.146077796312359E-4,1000.0,158.08582745688997,217.48473208562757,41000.0,1.8978512E7
42000.0,65.59375,3.220491264882083E-4,1000.0,7480.610150360246,109369.26960454439,42000.0,1.8978512E7
43000.0,67.140625,3.296439031772832E-4,1000.0,196.66727618065545,420.17789986030357,43000.0,1.8978512E7
44000.0,68.71875,3.373921031662676E-4,1000.0,221.61538206371074,304.2679376885677,44000.0,1.8978496E7
45000.0,70.34375,3.453704544355988E-4,1000.0,263.4098188916548,347.31635207886615,45000.0,1.8978512E7
46000.0,71.84375,3.5273508637651994E-4,1000.0,312.95798902288976,416.03288000320293,46000.0,1.8978512E7
47000.0,73.421875,3.604832928976974E-4,1000.0,358.4852220157679,451.0048269110949,47000.0,1.8978512E7
48000.0,75.015625,3.683082077380579E-4,1000.0,401.0430676005007,588.8193625441006,48000.0,1.8978496E7
49000.0,76.609375,3.7613312917528664E-4,1000.0,382.2181001938884,484.06533095429575,49000.0,1.8978512E7
50000.0,78.15625,3.837278994615189E-4,1000.0,415.60362056464845,496.13819367656896,50000.0,1.8978496E7
