learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.6875,4.195071394658751E-6,1000.0,30.502564130805624,44.932736816616384,1000.0,2.3588256E7
2000.0,2.875,2.095058767331971E-5,1000.0,28.39158929027321,41.28841243704978,2000.0,2.9608208E7
3000.0,5.265625,3.4014667649494694E-5,1000.0,27.502015669227696,40.064977888114505,3000.0,2.1123688E7
4000.0,7.234375,4.68220719226843E-5,1000.0,29.131466995973266,40.246787138749376,4000.0,2.5146232E7
5000.0,9.15625,6.271632342961514E-5,1000.0,36.19330815522465,50.126692323702834,5000.0,3.1968136E7
6000.0,11.515625,8.673482296419226E-5,1000.0,35.03890317428976,58.13956646318509,6000.0,3.9350592E7
7000.0,13.9375,1.1087231208673782E-4,1000.0,32.94833901873712,49.58319147369919,7000.0,3.8525008E7
8000.0,16.21875,1.2507453198648162E-4,1000.0,41.19973817073955,144.43886099871625,8000.0,2.4064992E7
9000.0,18.328125,1.3809121288229815E-4,1000.0,45.38030597828328,242.94867448925396,9000.0,2.385332E7
10000.0,20.21875,1.5106110772143843E-4,1000.0,36.06071275660623,54.571966244594336,10000.0,2.6517552E7
11000.0,22.109375,1.670607249252498E-4,1000.0,34.285018448499585,50.169645535409536,11000.0,3.271196E7
12000.0,24.34375,1.8460984962681928E-4,1000.0,41.748186181295395,254.02128391899336,12000.0,3.036E7
13000.0,26.40625,1.99619538616389E-4,1000.0,111.78121760178826,656.212312992105,13000.0,2.8130672E7
14000.0,28.34375,2.1319649919557073E-4,1000.0,80.64128925539175,447.5993975865752,14000.0,2.7087144E7
15000.0,30.21875,2.2881143377162513E-4,1000.0,39.82887999395791,116.80095168575612,15000.0,3.2191504E7
16000.0,32.203125,2.4805110284230775E-4,1000.0,45.217254985411195,68.71658711844579,16000.0,3.7477984E7
17000.0,34.28125,2.7156757772900164E-4,1000.0,32.14612972201752,85.30672251401495,17000.0,4.3742432E7
18000.0,36.890625,3.0546943530983603E-4,1000.0,46.58897932287239,131.50052759729775,18000.0,5.0221464E7
19000.0,39.625,3.4545374248409646E-4,1000.0,29.944359375117074,47.059198871017465,19000.0,5.6524128E7
20000.0,42.625,3.8330913666868583E-4,1000.0,47.47311022988961,565.6432147257584,20000.0,4.8776304E7
21000.0,45.15625,4.192688738112338E-4,1000.0,33.22949670791379,62.709302708081346,21000.0,5.4914096E7
22000.0,48.03125,4.604047599261523E-4,1000.0,30.561539424705607,47.878672492587334,22000.0,5.5307672E7
23000.0,50.765625,5.029112220250277E-4,1000.0,32.19010212209608,56.08345307088751,23000.0,6.0089592E7
