learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.453125,2.222890745744937E-6,1000.0,47.59538028532229,64.66372881715452,1000.0,1.89628E7
2000.0,2.375,1.1651005608857506E-5,1000.0,56.40212912212968,76.23395991830886,2000.0,1.8962784E7
3000.0,4.328125,2.1232423152671092E-5,1000.0,56.48345484164227,73.29274443997616,3000.0,1.8962784E7
4000.0,5.96875,2.928082068036828E-5,1000.0,61.83704530120768,81.14873098936913,4000.0,1.89628E7
5000.0,7.8125,3.83256864733994E-5,1000.0,66.42177077462335,86.83762447979124,5000.0,1.89628E7
6000.0,9.515625,4.668068962119934E-5,1000.0,70.60103526904403,100.6131237203427,6000.0,1.89628E7
7000.0,11.171875,5.480573855392221E-5,1000.0,73.91277578061862,107.5539662970107,7000.0,1.89628E7
8000.0,12.890625,6.323739310674783E-5,1000.0,86.94198528042098,204.31892254917133,8000.0,1.89628E7
9000.0,14.546875,7.13624420394707E-5,1000.0,96.65345513033917,316.34369014643744,9000.0,1.89628E7
10000.0,16.15625,7.925753675711651E-5,1000.0,91.3463780472225,125.29254563810926,10000.0,1.89628E7
11000.0,17.78125,8.722928287978801E-5,1000.0,95.00646264461157,127.99482674058677,11000.0,1.89628E7
12000.0,19.421875,9.52776804074852E-5,1000.0,104.67444425279143,298.2285669994662,12000.0,1.89628E7
13000.0,21.015625,1.0309612372010532E-4,1000.0,162.7933227982037,768.3811609582538,13000.0,1.89628E7
14000.0,22.625,1.1099121177620772E-4,1000.0,139.04878029734863,616.1129528347413,14000.0,1.8962784E7
15000.0,24.28125,1.1911626070893059E-4,1000.0,90.23278247466227,118.0768554954963,15000.0,1.89628E7
16000.0,25.921875,1.2716465823662778E-4,1000.0,86.70353579705845,111.70735505453602,16000.0,1.89628E7
17000.0,27.53125,1.350597529542736E-4,1000.0,83.86890788625365,127.38921557548473,17000.0,1.89628E7
18000.0,29.125,1.4287819626689372E-4,1000.0,100.37448457267743,196.8967966470734,18000.0,1.89628E7
19000.0,30.75,1.5084993566334663E-4,1000.0,82.30111148890198,101.28567311378026,19000.0,1.8962784E7
20000.0,32.375,1.5882168178601812E-4,1000.0,86.5784102192454,568.5961666767047,20000.0,1.89628E7
21000.0,34.0,1.6679342790868962E-4,1000.0,73.22041026892312,97.65166896708205,21000.0,1.89628E7
22000.0,35.640625,1.7484181864549302E-4,1000.0,80.57695540107791,101.82607815533451,22000.0,1.8962784E7
23000.0,37.265625,1.828135647681645E-4,1000.0,77.61117096574088,107.56848679894334,23000.0,1.89628E7
24000.0,38.90625,1.9086195550496791E-4,1000.0,115.83400018725659,214.68522935895848,24000.0,1.8962784E7
25000.0,40.515625,1.9875705022261373E-4,1000.0,140.49380354039232,242.3057118224885,25000.0,1.89628E7
26000.0,42.109375,2.0657549353523386E-4,1000.0,121.48970315509293,208.75266815942567,26000.0,1.89628E7
27000.0,43.734375,2.1454723293168676E-4,1000.0,114.20649872481968,170.59053543212693,27000.0,1.8962784E7
28000.0,45.34375,2.2244232764933257E-4,1000.0,91.68947978288868,117.22752360792983,28000.0,1.89628E7
29000.0,46.953125,2.303374223669784E-4,1000.0,88.73895051704375,116.94660421662046,29000.0,1.89628E7
30000.0,48.59375,2.3838581989467556E-4,1000.0,93.03283354871695,123.5072355946097,30000.0,1.89628E7
31000.0,50.21875,2.463575592911285E-4,1000.0,81.36748529669225,101.05768946659623,31000.0,1.8962784E7
32000.0,51.859375,2.544059568188257E-4,1000.0,75.27699541457017,105.57422732769646,32000.0,1.89628E7
33000.0,53.421875,2.6207109732139444E-4,1000.0,66.80650043521212,95.12138594709128,33000.0,1.89628E7
34000.0,55.03125,2.699661920390402E-4,1000.0,70.24380009273513,88.8616504625159,34000.0,1.89628E7
35000.0,56.671875,2.780145827758436E-4,1000.0,105.95804747188453,197.77535042429244,35000.0,1.8962784E7
36000.0,58.3125,2.8606298030354083E-4,1000.0,105.70986857981065,177.3194954618829,36000.0,1.89628E7
37000.0,59.90625,2.9388142361616094E-4,1000.0,106.44898767952233,577.8857326879973,37000.0,1.89628E7
38000.0,61.53125,3.0185316301261386E-4,1000.0,85.54017267478378,128.3966938791902,38000.0,1.8962784E7
39000.0,63.15625,3.098249091352854E-4,1000.0,105.02851386876189,152.5719044493681,39000.0,1.89628E7
40000.0,64.71875,3.1749004963785413E-4,1000.0,108.71751989138272,154.96052234713335,40000.0,1.89628E7
41000.0,66.3125,3.2530849295047423E-4,1000.0,133.32062503248346,194.6712428397071,41000.0,1.89628E7
42000.0,67.953125,3.3335689047817144E-4,1000.0,165.6199796282938,433.2334443993439,42000.0,1.89628E7
43000.0,69.59375,3.4140528800586864E-4,1000.0,151.59419414657827,265.21452990688425,43000.0,1.89628E7
