learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.671875,3.299773153331545E-6,1000.0,47.86940440156569,64.54845169631515,1000.0,1.8984448E7
2000.0,2.8125,1.3816348736226147E-5,1000.0,55.07587534589743,75.6729681157809,2000.0,1.8990488E7
3000.0,4.890625,2.4034545931499454E-5,1000.0,42.52140212755812,56.624642144041474,3000.0,1.9006624E7
4000.0,7.015625,3.4499457073656636E-5,1000.0,46.119349261935916,61.49366886892962,4000.0,1.9036144E7
5000.0,8.828125,4.341582648016305E-5,1000.0,51.78151655671548,69.01563083180017,5000.0,1.9015704E7
6000.0,10.671875,5.2477249183640294E-5,1000.0,52.362515927357315,79.51504054254838,6000.0,1.8997512E7
7000.0,12.5625,6.177206384664815E-5,1000.0,53.99601707850102,82.33994385229907,7000.0,1.900368E7
8000.0,14.34375,7.053264568740916E-5,1000.0,60.94894544153475,190.5416093019384,8000.0,1.901124E7
9000.0,16.125,7.930157373064301E-5,1000.0,73.3439965029046,306.19754893847636,9000.0,1.9029352E7
10000.0,17.890625,8.80001478556854E-5,1000.0,66.82527553438187,97.78386401882115,10000.0,1.9043728E7
11000.0,19.71875,9.701406311554213E-5,1000.0,68.79945301584038,96.48712747511844,11000.0,1.9059432E7
12000.0,21.546875,1.0603565130926048E-4,1000.0,81.95007224561503,282.846594258968,12000.0,1.9075656E7
13000.0,23.375,1.1505633146346857E-4,1000.0,139.4230629907038,755.9487471002877,13000.0,1.9073736E7
14000.0,25.15625,1.2384761066641659E-4,1000.0,114.20584957070886,604.3078922144516,14000.0,1.9077856E7
15000.0,27.03125,1.331169051506246E-4,1000.0,65.61208858817824,93.38209694729152,15000.0,1.9109432E7
16000.0,28.875,1.4224577656326196E-4,1000.0,71.2948885711437,96.44583419793771,16000.0,1.913892E7
17000.0,30.65625,1.510555692948401E-4,1000.0,60.78286484102862,109.85203218762032,17000.0,1.9118032E7
18000.0,32.515625,1.6026469400256044E-4,1000.0,79.67781238479377,180.91402205986935,18000.0,1.9144928E7
19000.0,34.296875,1.6907357617229637E-4,1000.0,56.04119649218783,77.14281258140787,19000.0,1.9116056E7
20000.0,36.046875,1.7774024519086296E-4,1000.0,72.4522280763825,566.7609097170908,20000.0,1.9143288E7
21000.0,37.875,1.8680387561390588E-4,1000.0,57.0045791724787,85.43628678421703,21000.0,1.9164552E7
22000.0,39.78125,1.9626700367856147E-4,1000.0,55.7117752003039,77.40350204171624,22000.0,1.9189216E7
23000.0,41.671875,2.0561251320436386E-4,1000.0,59.700994904244624,88.95231066564132,23000.0,1.9107328E7
24000.0,43.484375,2.145730862846701E-4,1000.0,91.21929911250264,191.57002214431296,24000.0,1.9109976E7
25000.0,45.3125,2.2359974058215606E-4,1000.0,110.05153314632942,211.452921642365,25000.0,1.9086368E7
26000.0,47.09375,2.324013419436394E-4,1000.0,94.9524786331753,182.30814692795573,26000.0,1.9100256E7
27000.0,48.9375,2.4151884216634138E-4,1000.0,86.55173956452485,140.00870325442895,27000.0,1.911508E7
28000.0,50.78125,2.506415777154163E-4,1000.0,69.6596656833152,100.38586748113205,28000.0,1.9126056E7
29000.0,52.640625,2.598490015306096E-4,1000.0,64.57061515788108,95.7467621556675,29000.0,1.9141392E7
30000.0,54.421875,2.6867648201813507E-4,1000.0,65.58324559991591,95.94614905865014,30000.0,1.9156416E7
31000.0,56.25,2.7771683257823396E-4,1000.0,60.06359454375327,80.00568141313455,31000.0,1.9115328E7
32000.0,58.125,2.869917848470828E-4,1000.0,60.70081716999071,90.1620320555409,32000.0,1.9121096E7
33000.0,59.921875,2.9586765536805616E-4,1000.0,60.39047260150168,88.97740172344928,33000.0,1.9093936E7
34000.0,61.734375,3.0481992713046367E-4,1000.0,54.801362938487664,73.51874145327045,34000.0,1.9092272E7
35000.0,63.578125,3.1394009462221427E-4,1000.0,81.58103717851519,175.8697873280485,35000.0,1.9120672E7
36000.0,65.40625,3.229940468574771E-4,1000.0,81.52657551463031,153.35850933153083,36000.0,1.9144088E7
37000.0,67.1875,3.3181429077457227E-4,1000.0,83.5632862537386,573.0510975579914,37000.0,1.9140712E7
38000.0,69.0,3.407959566296389E-4,1000.0,65.97814674575169,109.50672490536503,38000.0,1.915496E7
39000.0,70.828125,3.4986335541664935E-4,1000.0,79.26618683531923,131.19119738760813,39000.0,1.917252E7
40000.0,72.640625,3.588643134894988E-4,1000.0,84.40367716337589,129.49378960460575,40000.0,1.9196104E7
41000.0,74.484375,3.680291109938278E-4,1000.0,104.84470125055908,158.57507121028306,41000.0,1.921424E7
42000.0,76.34375,3.772961160737193E-4,1000.0,141.71872131879962,418.86994627015724,42000.0,1.9265256E7
43000.0,78.15625,3.8620778527628216E-4,1000.0,147.0299737399381,237.26472593003322,43000.0,1.900568E7
44000.0,79.953125,3.9504368217118703E-4,1000.0,162.80155848090035,235.35830479870882,44000.0,1.9007944E7
