learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.15625,7.958183737678661E-7,1000.0,47.59538028532229,64.66372881715452,1000.0,1.968776E7
2000.0,1.8125,9.563871685208545E-6,1000.0,56.40212912212968,76.23395991830886,2000.0,2.0463488E7
3000.0,3.421875,1.8401015226522255E-5,1000.0,56.48345484164227,73.29274443997616,3000.0,2.1225456E7
4000.0,5.21875,2.8593639079998765E-5,1000.0,61.83704530120768,81.14873098936913,4000.0,2.192656E7
5000.0,6.921875,3.850935900118202E-5,1000.0,66.42177077462335,86.83762447979124,5000.0,2.2505056E7
6000.0,8.53125,4.808601380015413E-5,1000.0,70.60103526904403,100.6131237203427,6000.0,2.3001648E7
7000.0,10.4375,5.96439645677391E-5,1000.0,73.91277578061862,107.5539662970107,7000.0,2.3437072E7
8000.0,12.0625,6.965297468317052E-5,1000.0,86.94198528042098,204.31892254917133,8000.0,2.3808944E7
9000.0,13.609375,7.931188699634126E-5,1000.0,96.65345513033917,316.34369014643744,9000.0,2.413656E7
10000.0,15.328125,9.01581887026421E-5,1000.0,91.3463780472225,125.29254563810926,10000.0,2.4393344E7
11000.0,17.03125,1.0100314387172047E-4,1000.0,95.00646264461157,127.99482674058677,11000.0,2.461408E7
12000.0,18.625,1.1123445771065437E-4,1000.0,104.67444425279143,298.2285669994662,12000.0,2.481496E7
13000.0,20.28125,1.2194616765353E-4,1000.0,162.7933227982037,768.3811609582538,13000.0,2.4999728E7
14000.0,21.953125,1.3283492266459183E-4,1000.0,139.04878029734863,616.1129528347413,14000.0,2.5175424E7
15000.0,23.734375,1.4449960325792845E-4,1000.0,90.23278247466227,118.0768554954963,15000.0,2.5313392E7
16000.0,25.46875,1.559220080445003E-4,1000.0,86.70353579705845,111.70735505453602,16000.0,2.5457568E7
17000.0,27.171875,1.6719484540064715E-4,1000.0,83.86890788625365,127.38921557548473,17000.0,2.5585216E7
18000.0,28.859375,1.7842306826625846E-4,1000.0,100.37448457267743,196.8967966470734,18000.0,2.571992E7
19000.0,30.53125,1.8960177458615766E-4,1000.0,82.30111148890198,101.28567311378026,19000.0,2.5845808E7
20000.0,32.15625,2.0050913173084458E-4,1000.0,86.5784102192454,568.5961666767047,20000.0,2.5945888E7
21000.0,33.71875,2.1103426684728927E-4,1000.0,73.22041026892312,97.65166896708205,21000.0,2.6038144E7
22000.0,35.34375,2.2201672894880175E-4,1000.0,80.57695540107791,101.82607815533451,22000.0,2.6124544E7
23000.0,37.0,2.3325478205353848E-4,1000.0,77.61117096574088,107.56848679894334,23000.0,2.6228144E7
24000.0,38.640625,2.444286680676871E-4,1000.0,115.83400018725659,214.68522935895848,24000.0,2.6326752E7
25000.0,40.375,2.562952772455497E-4,1000.0,140.49380354039232,242.3057118224885,25000.0,2.6447584E7
26000.0,42.03125,2.676683713475035E-4,1000.0,121.48970315509293,208.75266815942567,26000.0,2.6543312E7
27000.0,43.75,2.7951329597271975E-4,1000.0,114.20649872481968,170.59053543212693,27000.0,2.6639248E7
28000.0,45.546875,2.9193580034188923E-4,1000.0,91.68947978288868,117.22752360792983,28000.0,2.672352E7
29000.0,47.21875,3.0352822653690557E-4,1000.0,88.73895051704375,116.94660421662046,29000.0,2.6802352E7
30000.0,48.890625,3.151557868113741E-4,1000.0,93.03283354871695,123.5072355946097,30000.0,2.6883584E7
31000.0,50.546875,3.2671276783932825E-4,1000.0,81.36748529669225,101.05768946659623,31000.0,2.697248E7
32000.0,52.328125,3.3918434631131174E-4,1000.0,75.27699541457017,105.57422732769646,32000.0,2.7064432E7
33000.0,54.03125,3.511424183509209E-4,1000.0,66.80650043521212,95.12138594709128,33000.0,2.7140448E7
34000.0,55.734375,3.63137627654295E-4,1000.0,70.24380009273513,88.8616504625159,34000.0,2.7224736E7
35000.0,57.484375,3.7550139324998274E-4,1000.0,105.95804747188453,197.77535042429244,35000.0,2.7309584E7
36000.0,59.140625,3.87232718251956E-4,1000.0,105.70986857981065,177.3194954618829,36000.0,2.7379376E7
37000.0,60.84375,3.993309714779672E-4,1000.0,106.44898767952233,577.8857326879973,37000.0,2.7458608E7
38000.0,62.546875,4.11462865368877E-4,1000.0,85.54017267478378,128.3966938791902,38000.0,2.753496E7
39000.0,64.25,4.236289145450832E-4,1000.0,105.02851386876189,152.5719044493681,39000.0,2.761248E7
40000.0,66.0,4.361627820698131E-4,1000.0,108.71751989138272,154.96052234713335,40000.0,2.7685312E7
41000.0,67.71875,4.4850684385488017E-4,1000.0,133.32062503248346,194.6712428397071,41000.0,2.7761808E7
42000.0,69.375,4.604374396795821E-4,1000.0,165.6199796282938,433.2334443993439,42000.0,2.7844448E7
43000.0,71.140625,4.7318798114752604E-4,1000.0,151.59419414657827,265.21452990688425,43000.0,2.7914672E7
44000.0,72.828125,4.8541032566895917E-4,1000.0,180.18951410655083,304.286960247579,44000.0,2.7997104E7
45000.0,74.53125,4.97777027453089E-4,1000.0,231.126564502869,368.9600317638853,45000.0,2.8067888E7
46000.0,76.21875,5.100568578604403E-4,1000.0,271.1926550724656,446.1456830167774,46000.0,2.8128784E7
47000.0,77.96875,5.22815987480701E-4,1000.0,314.17851199297553,495.36321409202435,47000.0,2.818288E7
48000.0,79.78125,5.360638030106203E-4,1000.0,347.6165413344896,625.2734138943479,48000.0,2.8253264E7
49000.0,81.53125,5.488858217399361E-4,1000.0,345.5440740766426,534.5719018123974,49000.0,2.8321792E7
50000.0,83.296875,5.618495169457877E-4,1000.0,388.8245603796501,567.7612299114213,50000.0,2.8381328E7
