learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.921875,5.98926870023004E-6,1000.0,32.65360485099678,46.665994350058476,1000.0,2.5114776E7
2000.0,3.359375,2.7110857934328834E-5,1000.0,28.215955144840144,41.18187299170984,2000.0,3.3495336E7
3000.0,6.3125,4.340935340021841E-5,1000.0,28.400328409748905,40.883214155841664,3000.0,2.1333792E7
4000.0,8.890625,6.055578731724786E-5,1000.0,32.018111129496425,44.4293170335358,4000.0,2.5708232E7
5000.0,11.171875,7.833747535995725E-5,1000.0,37.57132113462298,51.61085465355243,5000.0,3.0130232E7
6000.0,13.796875,1.0632447620284641E-4,1000.0,35.68336453804877,57.935133890570526,6000.0,4.1212544E7
7000.0,16.609375,1.3900026051689768E-4,1000.0,32.41477780056397,49.956305204632855,7000.0,4.4909256E7
8000.0,19.703125,1.5941041010794128E-4,1000.0,40.33002046790611,157.20835581752812,8000.0,2.550136E7
9000.0,22.171875,1.7196066373597005E-4,1000.0,50.260999099803456,251.70283543181142,9000.0,1.9650688E7
10000.0,24.171875,1.8592581676784905E-4,1000.0,43.01032906556027,64.84786946713079,10000.0,2.6990944E7
11000.0,26.453125,2.0782449159822947E-4,1000.0,38.711561456764386,57.66566155709405,11000.0,3.7106272E7
12000.0,29.3125,2.2770676095711277E-4,1000.0,47.10729034034407,252.98738728908236,12000.0,2.6878016E7
13000.0,31.65625,2.442721373841374E-4,1000.0,112.34440970961465,634.9372290373375,13000.0,2.7320736E7
14000.0,33.953125,2.6394133304064683E-4,1000.0,70.09959927310662,387.2905605364356,14000.0,3.31018E7
15000.0,36.328125,2.9013344167550615E-4,1000.0,43.02070183795373,118.34277240774277,15000.0,4.26294E7
16000.0,39.140625,3.2696151604694835E-4,1000.0,46.25498074572544,67.85630192083482,16000.0,5.061612E7
17000.0,42.1875,3.744653634041445E-4,1000.0,34.133351425323085,86.3167444885165,17000.0,6.0266576E7
18000.0,45.40625,4.2785045939833965E-4,1000.0,46.54316816258105,133.58539730894657,18000.0,6.4111384E7
19000.0,48.78125,4.928747426472709E-4,1000.0,29.694197303664307,46.45039181775844,19000.0,7.4473912E7
20000.0,52.453125,5.654518125488216E-4,1000.0,46.835435081469015,565.5781450781394,20000.0,7.6403616E7
21000.0,56.15625,6.362305958625965E-4,1000.0,35.241711054236234,68.23989802599705,21000.0,7.3881736E7
22000.0,59.59375,7.098635501461104E-4,1000.0,29.53641032317298,45.81831053996558,22000.0,8.2800296E7
23000.0,63.359375,7.987221362741872E-4,1000.0,30.4016692158252,51.66382202652496,23000.0,9.1214672E7
24000.0,69.1875,8.343129686868958E-4,1000.0,55.54223254643008,122.5667560675027,24000.0,2.3605416E7
25000.0,71.390625,8.532140613856934E-4,1000.0,54.962390628910995,102.19006325232532,25000.0,3.316272E7
26000.0,73.8125,8.802257888601163E-4,1000.0,47.82912950882363,94.69677281281417,26000.0,4.311248E7
27000.0,76.71875,9.19094148266595E-4,1000.0,41.82604178888364,74.1184689679025,27000.0,5.1697032E7
28000.0,79.8125,9.695545610156843E-4,1000.0,37.903035534356405,62.67301896134449,28000.0,6.3047512E7
29000.0,83.171875,0.0010337788260787624,1000.0,34.24109186011447,62.16933045353632,29000.0,7.389976E7
30000.0,86.75,0.0011111332883592697,1000.0,31.811706815419107,49.10892351348767,30000.0,8.3566504E7
31000.0,91.046875,0.0012150800158593081,1000.0,30.033867367498367,42.351550935646586,31000.0,9.351052E7
32000.0,95.59375,0.0013360698049978562,1000.0,32.521046086049445,64.82168194693874,32000.0,1.02858E8
33000.0,100.828125,0.0014681251261046985,1000.0,31.009910701895485,49.61551203531951,33000.0,9.7519944E7
34000.0,105.421875,0.0015995848463434314,1000.0,29.21657475949379,41.0276494018043,34000.0,1.10618488E8
35000.0,111.96875,0.0016428019009375326,1000.0,48.11706602484857,113.7138980110534,35000.0,2.551664E7
36000.0,114.1875,0.001661461304045386,1000.0,47.41120304981357,97.53021779976525,36000.0,3.2508112E7
37000.0,116.84375,0.0016830818415231384,1000.0,56.942062397031386,551.7936585819824,37000.0,3.1462984E7
38000.0,119.3125,0.001705192419726195,1000.0,38.34538638438846,77.98331721110529,38000.0,3.4619864E7
39000.0,121.765625,0.0017339527449480054,1000.0,48.28898128697576,97.80418002739044,39000.0,4.53186E7
40000.0,125.109375,0.0017618843450327407,1000.0,51.74815753333408,81.31989614829403,40000.0,3.2289728E7
41000.0,127.453125,0.0017792335991786486,1000.0,54.46761867381554,85.94360762772767,41000.0,2.861356E7
42000.0,129.875,0.0017962896886617983,1000.0,74.28361997797737,362.60016397356554,42000.0,2.7222632E7
43000.0,132.140625,0.0018175603997143404,1000.0,59.405180179011424,129.8470578834889,43000.0,3.6290784E7
44000.0,135.03125,0.00183435397976104,1000.0,70.94575873939895,122.68958467008648,44000.0,2.2457112E7
45000.0,137.25,0.0018508096476822786,1000.0,66.94115455039213,102.50766563836858,45000.0,2.86688E7
46000.0,139.75,0.001873501342908842,1000.0,87.348998098169,158.27926827283343,46000.0,3.5085632E7
47000.0,142.34375,0.0018921276681552026,1000.0,84.49140592401693,146.1105873194363,47000.0,2.7758848E7
48000.0,144.59375,0.0019117247673178408,1000.0,105.24776856667634,327.62948673513716,48000.0,3.366756E7
49000.0,147.0,0.0019379517934996538,1000.0,96.3733375418685,202.29142825027358,49000.0,4.2131864E7
50000.0,150.265625,0.0019607490388120325,1000.0,109.11692396427537,192.302748644397,50000.0,2.6984752E7
