learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.890625,6.352418567985297E-6,1000.0,31.969253448340623,46.42161243816119,1000.0,2.757208E7
2000.0,3.71875,3.195313316407717E-5,1000.0,29.714870478818575,44.11254059883543,2000.0,3.499096E7
3000.0,6.703125,5.387420652874021E-5,1000.0,28.10981696835901,40.56349029191112,3000.0,2.8392968E7
4000.0,9.203125,7.589643087056982E-5,1000.0,29.5113355272528,41.186303279353204,4000.0,3.4050504E7
5000.0,11.78125,1.0148865717282105E-4,1000.0,37.674980840340375,52.21133534619682,5000.0,3.8371296E7
6000.0,14.40625,1.322353740235687E-4,1000.0,35.9303908170147,58.72563996784779,6000.0,4.5276392E7
7000.0,17.703125,1.766482168265308E-4,1000.0,33.20946409730029,49.59870740528804,7000.0,5.2072504E7
8000.0,21.0,2.1289642192035295E-4,1000.0,41.194684147390944,149.68383001969806,8000.0,4.2499752E7
9000.0,24.015625,2.4370186305734226E-4,1000.0,47.849047369196434,251.55835385130473,9000.0,3.9486848E7
10000.0,26.75,2.7449264126415884E-4,1000.0,41.03558863570274,62.37684175146993,10000.0,4.3527624E7
11000.0,29.609375,3.131427912093285E-4,1000.0,35.90977335388206,53.626905980314966,11000.0,5.2249536E7
12000.0,33.296875,3.5528790878338945E-4,1000.0,44.67036695698318,236.77707988200737,12000.0,4.4179176E7
13000.0,36.328125,3.909363012967838E-4,1000.0,106.99067885897439,625.4766833042543,13000.0,4.5459072E7
14000.0,39.484375,4.3449497652343574E-4,1000.0,68.3574280719142,392.9058195064904,14000.0,5.3346464E7
15000.0,42.859375,4.875644306755728E-4,1000.0,43.105192072996985,130.54752688479678,15000.0,6.0781752E7
16000.0,46.359375,5.494489438003964E-4,1000.0,44.60081666783911,67.28532733393284,16000.0,6.8346504E7
17000.0,50.03125,6.207369463582937E-4,1000.0,33.70152275402526,86.61344762933908,17000.0,7.5046584E7
18000.0,53.96875,7.075484048174177E-4,1000.0,44.563914457867696,126.63601950522582,18000.0,8.52234E7
19000.0,58.015625,8.060569790541194E-4,1000.0,29.73748731464281,46.550290064772796,19000.0,9.4092848E7
20000.0,63.140625,9.289435114543368E-4,1000.0,46.217987406050554,565.5784621179262,20000.0,9.2685712E7
21000.0,68.1875,0.0010457843033105341,1000.0,36.87505754005362,81.93824834345281,21000.0,8.948996E7
22000.0,72.9375,0.001166175344454435,1000.0,31.051575919180575,48.45711426934448,22000.0,9.7972216E7
23000.0,77.875,0.0013055353894338218,1000.0,30.654149499907312,53.0703321076909,23000.0,1.09102208E8
24000.0,84.265625,0.001378940378231669,1000.0,58.9029243819889,129.60440108600898,24000.0,4.4400168E7
25000.0,87.234375,0.0014184270829880714,1000.0,60.21348353435338,114.79059159048299,25000.0,5.1413792E7
26000.0,90.59375,0.0014712200522383986,1000.0,50.02966080668709,100.73629260457807,26000.0,6.074632E7
27000.0,94.21875,0.0015341912090015184,1000.0,45.067203964376276,78.31050449999037,27000.0,6.7148456E7
28000.0,98.015625,0.001610502921038359,1000.0,38.9714001176083,63.798102387260904,28000.0,7.7690384E7
29000.0,102.078125,0.0016993304904382158,1000.0,33.647422850075785,61.82534596239956,29000.0,8.4519472E7
30000.0,106.296875,0.0018013982262992715,1000.0,32.073321225883305,48.826625490560765,30000.0,9.3520552E7
31000.0,111.28125,0.001934392065805797,1000.0,28.85771374842491,40.52526705500563,31000.0,1.03139064E8
32000.0,116.484375,0.0020875495955179862,1000.0,32.24619526119119,64.3803155558088,32000.0,1.1378276E8
33000.0,122.078125,0.002253755301579885,1000.0,30.9706619775356,50.74025460041784,33000.0,1.14853768E8
34000.0,127.515625,0.0024273882100371543,1000.0,28.82745462685242,40.15666325238326,34000.0,1.23434096E8
35000.0,134.75,0.0025282546749480794,1000.0,46.75452245639118,115.27335244003238,35000.0,5.389496E7
36000.0,138.234375,0.002584337352083013,1000.0,41.223489194376256,84.50048924789118,36000.0,6.2216592E7
37000.0,142.078125,0.0026401275046777704,1000.0,53.15712682339038,553.218118199552,37000.0,5.6105416E7
38000.0,145.703125,0.0026994111657647106,1000.0,34.436075292313454,69.2462450159889,38000.0,6.3216344E7
39000.0,149.46875,0.00276581398272861,1000.0,46.72196390942088,93.74232307569987,39000.0,6.8163488E7
40000.0,153.75,0.0028250516761262486,1000.0,50.023536761499976,78.9045376154289,40000.0,5.3484744E7
41000.0,157.328125,0.0028742689894796867,1000.0,58.61120477956816,89.83704587547993,41000.0,5.3169768E7
42000.0,160.9375,0.0029237339928254694,1000.0,84.91838151344353,373.50124561011523,42000.0,5.2974688E7
43000.0,164.5,0.0029813073582610943,1000.0,55.975633744200884,126.89599108863263,43000.0,6.2469656E7
44000.0,168.53125,0.003036343781018837,1000.0,69.07465650506204,119.20701287599064,44000.0,5.2773128E7
45000.0,172.125,0.003086735822984742,1000.0,61.43737638313192,95.84445265235273,45000.0,5.4202144E7
46000.0,175.8125,0.0031480774476141155,1000.0,78.00560672470446,149.4627506357637,46000.0,6.4302168E7
47000.0,179.84375,0.0032011836028606115,1000.0,94.44206179401316,157.11954282873123,47000.0,5.092224E7
48000.0,183.25,0.0032497039525899002,1000.0,107.14383267947325,325.9198781256353,48000.0,5.506172E7
49000.0,186.8125,0.003308457067016409,1000.0,92.60085598835664,196.81168212345113,49000.0,6.3749736E7
50000.0,190.859375,0.0033687239715881234,1000.0,103.14603607486504,187.0524724801615,50000.0,5.7565392E7
