learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.703125,4.468148108571768E-6,1000.0,32.308203854526205,46.78245644059133,1000.0,2.456536E7
2000.0,2.875,2.055675198789686E-5,1000.0,29.537415414385762,42.43541446592791,2000.0,2.8634256E7
3000.0,5.140625,3.3949261964557485E-5,1000.0,29.4281873749389,41.58863722284219,3000.0,2.284948E7
4000.0,6.859375,4.47686290458983E-5,1000.0,30.892167423745185,42.580769619002815,4000.0,2.4332768E7
5000.0,8.921875,5.957784503051597E-5,1000.0,36.69902500591373,50.679438410809496,5000.0,2.7754952E7
6000.0,10.78125,7.488750939955935E-5,1000.0,34.70158480290838,57.097976045511466,6000.0,3.1827392E7
7000.0,13.0,9.439709599569647E-5,1000.0,32.416403188715016,49.49892790216858,7000.0,3.3989288E7
8000.0,15.0625,1.0759001678606081E-4,1000.0,41.226034083082546,152.5727472724124,8000.0,2.4725744E7
9000.0,16.953125,1.1905714701343742E-4,1000.0,47.429061246592575,235.74956089360288,9000.0,2.344508E7
10000.0,18.6875,1.3051273288308747E-4,1000.0,37.444584336737236,56.69998366659044,10000.0,2.553152E7
11000.0,20.53125,1.4436065956639746E-4,1000.0,35.919874893758504,52.83332161159824,11000.0,2.9032544E7
12000.0,22.578125,1.5731348698156783E-4,1000.0,45.803855821378114,260.3035356352582,12000.0,2.446108E7
13000.0,24.40625,1.6912129604154165E-4,1000.0,106.51139879881505,651.7711329471753,13000.0,2.4966968E7
14000.0,26.21875,1.8240021994440922E-4,1000.0,70.41369823786434,384.96482272416426,14000.0,2.8319608E7
15000.0,28.125,1.9859893629068718E-4,1000.0,42.801290816987326,124.27393083551988,15000.0,3.284756E7
16000.0,30.109375,2.1776636545028954E-4,1000.0,45.541096717232485,68.6364796899259,16000.0,3.7337264E7
17000.0,32.203125,2.4088999127141306E-4,1000.0,34.01994084645767,87.02344008316066,17000.0,4.269072E7
18000.0,34.78125,2.718475116287462E-4,1000.0,47.63329795841063,143.3382570492928,18000.0,4.6415664E7
19000.0,37.375,3.06848210360234E-4,1000.0,29.550578291806104,44.272605251617186,19000.0,5.2161608E7
20000.0,40.1875,3.4538460973029334E-4,1000.0,47.25744095022083,565.3407432198796,20000.0,5.2964024E7
21000.0,42.921875,3.8714012913664594E-4,1000.0,35.65867147377237,75.13446738744166,21000.0,5.9027288E7
22000.0,45.75,4.350453010475677E-4,1000.0,33.20631993427745,55.03630923292599,22000.0,6.5476608E7
23000.0,48.859375,4.876342765055597E-4,1000.0,33.53763771535199,59.87716465059814,23000.0,6.5376848E7
24000.0,52.390625,5.141987383184541E-4,1000.0,54.68008832593107,120.73628458524973,24000.0,2.9078696E7
25000.0,54.25,5.27272229276908E-4,1000.0,56.061583835219984,108.08972017051481,25000.0,2.7178592E7
26000.0,56.109375,5.422881972238732E-4,1000.0,46.339718806556206,94.40746687692014,26000.0,3.1216824E7
27000.0,58.125,5.60568584187422E-4,1000.0,42.28717289661139,74.14542448772715,27000.0,3.5057264E7
28000.0,60.15625,5.815553572999003E-4,1000.0,37.93329130260885,62.05308170799105,28000.0,3.9937848E7
29000.0,62.28125,6.057380821180736E-4,1000.0,33.17491369187414,60.35311144554741,29000.0,4.3989464E7
30000.0,64.75,6.363210993004031E-4,1000.0,32.29017630597688,49.0799478059642,30000.0,4.7885672E7
31000.0,67.375,6.719760514291314E-4,1000.0,29.127247441497246,41.29450122926754,31000.0,5.2504064E7
32000.0,70.046875,7.110299751123724E-4,1000.0,32.075386605790825,64.73419904155746,32000.0,5.650032E7
33000.0,73.0625,7.453646644393707E-4,1000.0,31.31012038231248,47.83902804889805,33000.0,4.4010688E7
34000.0,75.53125,7.759433489021224E-4,1000.0,29.641540992329745,41.6264151917012,34000.0,4.7878888E7
35000.0,78.515625,7.941571880494141E-4,1000.0,48.38203537881183,117.35562321253006,35000.0,2.3591224E7
36000.0,80.34375,8.069493724744664E-4,1000.0,48.53900579156302,100.20829350248209,36000.0,2.7048376E7
37000.0,82.265625,8.205855083199114E-4,1000.0,58.33820514563255,560.9110953208493,37000.0,2.7426384E7
38000.0,84.15625,8.355266609255018E-4,1000.0,39.77616544978275,81.77781589905447,38000.0,3.054788E7
39000.0,86.109375,8.530172788434559E-4,1000.0,49.821888961579,100.53568794989042,39000.0,3.4616048E7
40000.0,88.4375,8.687941110434218E-4,1000.0,54.57772141227801,89.01330814074394,40000.0,2.6194848E7
41000.0,90.265625,8.81085053875318E-4,1000.0,57.573354216764514,89.33916866538831,41000.0,2.5988528E7
42000.0,92.1875,8.935048988334732E-4,1000.0,83.15971968946037,359.0634111412622,42000.0,2.4980056E7
43000.0,94.046875,9.072563686317558E-4,1000.0,58.993647576717635,131.52623232121059,43000.0,2.8588048E7
44000.0,96.109375,9.205646942589536E-4,1000.0,70.97284169639694,124.22030660165596,44000.0,2.4942032E7
45000.0,97.953125,9.329961866023951E-4,1000.0,64.89475500028992,106.08054909686047,45000.0,2.6062952E7
46000.0,99.859375,9.471774729576687E-4,1000.0,83.11090444192976,152.39628339605738,46000.0,2.875664E7
47000.0,101.953125,9.617673302030502E-4,1000.0,93.68906166973682,164.709237250898,47000.0,2.693572E7
48000.0,103.859375,9.751028160422317E-4,1000.0,110.06677101017792,339.2392594031114,48000.0,2.7041536E7
49000.0,105.75,9.905585473299855E-4,1000.0,91.41696722506347,194.87702470382797,49000.0,3.159996E7
50000.0,107.703125,0.001006829831975564,1000.0,93.73995819978606,180.06433841033453,50000.0,3.220284E7
