learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.3125,1.5286715804702707E-6,1000.0,47.59538028532229,64.66372881715452,1000.0,1.8908912E7
2000.0,2.015625,9.859931694033245E-6,1000.0,56.40212912212968,76.23395991830886,2000.0,1.8908912E7
3000.0,3.6875,1.8038324649549193E-5,1000.0,56.48345484164227,73.29274443997616,3000.0,1.8908912E7
4000.0,5.28125,2.5834549709947572E-5,1000.0,61.83704530120768,81.14873098936913,4000.0,1.8908912E7
5000.0,6.796875,3.3248606875228386E-5,1000.0,66.42177077462335,86.83762447979124,5000.0,1.8908912E7
6000.0,8.234375,4.0280516970799205E-5,1000.0,70.60103526904403,100.6131237203427,6000.0,1.8908968E7
7000.0,9.859375,4.822960918924461E-5,1000.0,73.91277578061862,107.5539662970107,7000.0,1.8908912E7
8000.0,11.359375,5.556725450636198E-5,1000.0,86.94198528042098,204.31892254917133,8000.0,1.8908968E7
9000.0,12.828125,6.275201093457226E-5,1000.0,96.65345513033917,316.34369014643744,9000.0,1.8908912E7
10000.0,14.296875,6.993679472038316E-5,1000.0,91.3463780472225,125.29254563810926,10000.0,1.8908984E7
11000.0,15.8125,7.735085188566398E-5,1000.0,95.00646264461157,127.99482674058677,11000.0,1.8908912E7
12000.0,17.40625,8.514710663196942E-5,1000.0,104.67444425279143,298.2285669994662,12000.0,1.8908984E7
13000.0,18.890625,9.240832428784214E-5,1000.0,162.7933227982037,768.3811609582538,13000.0,1.8908928E7
14000.0,20.3125,9.936380057802632E-5,1000.0,139.04878029734863,616.1129528347413,14000.0,1.8908968E7
15000.0,21.796875,1.0662501208975706E-4,1000.0,90.23278247466227,118.0768554954963,15000.0,1.8908912E7
16000.0,23.203125,1.1350406039532068E-4,1000.0,86.70353579705845,111.70735505453602,16000.0,1.8908984E7
17000.0,24.609375,1.2038310288011822E-4,1000.0,83.86890788625365,127.38921557548473,17000.0,1.8908968E7
18000.0,26.09375,1.2764429903149398E-4,1000.0,100.37448457267743,196.8967966470734,18000.0,1.8908928E7
19000.0,27.53125,1.3467621507718124E-4,1000.0,82.30111148890198,101.28567311378026,19000.0,1.8908984E7
20000.0,29.0,1.418609775848583E-4,1000.0,86.5784102192454,568.5961666767047,20000.0,1.8908928E7
21000.0,30.4375,1.4889289363054556E-4,1000.0,73.22041026892312,97.65166896708205,21000.0,1.8908984E7
22000.0,31.9375,1.562305451564801E-4,1000.0,80.57695540107791,101.82607815533451,22000.0,1.8908928E7
23000.0,33.421875,1.6349176281235282E-4,1000.0,77.61117096574088,107.56848679894334,23000.0,1.8908984E7
24000.0,34.875,1.7060010671331028E-4,1000.0,115.83400018725659,214.68522935895848,24000.0,1.8908912E7
25000.0,36.359375,1.7786131822504101E-4,1000.0,140.49380354039232,242.3057118224885,25000.0,1.8908968E7
26000.0,37.84375,1.8512253588091372E-4,1000.0,121.48970315509293,208.75266815942567,26000.0,1.8908928E7
27000.0,39.265625,1.9207801217109788E-4,1000.0,114.20649872481968,170.59053543212693,27000.0,1.8908968E7
28000.0,40.765625,1.9941565748821525E-4,1000.0,91.68947978288868,117.22752360792983,28000.0,1.8908912E7
29000.0,42.21875,2.0652400138917272E-4,1000.0,88.73895051704375,116.94660421662046,29000.0,1.8908968E7
30000.0,43.703125,2.1378521290090345E-4,1000.0,93.03283354871695,123.5072355946097,30000.0,1.8908912E7
31000.0,45.125,2.2074068919108764E-4,1000.0,81.36748529669225,101.05768946659623,31000.0,1.8908968E7
32000.0,46.609375,2.2800187919832143E-4,1000.0,75.27699541457017,105.57422732769646,32000.0,1.8908912E7
33000.0,48.09375,2.3526309071005217E-4,1000.0,66.80650043521212,95.12138594709128,33000.0,1.8908968E7
34000.0,49.546875,2.4237141355923892E-4,1000.0,70.24380009273513,88.8616504625159,34000.0,1.8908912E7
35000.0,51.015625,2.49556191265583E-4,1000.0,105.95804747188453,197.77535042429244,35000.0,1.8908912E7
36000.0,52.5,2.5681740892145573E-4,1000.0,105.70986857981065,177.3194954618829,36000.0,1.8908984E7
37000.0,53.9375,2.638493041417354E-4,1000.0,106.44898767952233,577.8857326879973,37000.0,1.8908928E7
38000.0,55.421875,2.7111052179760813E-4,1000.0,85.54017267478378,128.3966938791902,38000.0,1.8908928E7
39000.0,56.875,2.7821886569856557E-4,1000.0,105.02851386876189,152.5719044493681,39000.0,1.8908968E7
40000.0,58.328125,2.8532719456254396E-4,1000.0,108.71751989138272,154.96052234713335,40000.0,1.8908928E7
41000.0,59.75,2.922826502536837E-4,1000.0,133.32062503248346,194.6712428397071,41000.0,1.8908912E7
42000.0,61.234375,2.995438679095564E-4,1000.0,165.6199796282938,433.2334443993439,42000.0,1.8908984E7
43000.0,62.65625,3.064993294861374E-4,1000.0,151.59419414657827,265.21452990688425,43000.0,1.8908928E7
44000.0,64.109375,3.136076733870948E-4,1000.0,180.18951410655083,304.286960247579,44000.0,1.8908912E7
45000.0,65.578125,3.207924510934389E-4,1000.0,231.126564502869,368.9600317638853,45000.0,1.8908968E7
46000.0,67.0625,3.280536411006727E-4,1000.0,271.1926550724656,446.1456830167774,46000.0,1.8908912E7
47000.0,68.546875,3.353148526124034E-4,1000.0,314.17851199297553,495.36321409202435,47000.0,1.8908912E7
48000.0,70.0,3.424231965133608E-4,1000.0,347.6165413344896,625.2734138943479,48000.0,1.8908968E7
49000.0,71.484375,3.496843865205946E-4,1000.0,345.5440740766426,534.5719018123974,49000.0,1.8908912E7
50000.0,72.9375,3.5679273042155205E-4,1000.0,388.8245603796501,567.7612299114213,50000.0,1.8908912E7
