learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.609375,2.9969289122770233E-6,1000.0,47.59538028532229,64.66372881715452,1000.0,1.9010528E7
2000.0,2.765625,1.3605288889569541E-5,1000.0,56.40212912212968,76.23395991830886,2000.0,1.9017416E7
3000.0,4.84375,2.3830604073332832E-5,1000.0,56.48345484164227,73.29274443997616,3000.0,1.9019864E7
4000.0,6.734375,3.313027849395036E-5,1000.0,62.20523070299513,78.78854215361952,4000.0,1.9013616E7
5000.0,8.828125,4.344181387245449E-5,1000.0,69.51726841532938,85.68769576569147,5000.0,1.9037104E7
6000.0,10.671875,5.252283852314577E-5,1000.0,67.43788821280982,96.16534485033982,6000.0,1.9038608E7
7000.0,12.65625,6.231209803243271E-5,1000.0,70.18646781722379,101.06964507867748,7000.0,1.9069024E7
8000.0,14.5,7.14042954496108E-5,1000.0,81.2218328804883,195.76609987940947,8000.0,1.9062032E7
9000.0,16.34375,8.048251164533819E-5,1000.0,97.20491069464035,309.96204205918684,9000.0,1.903272E7
10000.0,18.171875,8.949036195796604E-5,1000.0,98.14437142610815,129.45309346514108,10000.0,1.9046608E7
11000.0,20.0,9.851091347324352E-5,1000.0,92.06600879700265,117.44086685017785,11000.0,1.9073464E7
12000.0,21.828125,1.0755346602915475E-4,1000.0,103.0336456527932,289.5373461096257,12000.0,1.9119984E7
13000.0,23.625,1.1644133719124107E-4,1000.0,167.4709061205037,760.2391411639098,13000.0,1.9119752E7
14000.0,25.390625,1.2518278908424287E-4,1000.0,151.89107084626878,612.4422470109929,14000.0,1.91376E7
15000.0,27.21875,1.3420682520114092E-4,1000.0,97.52238872230927,119.89369893305897,15000.0,1.9080832E7
16000.0,29.078125,1.4339320335744155E-4,1000.0,92.06976304871672,111.29327192534807,16000.0,1.909764E7
17000.0,30.90625,1.524253815619482E-4,1000.0,78.62165712466464,122.81817883019045,17000.0,1.9098048E7
18000.0,32.734375,1.61478032273913E-4,1000.0,101.95642323394192,195.17697387188923,18000.0,1.9141336E7
19000.0,34.5625,1.7052050159286914E-4,1000.0,79.47396301936654,100.0269394801393,19000.0,1.9119808E7
20000.0,36.390625,1.795651766911356E-4,1000.0,82.86301432888499,568.2828177985233,20000.0,1.9124472E7
21000.0,38.15625,1.8831221942996811E-4,1000.0,66.94754261445487,94.29424890090384,21000.0,1.914984E7
22000.0,40.015625,1.975353822732965E-4,1000.0,72.57763798688772,96.37678068929156,22000.0,1.9174112E7
23000.0,41.84375,2.0660052609552316E-4,1000.0,68.92868135372214,99.86969031130224,23000.0,1.9167752E7
24000.0,43.671875,2.1566017627871282E-4,1000.0,108.02550303943347,204.67638830519815,24000.0,1.9156136E7
25000.0,45.515625,2.2480511999068158E-4,1000.0,129.67078093365132,230.62932139981805,25000.0,1.9172616E7
26000.0,47.34375,2.338399731282455E-4,1000.0,120.19464278496811,198.18083003543623,26000.0,1.9103704E7
27000.0,49.171875,2.4288131496480973E-4,1000.0,115.60841185670883,165.04150114051944,27000.0,1.9117424E7
28000.0,50.921875,2.51494993281085E-4,1000.0,89.97489714426956,114.2298851692796,28000.0,1.902624E7
29000.0,52.734375,2.6042970961296096E-4,1000.0,86.22051877324277,117.7856665701233,29000.0,1.9054832E7
30000.0,54.5625,2.694308631342007E-4,1000.0,88.33752887993754,120.43284483686118,30000.0,1.9032448E7
31000.0,56.34375,2.782057079861664E-4,1000.0,77.67418001192182,99.81386543739951,31000.0,1.9042192E7
32000.0,58.15625,2.8713893510737547E-4,1000.0,71.60292024809992,103.30679448992557,32000.0,1.9051656E7
33000.0,60.015625,2.963058222667313E-4,1000.0,62.35650085207235,91.6843877759418,33000.0,1.905712E7
