learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.328125,4.3037493014708165E-6,1000.0,35.243376224832836,49.91506094817655,1000.0,5.070024E7
2000.0,3.203125,4.884503581302447E-5,1000.0,30.319297222702914,46.19309973265488,2000.0,5.9886272E7
3000.0,6.6875,9.3032435753331E-5,1000.0,30.759489173791614,43.90847573612346,3000.0,4.9020296E7
4000.0,9.484375,1.3094530531412198E-4,1000.0,34.09727374227301,46.72661485775101,4000.0,5.2398152E7
5000.0,12.34375,1.7432621644628753E-4,1000.0,37.853470603675916,51.84173188447897,5000.0,5.8644856E7
6000.0,15.453125,2.2888740734843953E-4,1000.0,35.85303048865334,60.04925077648498,6000.0,6.782864E7
7000.0,18.9375,2.806623528077681E-4,1000.0,34.61427736754126,54.500895680769574,7000.0,5.7437712E7
8000.0,21.96875,3.2380583091354417E-4,1000.0,49.018561970298286,158.95035215688006,8000.0,5.5016856E7
9000.0,25.0,3.633764171132094E-4,1000.0,51.33062334791535,262.4645229299467,9000.0,5.046068E7
10000.0,27.78125,4.0206586706012287E-4,1000.0,49.262980049463394,68.388281606468,10000.0,5.377184E7
11000.0,30.734375,4.5087468807145754E-4,1000.0,40.70616517638939,60.437996624717776,11000.0,6.3887936E7
12000.0,34.203125,4.978258847323661E-4,1000.0,49.616956592280964,259.1876465882719,12000.0,5.2321E7
13000.0,37.3125,5.417119802829499E-4,1000.0,117.79440547236601,670.1111654805412,13000.0,5.455772E7
14000.0,40.140625,5.88277938659303E-4,1000.0,77.77759001332568,461.2386911853044,14000.0,6.3646176E7
15000.0,43.265625,6.451447214284498E-4,1000.0,44.579046835926796,114.56724461977686,15000.0,7.03414E7
16000.0,46.53125,7.097229420388532E-4,1000.0,46.99873248353472,76.43167990385113,16000.0,7.6440256E7
17000.0,49.9375,7.865878712618724E-4,1000.0,34.01257822905138,86.75177761608451,17000.0,8.7227632E7
18000.0,53.71875,8.809433833488988E-4,1000.0,45.5304614433198,127.50036004559816,18000.0,9.6457112E7
19000.0,58.09375,9.975307424449258E-4,1000.0,28.88752271098958,44.88410312552693,19000.0,1.03009144E8
20000.0,63.078125,0.0011165647699251874,1000.0,48.249086674800154,568.39547080898,20000.0,9.2312984E7
21000.0,67.625,0.0012276074193909557,1000.0,34.8813173850657,63.837496692377876,21000.0,9.440156E7
22000.0,71.9375,0.0013463509599548867,1000.0,31.042376302093135,50.344911959192515,22000.0,1.06434704E8
23000.0,76.59375,0.0014871314854826778,1000.0,31.96290462464769,57.01755905433809,23000.0,1.16871512E8
24000.0,82.6875,0.0015688251643829667,1000.0,67.66290171606661,138.74335042578133,24000.0,5.1821048E7
25000.0,85.578125,0.001615027722727973,1000.0,71.91282904052369,132.9557180585604,25000.0,6.1784088E7
26000.0,88.5,0.00166725816861597,1000.0,57.44224369597811,114.97140181203191,26000.0,6.909784E7
27000.0,91.78125,0.0017356747731941545,1000.0,47.24239195094124,83.114699758017,27000.0,8.0598056E7
28000.0,95.265625,0.0018163302053128265,1000.0,39.49729333302235,64.92990059142194,28000.0,8.9476936E7
29000.0,99.359375,0.0019207669591479416,1000.0,33.372949677748835,61.67264115997947,29000.0,9.8613056E7
30000.0,103.796875,0.002047331690814139,1000.0,32.49765762413855,49.367200043717126,30000.0,1.1024952E8
31000.0,108.453125,0.0021918942644778222,1000.0,28.16338267449748,39.651079165438134,31000.0,1.20011248E8
32000.0,113.328125,0.0023585255883841047,1000.0,31.6092365384963,64.00247327447963,32000.0,1.32124816E8
33000.0,118.5,0.0025467004784150045,1000.0,30.465874630969594,50.98126596263202,33000.0,1.4064232E8
34000.0,123.828125,0.002756861126302586,1000.0,28.143179328079466,38.287759843795286,34000.0,1.52468232E8
35000.0,131.453125,0.002893789960168457,1000.0,54.836082473864316,132.31396081051108,35000.0,6.9415656E7
36000.0,134.734375,0.0029423741873082078,1000.0,57.779910847361734,113.59137460339431,36000.0,5.723456E7
37000.0,137.859375,0.0029956130353255297,1000.0,64.14272127847055,558.8168617051949,37000.0,6.5853824E7
38000.0,141.21875,0.0030585369937923836,1000.0,42.18562884503173,93.26409904263744,38000.0,7.240356E7
39000.0,144.75,0.003130406798057568,1000.0,52.17345918595539,101.6229239163852,39000.0,7.8672032E7
40000.0,148.75,0.003184870658119002,1000.0,60.08594175404478,92.70283304106302,40000.0,5.2632112E7
41000.0,151.875,0.003229556291351198,1000.0,65.81828084896658,96.01310079264401,41000.0,5.527392E7
42000.0,155.015625,0.003282335852240471,1000.0,92.32682904339256,371.16086451700073,42000.0,6.4960904E7
43000.0,158.296875,0.0033456294133470186,1000.0,69.53073120597435,137.07200038923398,43000.0,7.4562864E7
44000.0,162.328125,0.0033981462038031574,1000.0,86.91060621964014,143.57977638555485,44000.0,5.0357112E7
45000.0,165.140625,0.003440782855581751,1000.0,68.14010707699292,103.95632093503811,45000.0,5.8599368E7
46000.0,168.328125,0.003489102098554011,1000.0,125.26470994947026,203.41443685536612,46000.0,5.8596584E7
47000.0,171.5,0.0035401501405026973,1000.0,109.6206504055526,169.94904356036668,47000.0,6.2210744E7
48000.0,174.671875,0.0035901334024513037,1000.0,122.5116189697475,342.8425749091748,48000.0,6.0913128E7
49000.0,177.890625,0.003643474505612782,1000.0,122.37575454670718,217.09528184940606,49000.0,6.4058552E7
50000.0,181.390625,0.0036967048051236716,1000.0,122.51908448888621,201.82359107611796,50000.0,5.8788616E7
