learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.375,2.0158927266796433E-6,1000.0,31.388048608783286,45.74255191323641,1000.0,2.0803728E7
2000.0,2.078125,1.2480194466964652E-5,1000.0,29.942365861537837,43.046495825455814,2000.0,2.3750136E7
3000.0,4.140625,2.3124911919391404E-5,1000.0,27.457378347188698,39.193528767821874,3000.0,1.9949984E7
4000.0,5.890625,3.277211718442332E-5,1000.0,30.26274676037471,41.97757554427267,4000.0,2.1309136E7
5000.0,7.546875,4.289740861471121E-5,1000.0,36.90110467809177,50.56291624590112,5000.0,2.3631104E7
6000.0,9.28125,5.499038787093013E-5,1000.0,35.10645881597378,57.17903444746763,6000.0,2.6952104E7
7000.0,11.390625,6.99070977861993E-5,1000.0,31.99711017688907,49.77702784692017,7000.0,2.733516E7
8000.0,13.296875,8.047727657766598E-5,1000.0,41.03323459521334,156.65667800818514,8000.0,2.143408E7
9000.0,15.109375,8.970016080032413E-5,1000.0,46.87281363182025,247.8836233949135,9000.0,1.96694E7
10000.0,16.59375,9.796994243515655E-5,1000.0,40.47295686853338,59.67620534808613,10000.0,2.1535392E7
11000.0,18.453125,1.0956528467229671E-4,1000.0,37.308745150355065,54.46022868714293,11000.0,2.4105656E7
12000.0,20.15625,1.1915302220990674E-4,1000.0,44.524907564262435,258.00054060554675,12000.0,2.1760656E7
13000.0,21.8125,1.283724633200715E-4,1000.0,106.32547640332763,612.0433245705215,13000.0,2.1516968E7
14000.0,23.453125,1.3841904059518127E-4,1000.0,68.39568898956153,353.6308167173795,14000.0,2.3670704E7
15000.0,25.140625,1.498433999950066E-4,1000.0,43.968873900769275,138.69075171005701,15000.0,2.61692E7
16000.0,26.90625,1.616953317554564E-4,1000.0,59.04374657870634,170.063356254984,16000.0,2.5947352E7
17000.0,28.640625,1.7474139490837435E-4,1000.0,35.33501465484585,86.4535473376114,17000.0,2.907628E7
18000.0,30.5,1.9043972476437271E-4,1000.0,49.72998273306611,137.12863547185975,18000.0,3.2635392E7
19000.0,32.390625,2.0877481548167348E-4,1000.0,30.255229043456264,45.399672737666535,19000.0,3.7486944E7
20000.0,34.859375,2.298382550684942E-4,1000.0,48.38645366296528,566.4653096313126,20000.0,3.2980296E7
21000.0,36.78125,2.4753395480931633E-4,1000.0,32.85211111319736,63.75557263907045,21000.0,3.5591392E7
22000.0,38.78125,2.676492972144236E-4,1000.0,32.76307878678515,52.16042610890408,22000.0,3.8877632E7
23000.0,40.71875,2.888272702693939E-4,1000.0,32.93140273948579,59.12852024727415,23000.0,4.2251784E7
24000.0,43.046875,3.01168991265715E-4,1000.0,57.72004798402623,125.60597230148555,24000.0,2.0491408E7
25000.0,44.515625,3.0987652038068825E-4,1000.0,59.03047904576764,116.03214261038931,25000.0,2.291656E7
26000.0,46.0625,3.2008874395008513E-4,1000.0,49.36876368201474,101.01890743049998,26000.0,2.5519224E7
27000.0,47.703125,3.3203391591086985E-4,1000.0,41.557477707940336,72.31264897811316,27000.0,2.8143976E7
28000.0,49.46875,3.46270303222506E-4,1000.0,37.96552908427119,62.60507100778312,28000.0,3.1167624E7
29000.0,51.34375,3.6287441878812387E-4,1000.0,33.835467558390675,61.86745246062501,29000.0,3.4230784E7
30000.0,53.234375,3.8086593012040895E-4,1000.0,33.82006367534095,52.12269404211594,30000.0,3.678448E7
31000.0,55.140625,4.005559900219345E-4,1000.0,29.79146422212161,41.979879765453454,31000.0,3.9927264E7
32000.0,57.046875,4.2169210258483265E-4,1000.0,32.76456870585615,64.94376278232085,32000.0,4.2859552E7
33000.0,59.53125,4.5135637396015227E-4,1000.0,31.225677156524267,49.44417055850582,33000.0,4.6155016E7
34000.0,62.0,4.832352983713564E-4,1000.0,28.974842983102086,39.73594154647942,34000.0,4.9914752E7
35000.0,65.015625,4.989854453015142E-4,1000.0,44.36884166454519,103.95660480868789,35000.0,2.018876E7
36000.0,66.515625,5.076871149746391E-4,1000.0,46.38568443537422,94.6109659415717,36000.0,2.2424032E7
37000.0,68.015625,5.165030268835835E-4,1000.0,57.95601978230954,557.1001884522207,37000.0,2.2718432E7
38000.0,69.625,5.27125647252736E-4,1000.0,39.72047786217971,81.61906138981242,38000.0,2.5513896E7
39000.0,71.28125,5.394452897598967E-4,1000.0,49.74874180029922,100.04475325669667,39000.0,2.8752432E7
40000.0,73.078125,5.517393385525793E-4,1000.0,52.56547820509596,84.12968797870762,40000.0,2.6447184E7
41000.0,74.78125,5.61404494736861E-4,1000.0,55.14496360875204,85.01571042422884,41000.0,2.1936368E7
42000.0,76.375,5.704812741734915E-4,1000.0,80.78817558859534,367.078863771345,42000.0,2.201476E7
43000.0,77.96875,5.807247130562447E-4,1000.0,64.82715834590809,136.57437332882384,43000.0,2.4844368E7
44000.0,79.75,5.902546754158618E-4,1000.0,62.48698598536461,110.91200496898952,44000.0,2.0680864E7
45000.0,81.203125,5.986788391924669E-4,1000.0,68.19476532444128,106.38062065160238,45000.0,2.2409192E7
46000.0,82.8125,6.087144010557999E-4,1000.0,89.61988083753535,162.070329812042,46000.0,2.4103872E7
47000.0,84.46875,6.180973132076258E-4,1000.0,87.50065741539022,153.23110232857636,47000.0,2.1898488E7
48000.0,86.0625,6.277915034378464E-4,1000.0,109.31717438155616,311.614338093394,48000.0,2.3512224E7
49000.0,87.71875,6.387715094994442E-4,1000.0,94.90221201246963,200.45324270979532,49000.0,2.5625896E7
50000.0,89.40625,6.490714889757024E-4,1000.0,93.02164846588022,180.15818579324193,50000.0,2.359364E7
