learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),tree size (leaves)
1000.0,0.046875,2.290369593538344E-7,1000.0,48.036153663230614,64.97159093924832,1000.0,1.888716E7,3.0
2000.0,1.65625,8.10268816874466E-6,1000.0,56.45927532319666,75.96394120894664,2000.0,1.8911296E7,3.0
3000.0,3.171875,1.5515967420974953E-5,1000.0,56.50400076660878,73.18627402322434,3000.0,1.8906928E7,4.0
4000.0,4.640625,2.270764228241104E-5,1000.0,61.525488269003425,80.27728988628435,4000.0,1.892712E7,4.0
5000.0,6.09375,2.9820536373234872E-5,1000.0,67.14053900730953,86.81050225047225,5000.0,1.8921072E7,5.0
6000.0,7.453125,3.6464293403292285E-5,1000.0,71.04188127254888,100.86133444310617,6000.0,1.8891952E7,6.0
7000.0,8.828125,4.319716707363518E-5,1000.0,66.55798993101382,92.30683042537953,7000.0,1.89278E7,9.0
8000.0,10.359375,5.0698467562647746E-5,1000.0,69.42564315982858,190.88933307877838,8000.0,1.89362E7,14.0
9000.0,11.6875,5.722358661134624E-5,1000.0,75.66903270244471,291.4074512608746,9000.0,1.8991176E7,18.0
10000.0,12.984375,6.355678122619995E-5,1000.0,84.66562789028167,114.65656305349087,10000.0,1.8876744E7,23.0
11000.0,14.296875,6.997397211509654E-5,1000.0,94.07618209799801,118.42393338946192,11000.0,1.88994E7,24.0
12000.0,15.78125,7.722176482073135E-5,1000.0,107.57164423524108,288.0663671079739,12000.0,1.8874024E7,25.0
13000.0,17.125,8.378408144279901E-5,1000.0,152.93775608727998,621.8381534297233,13000.0,1.8877352E7,25.0
14000.0,18.453125,9.027063355056776E-5,1000.0,125.74233467323819,423.99588887136855,14000.0,1.8878928E7,25.0
15000.0,19.78125,9.675729010875026E-5,1000.0,94.12871663518774,156.85894177094045,15000.0,1.8879232E7,25.0
16000.0,21.125,1.0332026027349962E-4,1000.0,87.48187595164846,111.35760238625998,16000.0,1.8879232E7,25.0
17000.0,22.4375,1.0973060322511527E-4,1000.0,85.08244516709902,127.45315671635065,17000.0,1.8879232E7,25.0
18000.0,23.734375,1.1606463257016406E-4,1000.0,101.34571077890149,196.50077029255598,18000.0,1.8879232E7,25.0
19000.0,25.03125,1.2239866191521287E-4,1000.0,83.57709441669354,101.57381126052782,19000.0,1.8879232E7,25.0
20000.0,26.359375,1.2888531847339538E-4,1000.0,87.83345806246136,568.6704542192647,20000.0,1.8879232E7,25.0
21000.0,27.65625,1.352193478184442E-4,1000.0,74.19924157269391,98.26281496906313,21000.0,1.8879232E7,25.0
22000.0,29.0,1.4178231798319356E-4,1000.0,81.01121598319614,102.06810765628032,22000.0,1.8879232E7,25.0
23000.0,30.28125,1.4804003372167552E-4,1000.0,77.76545985788118,107.62689797282295,23000.0,1.8879232E7,25.0
24000.0,31.609375,1.5452669027985803E-4,1000.0,115.89961833747765,214.57583132668032,24000.0,1.8879232E7,25.0
25000.0,32.921875,1.6093599286654762E-4,1000.0,137.62510152034676,233.55983226719863,25000.0,1.8876168E7,26.0
26000.0,34.234375,1.6735553883740476E-4,1000.0,108.9400677628899,167.65142750251295,26000.0,1.8906336E7,31.0
27000.0,35.546875,1.7379127973173232E-4,1000.0,81.7127307907958,117.40249280427629,27000.0,1.8954032E7,35.0
28000.0,36.875,1.8030578606865476E-4,1000.0,68.3823241225859,92.20758142470811,28000.0,1.8960288E7,38.0
29000.0,38.203125,1.8682190863829524E-4,1000.0,60.41054789312075,87.41864749325265,29000.0,1.8964992E7,40.0
30000.0,39.515625,1.932730811596331E-4,1000.0,58.59773266378293,78.02376006473958,30000.0,1.899948E7,41.0
31000.0,40.859375,1.9987353130191982E-4,1000.0,57.46879530437666,74.8027227549383,31000.0,1.8987048E7,43.0
