learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.4375,1.1185326406525241E-7,1000.0,19.622156455805985,37.76647686816351,1000.0,989512.0
2000.0,0.71875,1.8456860238479243E-7,1000.0,21.862506537893232,47.84176795493103,2000.0,999392.0
3000.0,0.9375,2.415609520135654E-7,1000.0,18.98732741619047,33.167581869702516,3000.0,1007096.0
4000.0,1.40625,5.934165609586569E-7,1000.0,20.352433156167894,57.30797703796925,4000.0,2902040.0
5000.0,1.8125,9.022946081434686E-7,1000.0,17.510474109999258,30.07867013292803,5000.0,2938976.0
6000.0,2.140625,1.152981809961299E-6,1000.0,17.807957826984676,33.124567990516915,6000.0,2953216.0
7000.0,2.546875,1.464416660989324E-6,1000.0,18.74268397195114,32.235762450230084,7000.0,2963304.0
8000.0,2.84375,1.7590006205460262E-6,1000.0,20.77053005106574,35.20770789384259,8000.0,3835640.0
9000.0,3.15625,2.0706728941553997E-6,1000.0,22.554684246852624,40.77891227540485,9000.0,3855232.0
10000.0,3.4375,2.3519765495115686E-6,1000.0,25.623848600199757,45.52101407393584,10000.0,3866208.0
11000.0,3.8125,2.8171830409620374E-6,1000.0,23.02694552609537,37.289593293813155,11000.0,4795312.0
12000.0,4.1875,3.2889165514562695E-6,1000.0,22.999632962996888,34.5473544422545,12000.0,4862592.0
13000.0,4.5,3.6837669257592E-6,1000.0,29.325106082717614,54.22813380438676,13000.0,4884104.0
14000.0,4.75,4.000556299514655E-6,1000.0,30.852911089124113,47.67395632992061,14000.0,4897568.0
15000.0,5.015625,4.33764032398661E-6,1000.0,31.73028740748628,48.619650331163065,15000.0,4905368.0
16000.0,5.296875,4.694987049636742E-6,1000.0,26.438013582116877,41.14699680646194,16000.0,4911336.0
17000.0,5.5625,5.032659294859816E-6,1000.0,30.138867109239214,49.46322765718517,17000.0,4913928.0
18000.0,6.0,5.6866350415576664E-6,1000.0,28.343335639894487,41.975356644654156,18000.0,5778112.0
19000.0,6.484375,6.413458451990866E-6,1000.0,22.719851813053218,35.33840089327674,19000.0,5800288.0
20000.0,6.8125,6.9840843530578744E-6,1000.0,18.126855824010505,32.23777910268534,20000.0,6722248.0
21000.0,7.125,7.531259001957046E-6,1000.0,13.590734268426386,31.38559389860562,21000.0,6768280.0
22000.0,7.515625,8.21820803038362E-6,1000.0,13.406759810207411,24.75489416352316,22000.0,6797776.0
23000.0,7.859375,8.824631222523748E-6,1000.0,14.868895168927363,32.01591040748367,23000.0,6819232.0
24000.0,8.1875,9.40449545547987E-6,1000.0,15.71363437516597,23.651240247355716,24000.0,6831080.0
25000.0,8.546875,1.0040371012615247E-5,1000.0,14.818944448909555,25.145541929090594,25000.0,6838944.0
26000.0,8.9375,1.081995349118693E-5,1000.0,17.41974203323848,28.381748748190017,26000.0,7714440.0
27000.0,9.265625,1.1477434923613651E-5,1000.0,18.465431349317058,28.110265596231276,27000.0,7745448.0
28000.0,9.65625,1.2261254434835993E-5,1000.0,17.848609065281053,29.15487289466618,28000.0,7756368.0
29000.0,10.0625,1.3072358205034915E-5,1000.0,19.22736054574158,34.67704499408888,29000.0,7717656.0
30000.0,10.40625,1.3761378068011253E-5,1000.0,18.597933583008555,28.471974664075596,30000.0,7748032.0
31000.0,10.78125,1.4590085969151307E-5,1000.0,19.430666339201366,40.88389970510331,31000.0,8542256.0
32000.0,11.203125,1.552799648682897E-5,1000.0,18.999719457938905,28.714954662748504,32000.0,8593696.0
33000.0,11.609375,1.6437962217929048E-5,1000.0,20.175821709500454,32.92413910878554,33000.0,8658328.0
34000.0,12.046875,1.742125375636129E-5,1000.0,19.43720435246413,30.917321176789496,34000.0,8687736.0
35000.0,12.453125,1.833609263283304E-5,1000.0,19.5755813050514,32.32048031941045,35000.0,8704696.0
36000.0,12.859375,1.925239530262641E-5,1000.0,20.895395039112916,32.27579569731981,36000.0,8718624.0
37000.0,13.296875,2.0343674728388174E-5,1000.0,19.568481055488697,30.183118097584007,37000.0,9641848.0
38000.0,13.75,2.1481554528387882E-5,1000.0,20.156736936128244,28.930602610016702,38000.0,9706904.0
39000.0,14.203125,2.262479098539592E-5,1000.0,19.049434109298275,29.471649591115877,39000.0,9752600.0
40000.0,14.65625,2.377114559446151E-5,1000.0,18.43236793717894,27.49852955207415,40000.0,9779200.0
41000.0,15.078125,2.4841463988802083E-5,1000.0,13.882470632274787,27.587216246059096,41000.0,9806896.0
42000.0,15.515625,2.5952634395151914E-5,1000.0,10.535074912076439,19.732403456306972,42000.0,9817592.0
43000.0,15.953125,2.7064934806225612E-5,1000.0,11.439527377346298,22.3582410978176,43000.0,9827576.0
44000.0,16.421875,2.825734299323004E-5,1000.0,11.222501361631252,19.805558214226636,44000.0,9833000.0
45000.0,16.84375,2.9330960888829495E-5,1000.0,13.177969888941591,24.228721096144483,45000.0,9837128.0
46000.0,17.3125,3.062927306422757E-5,1000.0,12.411300805183027,19.081953467900277,46000.0,1.070632E7
47000.0,17.828125,3.205245638835347E-5,1000.0,13.256649523133774,21.63674280746714,47000.0,1.0669136E7
48000.0,18.375,3.356793487910181E-5,1000.0,14.046685410461754,27.610989329155604,48000.0,1.071184E7
49000.0,18.953125,3.517259297142219E-5,1000.0,16.297972142577063,33.48377018424802,49000.0,1.0729096E7
50000.0,19.484375,3.664914689983965E-5,1000.0,15.134150285368673,32.02969965806582,50000.0,1.0743672E7
