learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.703125,2.2240274120122196E-7,1000.0,19.622156455805985,37.76647686816351,1000.0,1223816.0
2000.0,1.40625,4.5344640966504815E-7,1000.0,21.826693974068032,47.37996367623728,2000.0,1270176.0
3000.0,2.09375,6.816451463641393E-7,1000.0,18.454228053230246,32.501081230367156,3000.0,1283048.0
4000.0,2.78125,1.2414841007234324E-6,1000.0,20.423110119833694,57.23747666035085,4000.0,3148216.0
5000.0,3.3125,1.6843472581563727E-6,1000.0,17.62039105000356,30.144712488600128,5000.0,3222352.0
6000.0,4.015625,2.2731192034876184E-6,1000.0,17.72732880624075,32.56402492823886,6000.0,3236808.0
7000.0,4.5625,2.7329011936672037E-6,1000.0,19.04112769138866,32.384922049803606,7000.0,3249872.0
8000.0,5.09375,3.2934722710504304E-6,1000.0,20.914572841380185,35.17795287197639,8000.0,4078816.0
9000.0,5.65625,3.890311507145978E-6,1000.0,22.64132091093139,40.82553465222252,9000.0,4101448.0
10000.0,6.1875,4.457748824885736E-6,1000.0,25.68990034232928,45.78533349764005,10000.0,4128776.0
11000.0,6.828125,5.297878685976483E-6,1000.0,22.99657428290858,37.27476780849063,11000.0,5069264.0
12000.0,7.546875,6.268906452330865E-6,1000.0,23.65595741968975,36.89601560172719,12000.0,5222232.0
13000.0,8.1875,7.1385734029010775E-6,1000.0,28.819184932958724,54.58347979476937,13000.0,5247488.0
14000.0,8.8125,7.991918407949724E-6,1000.0,30.808790267172416,48.482378921601544,14000.0,5277728.0
15000.0,9.390625,8.78857309645456E-6,1000.0,31.241215490920702,48.797183160158525,15000.0,5326608.0
16000.0,9.96875,9.586610928333056E-6,1000.0,26.942556415435575,41.431526824254355,16000.0,5335856.0
17000.0,10.5625,1.040736876247037E-5,1000.0,29.952718090811928,49.59615458819966,17000.0,5343352.0
18000.0,11.15625,1.1358088716709369E-5,1000.0,28.516963135060475,42.01800518295428,18000.0,6189440.0
19000.0,11.78125,1.2375729371948793E-5,1000.0,22.780018428058337,35.44243744345399,19000.0,6293856.0
20000.0,12.375,1.3472992027851032E-5,1000.0,19.620120159786183,32.55817109317988,20000.0,7143472.0
21000.0,12.96875,1.4580436755851328E-5,1000.0,14.790772559803315,32.30261975714769,21000.0,7209760.0
22000.0,13.59375,1.575198752107099E-5,1000.0,14.260550572052686,25.50646775018279,22000.0,7245752.0
23000.0,14.171875,1.6839467247741094E-5,1000.0,15.607139163235292,32.70751236121892,23000.0,7271128.0
24000.0,14.8125,1.8046578010802886E-5,1000.0,15.519081186162616,24.02153925536564,24000.0,7283592.0
25000.0,15.46875,1.9284566094736676E-5,1000.0,15.09835052208607,25.50627186098981,25000.0,7292048.0
26000.0,16.15625,2.074585415862708E-5,1000.0,17.833219647667352,30.580665700488776,26000.0,8216096.0
27000.0,16.875,2.228011697297916E-5,1000.0,17.930788846983834,29.310891721151773,27000.0,8251336.0
28000.0,17.53125,2.368589038572585E-5,1000.0,18.664256165066234,29.247337314742317,28000.0,8280344.0
29000.0,18.234375,2.5181125868887956E-5,1000.0,18.956810183223837,34.15519291315224,29000.0,8220144.0
30000.0,18.921875,2.665392055253809E-5,1000.0,19.252929139959036,28.682141073016023,30000.0,8280792.0
31000.0,19.625,2.8163811269526683E-5,1000.0,20.15485722887916,41.65400590978118,31000.0,8300712.0
32000.0,20.46875,3.0130050339115164E-5,1000.0,18.598114343326948,28.7951604426768,32000.0,9007928.0
33000.0,21.21875,3.1903209358764194E-5,1000.0,19.96450386563342,33.435149032836705,33000.0,9138792.0
34000.0,21.953125,3.366254473803565E-5,1000.0,19.58840737708557,31.19639802166604,34000.0,9260472.0
35000.0,22.609375,3.524601139361039E-5,1000.0,19.933597243240275,32.40885893515266,35000.0,9327000.0
36000.0,23.328125,3.70007245348663E-5,1000.0,21.65066529316393,32.60568426905107,36000.0,9436928.0
37000.0,24.046875,3.8758403809172E-5,1000.0,20.518151587729268,30.8167528466652,37000.0,9452880.0
38000.0,24.71875,4.0416000798965495E-5,1000.0,20.26767635769964,28.936012053801107,38000.0,9536584.0
39000.0,25.359375,4.2116742115467787E-5,1000.0,20.053406044459834,29.64001639915281,39000.0,1.0262112E7
40000.0,26.0625,4.4001507631037385E-5,1000.0,18.675719547515424,28.270500756620063,40000.0,1.0361608E7
41000.0,26.78125,4.59373795052266E-5,1000.0,17.146450028961187,29.023016308082255,41000.0,1.0411208E7
42000.0,27.46875,4.779654590594065E-5,1000.0,14.579157978815743,21.84823245626181,42000.0,1.0453168E7
43000.0,28.25,4.991411312302161E-5,1000.0,15.193389672974215,24.021256188385898,43000.0,1.0477304E7
44000.0,29.1875,5.2456225999372286E-5,1000.0,13.772471641690428,21.4150772469596,44000.0,1.048156E7
45000.0,29.953125,5.4534213235860484E-5,1000.0,15.00835543278435,25.756315683893668,45000.0,1.0491296E7
46000.0,30.734375,5.6659303793114506E-5,1000.0,13.2837956167727,19.62156287247503,46000.0,1.0514528E7
47000.0,31.578125,5.906987104228594E-5,1000.0,14.392236014867821,22.66825996207345,47000.0,1.1043528E7
48000.0,32.5,6.150458590127528E-5,1000.0,14.744682047627444,28.090897563446447,48000.0,1.0208888E7
49000.0,33.296875,6.359780847560615E-5,1000.0,16.7849599051997,33.807817797553646,49000.0,1.0153776E7
50000.0,34.078125,6.56561041250825E-5,1000.0,15.90469054727803,32.475699578586344,50000.0,1.018404E7
