learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.640625,6.05168267308424E-7,1000.0,19.622156455805985,37.76647686816351,1000.0,3652776.0
2000.0,1.328125,1.5817397959633836E-6,1000.0,21.797003967222135,47.35824061414184,2000.0,5490776.0
3000.0,2.0625,2.9280757169342705E-6,1000.0,18.628652722037906,32.27814019766255,3000.0,7086600.0
4000.0,2.703125,4.6776875387877225E-6,1000.0,20.409039930043466,57.23134007568783,4000.0,1.0557512E7
5000.0,3.6875,7.751760131213814E-6,1000.0,17.62039105000355,30.14471248860022,5000.0,1.2071352E7
6000.0,4.328125,9.943664610748076E-6,1000.0,17.68157722768877,32.54739433167209,6000.0,1.3225744E7
7000.0,5.3125,1.357584477065959E-5,1000.0,19.089521108202277,32.48817316382571,7000.0,1.4262944E7
8000.0,6.125,1.690789743507695E-5,1000.0,20.96010096654339,35.26344792200807,8000.0,1.5852248E7
9000.0,6.90625,2.0295127340230264E-5,1000.0,22.717884628212555,40.8479864556306,9000.0,1.6759344E7
10000.0,8.15625,2.5969386042561384E-5,1000.0,25.61486642613025,45.785944839396734,10000.0,1.7546944E7
11000.0,9.0625,3.0455381848797616E-5,1000.0,22.99657428290858,37.27476780849073,11000.0,1.9134328E7
12000.0,9.96875,3.51595732758546E-5,1000.0,23.577317527735417,36.625575052304626,12000.0,2.0065008E7
13000.0,10.9375,4.035025424349846E-5,1000.0,28.849785363894714,54.56568319590465,13000.0,2.0711664E7
14000.0,11.796875,4.509585450351652E-5,1000.0,30.808790267172416,48.482378921601615,14000.0,2.134572E7
15000.0,12.703125,5.0197683934432764E-5,1000.0,31.086881758144816,48.61511514995129,15000.0,2.1761072E7
16000.0,13.625,5.5522237897902314E-5,1000.0,27.424250014617694,41.42395073719638,16000.0,2.2326136E7
17000.0,14.578125,6.120896299964644E-5,1000.0,29.96138947785424,49.7138018966035,17000.0,2.3062944E7
18000.0,15.703125,6.835711288860895E-5,1000.0,28.645530425225285,42.06172149761698,18000.0,2.4560856E7
19000.0,16.953125,7.660018949536606E-5,1000.0,22.981879455154697,35.438004378646475,19000.0,2.5490696E7
20000.0,18.171875,8.497412733656043E-5,1000.0,20.2279129503183,33.22104602424618,20000.0,2.6559352E7
21000.0,19.40625,9.355831778116731E-5,1000.0,15.87822279618531,32.14481610279742,21000.0,2.6881568E7
22000.0,20.5625,1.0168000884328245E-4,1000.0,15.577087067077711,26.14941865277277,22000.0,2.7151704E7
23000.0,21.84375,1.108645693360207E-4,1000.0,16.56767395167574,33.14047067562573,23000.0,2.7709384E7
24000.0,23.078125,1.1990686057187202E-4,1000.0,16.474574592761805,24.611146399602085,24000.0,2.831612E7
25000.0,24.328125,1.2926865220328585E-4,1000.0,15.98516029978674,26.056715229356257,25000.0,2.8950184E7
26000.0,25.671875,1.3968643402525533E-4,1000.0,18.155501503903828,29.274721859703998,26000.0,2.9968096E7
27000.0,27.03125,1.504860144147339E-4,1000.0,18.73151577228171,27.75028839361343,27000.0,3.0709304E7
28000.0,28.390625,1.6146096061371888E-4,1000.0,18.742546452987245,29.111752777934928,28000.0,3.1207968E7
29000.0,29.765625,1.725532083138306E-4,1000.0,19.14275891573118,34.225705925369624,29000.0,3.1183096E7
30000.0,31.125,1.8368230751042978E-4,1000.0,19.33710554211135,28.89775975390199,30000.0,3.1646312E7
31000.0,32.53125,1.9546710620892957E-4,1000.0,20.154375385431592,41.65358329982198,31000.0,3.2393808E7
32000.0,33.984375,2.0771630755108263E-4,1000.0,19.53108135406617,29.07522499574542,32000.0,3.2584208E7
33000.0,35.375,2.196562964430389E-4,1000.0,20.334185505493004,33.47175740211987,33000.0,3.318916E7
34000.0,36.765625,2.3172700328157384E-4,1000.0,20.144173501253146,31.349834255188163,34000.0,3.3552512E7
35000.0,38.1875,2.441900048870593E-4,1000.0,20.2723790272028,32.400594926242,35000.0,3.3881576E7
36000.0,39.640625,2.570304752831968E-4,1000.0,21.920206433762,32.49683432017427,36000.0,3.4157048E7
37000.0,41.0625,2.700114987156768E-4,1000.0,20.70136468377814,30.81646627040666,37000.0,3.5289856E7
