learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,1.265625,1.1467517470009624E-6,1000.0,19.503196420406148,38.04068891016591,1000.0,3503656.0
2000.0,2.6875,3.092611053337653E-6,1000.0,21.535709374074656,47.08500020892519,2000.0,5289960.0
3000.0,4.28125,5.904852684276798E-6,1000.0,17.952019047702443,32.16578795606916,3000.0,6820792.0
4000.0,5.71875,9.730456254651976E-6,1000.0,20.219340279753695,57.07204588018041,4000.0,1.0287656E7
5000.0,7.328125,1.458654154299034E-5,1000.0,17.283376664821358,29.79439799191441,5000.0,1.1663568E7
6000.0,9.25,2.0943948604528688E-5,1000.0,17.40976541494718,31.906314647393646,6000.0,1.2786664E7
7000.0,11.0625,2.740178124642827E-5,1000.0,18.34605208647346,30.991674066662494,7000.0,1.3772448E7
8000.0,12.859375,3.462263059595392E-5,1000.0,20.785952212871155,35.12294250634259,8000.0,1.5533624E7
9000.0,14.828125,4.294374634304808E-5,1000.0,22.623371017879947,40.074649114626496,9000.0,1.6337792E7
10000.0,16.734375,5.137766219882501E-5,1000.0,25.66086548884358,44.635514479964115,10000.0,1.7102192E7
11000.0,18.765625,6.12286801656915E-5,1000.0,23.32345517647685,37.61086365458227,11000.0,1.8746496E7
12000.0,20.84375,7.17403320272246E-5,1000.0,22.538113731855447,33.98854563613868,12000.0,1.9552472E7
13000.0,23.140625,8.368896938110183E-5,1000.0,28.729682028134782,53.807272913956055,13000.0,2.0108672E7
14000.0,25.40625,9.582510321504538E-5,1000.0,30.74562691941959,47.73444776725834,14000.0,2.0705928E7
15000.0,27.65625,1.0811108733630841E-4,1000.0,31.497732064463,48.42821609466472,15000.0,2.110716E7
16000.0,29.953125,1.2097146058092928E-4,1000.0,26.511105047744188,41.09244130059675,16000.0,2.1643056E7
17000.0,32.109375,1.3343857743570374E-4,1000.0,30.128446444002563,49.36127060541993,17000.0,2.2349576E7
18000.0,34.21875,1.4649278044493662E-4,1000.0,28.488486157058464,42.02637226445104,18000.0,2.392208E7
19000.0,36.4375,1.6072423313744365E-4,1000.0,22.915268972489063,35.33874677491403,19000.0,2.4793808E7
20000.0,38.96875,1.7763618438038973E-4,1000.0,17.337584524140784,31.895200348284632,20000.0,2.5826232E7
21000.0,41.53125,1.948795389358161E-4,1000.0,13.34128650737869,31.393343633722225,21000.0,2.6011192E7
22000.0,44.359375,2.1406324428325103E-4,1000.0,13.171746229586585,25.115734563144773,22000.0,2.6220216E7
23000.0,46.8125,2.3094546240625075E-4,1000.0,14.884014132411984,32.64050602886769,23000.0,2.6601872E7
24000.0,49.1875,2.475353781483136E-4,1000.0,14.99436113482433,23.889154880621426,24000.0,2.7001192E7
25000.0,51.46875,2.637855889366215E-4,1000.0,14.658439197690699,25.522386366891034,25000.0,2.7535216E7
26000.0,53.8125,2.81248731221745E-4,1000.0,15.805097895023055,28.573315461383178,26000.0,2.8801392E7
27000.0,56.078125,2.984293270532766E-4,1000.0,16.48859783879134,27.11562204014269,27000.0,2.931248E7
28000.0,58.5,3.1701238667463055E-4,1000.0,16.8837809534965,28.629097135779137,28000.0,2.9659776E7
29000.0,61.109375,3.372195783433401E-4,1000.0,17.569011649584898,34.35206081214363,29000.0,2.9934488E7
30000.0,63.8125,3.583861194460446E-4,1000.0,18.314530963956123,28.30387622184421,30000.0,3.0268168E7
31000.0,66.5625,3.8018353597079924E-4,1000.0,19.700939831978857,40.567445022336756,31000.0,3.0639008E7
32000.0,69.296875,4.0270150590610384E-4,1000.0,18.35013347376718,28.677039023952027,32000.0,3.1832704E7
33000.0,72.015625,4.2540574727657564E-4,1000.0,19.571267436780662,33.14594034601199,33000.0,3.2280488E7
34000.0,74.671875,4.477913400559273E-4,1000.0,19.196200988982575,30.817489349445612,34000.0,3.257632E7
35000.0,77.390625,4.7089491683032576E-4,1000.0,19.91248387018433,32.19377497425871,35000.0,3.2848256E7
36000.0,80.109375,4.941370239571875E-4,1000.0,21.58468110828572,32.514299123752984,36000.0,3.3045216E7
37000.0,82.953125,5.18649157052601E-4,1000.0,19.865537669202904,29.895642212371143,37000.0,3.3319008E7
38000.0,85.71875,5.427504742531003E-4,1000.0,20.260685447961006,28.845467649266652,38000.0,3.3686032E7
39000.0,88.4375,5.673185115382593E-4,1000.0,19.37948326538445,29.38690346711179,39000.0,3.4929912E7
40000.0,91.25,5.93112066498078E-4,1000.0,18.308803665691894,27.85751736220218,40000.0,3.5450392E7
41000.0,94.21875,6.203929846782961E-4,1000.0,15.406335629789107,28.223380907964433,41000.0,3.5521208E7
42000.0,97.078125,6.467133831918343E-4,1000.0,11.158253442539845,19.828088215968904,42000.0,3.5581456E7
43000.0,99.8125,6.719456224365988E-4,1000.0,11.765109624341303,22.669577501933308,43000.0,3.5669752E7
44000.0,102.65625,6.983319860753706E-4,1000.0,11.284455992827208,19.76929682288566,44000.0,3.5866624E7
45000.0,105.53125,7.251530641870986E-4,1000.0,13.387783375770796,24.25596408027619,45000.0,3.6061248E7
46000.0,108.234375,7.505910438420768E-4,1000.0,12.419228267594825,18.93537257419505,46000.0,3.6376328E7
47000.0,111.125,7.785419784421618E-4,1000.0,13.143713929293332,21.478314347797884,47000.0,3.7377216E7
