learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.703125,6.101850885897876E-7,1000.0,19.622156455805985,37.76647686816351,1000.0,3355672.0
2000.0,1.484375,1.4272621936268277E-6,1000.0,21.797003967222135,47.35824061414184,2000.0,4042736.0
3000.0,2.1875,2.2280293503879674E-6,1000.0,18.628652722037906,32.27814019766255,3000.0,4402264.0
4000.0,3.03125,3.688909507925726E-6,1000.0,20.409039930043466,57.23134007568783,4000.0,6693248.0
5000.0,3.734375,4.963943954660661E-6,1000.0,17.62039105000355,30.14471248860022,5000.0,7009576.0
6000.0,4.484375,6.3765600659988E-6,1000.0,17.663144836494187,32.544259465139426,6000.0,7280568.0
7000.0,5.21875,7.799310325127509E-6,1000.0,19.089521108202277,32.4881731638257,7000.0,7488816.0
8000.0,5.921875,9.361924086179998E-6,1000.0,20.941478478262464,35.19496182341463,8000.0,8590560.0
9000.0,6.734375,1.1221150117408899E-5,1000.0,22.717884628212555,40.84798645563058,9000.0,8845272.0
10000.0,7.453125,1.289790632048001E-5,1000.0,25.61486642613025,45.785944839396734,10000.0,9017672.0
11000.0,8.3125,1.5159561104762058E-5,1000.0,22.99657428290858,37.274767808490715,11000.0,1.0172928E7
12000.0,9.109375,1.7311701958533378E-5,1000.0,23.57057506851092,36.620814275151325,12000.0,1.0439576E7
13000.0,9.921875,1.953832918338271E-5,1000.0,28.819184932958724,54.58347979476942,13000.0,1.0593184E7
14000.0,10.640625,2.153269367732315E-5,1000.0,30.808790267172416,48.4823789216016,14000.0,1.0725784E7
15000.0,11.453125,2.3808753564177705E-5,1000.0,31.086881758144816,48.61511514995128,15000.0,1.082836E7
16000.0,12.21875,2.5972710120388207E-5,1000.0,27.424250014617694,41.423950737196364,16000.0,1.0925336E7
17000.0,13.09375,2.8471532665813966E-5,1000.0,29.96138947785424,49.71380189660349,17000.0,1.1039E7
18000.0,14.171875,3.180328921492522E-5,1000.0,28.637178168187884,42.06106430731935,18000.0,1.194556E7
19000.0,15.21875,3.505305011963679E-5,1000.0,23.160349363605267,35.56005201697029,19000.0,1.1999384E7
20000.0,16.359375,3.8983255670043746E-5,1000.0,20.05569339447264,32.7540198099514,20000.0,1.3319096E7
21000.0,17.390625,4.261037001722596E-5,1000.0,15.878222796185307,32.1448161027974,21000.0,1.359564E7
22000.0,18.296875,4.583876305130414E-5,1000.0,15.577087067077708,26.14941865277274,22000.0,1.3770216E7
23000.0,19.40625,4.9826952777544246E-5,1000.0,16.567673951675737,33.14047067562571,23000.0,1.389632E7
24000.0,20.421875,5.350087643212949E-5,1000.0,16.474574592761805,24.611146399602056,24000.0,1.398296E7
25000.0,21.40625,5.708369562247147E-5,1000.0,15.98516029978674,26.05671522935623,25000.0,1.4069112E7
26000.0,22.4375,6.10781816067174E-5,1000.0,18.17222011685902,29.300772650680805,26000.0,1.4972672E7
27000.0,23.546875,6.541344605567347E-5,1000.0,18.73151577228171,27.750288393613406,27000.0,1.5105656E7
28000.0,24.671875,6.984212005692016E-5,1000.0,18.742546452987245,29.111752777934903,28000.0,1.5216808E7
29000.0,25.75,7.407123598063156E-5,1000.0,19.160872380940216,34.23572553760894,29000.0,1.516292E7
30000.0,26.8125,7.827710890625085E-5,1000.0,19.252408305567155,28.68178587010492,30000.0,1.5301344E7
31000.0,27.84375,8.254531641594236E-5,1000.0,20.154375385431585,41.65358329982196,31000.0,1.5998672E7
32000.0,29.078125,8.774228837056498E-5,1000.0,19.4924906142096,29.007963227816578,32000.0,1.6274424E7
33000.0,30.21875,9.258711600624436E-5,1000.0,20.286909543404853,33.435212745269176,33000.0,1.6418664E7
34000.0,31.34375,9.73978045577597E-5,1000.0,20.235559581201347,31.68186825227814,34000.0,1.65294E7
35000.0,32.578125,1.0270192957250399E-4,1000.0,20.32398901397783,32.44360172703799,35000.0,1.6609976E7
36000.0,33.71875,1.0762566173475026E-4,1000.0,21.920206433761987,32.49683432017428,36000.0,1.6686064E7
37000.0,34.84375,1.1279353344838857E-4,1000.0,20.689616476842982,30.946633714085067,37000.0,1.7756672E7
38000.0,36.15625,1.1887209234474639E-4,1000.0,20.39854289622472,28.927201492189702,38000.0,1.7902088E7
39000.0,37.34375,1.2440559263470478E-4,1000.0,20.182774384764897,29.888347333997608,39000.0,1.801228E7
40000.0,38.625,1.3040466062698718E-4,1000.0,19.319759397013552,28.063132587842738,40000.0,1.8098904E7
41000.0,39.8125,1.3604267768742927E-4,1000.0,19.688605259424516,30.03948796351492,41000.0,1.8352496E7
42000.0,41.0,1.4172061200952153E-4,1000.0,14.349337621877746,21.565056782936836,42000.0,1.8482432E7
43000.0,42.25,1.4773100831209573E-4,1000.0,14.062088408649702,23.048470548618806,43000.0,1.8586408E7
44000.0,43.59375,1.5421178227471597E-4,1000.0,13.36735418716362,20.69567253764965,44000.0,1.8642784E7
45000.0,44.828125,1.6017843018441145E-4,1000.0,14.529211839674344,23.925239309011967,45000.0,1.868468E7
46000.0,45.984375,1.6602196206804359E-4,1000.0,13.356940294008275,19.495576152790637,46000.0,1.9535568E7
47000.0,47.234375,1.723228534036833E-4,1000.0,13.324279820787318,21.601949286349285,47000.0,1.9484728E7
48000.0,48.453125,1.7850262222863315E-4,1000.0,13.953750803148683,27.73329918718498,48000.0,1.9600176E7
49000.0,49.609375,1.8439005335999856E-4,1000.0,16.163597297946122,33.70506950106118,49000.0,1.9682328E7
50000.0,50.828125,1.9061853093767743E-4,1000.0,15.50594074452873,32.45307133004397,50000.0,1.9754664E7
