learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.40625,1.023503460196985E-7,1000.0,19.298058003966396,37.667636090948385,1000.0,975112.0
2000.0,0.703125,1.7797121674650243E-7,1000.0,21.48090474573293,47.03548431131913,2000.0,984624.0
3000.0,0.875,2.2207470869438515E-7,1000.0,17.8212778075148,32.07735486640616,3000.0,991888.0
4000.0,1.1875,4.564129307659136E-7,1000.0,20.197289779200904,57.005753197325646,4000.0,2898680.0
5000.0,1.578125,7.529664112048016E-7,1000.0,17.32623829965418,29.889169036927317,5000.0,2934576.0
6000.0,1.875,9.792828091627194E-7,1000.0,17.282580232316235,31.927542087788307,6000.0,2946760.0
7000.0,2.171875,1.2064280518744554E-6,1000.0,18.268852297049996,30.912914328711256,7000.0,2957552.0
8000.0,2.53125,1.562898784565429E-6,1000.0,20.70532740851773,35.099977109126925,8000.0,3834232.0
9000.0,2.84375,1.8745438945997093E-6,1000.0,22.585271151136983,40.11445174556733,9000.0,3854896.0
10000.0,3.09375,2.1245191520493894E-6,1000.0,25.69275409892344,44.64474491330027,10000.0,3865088.0
11000.0,3.359375,2.4546814125238195E-6,1000.0,23.32306453684717,37.37028589609264,11000.0,4804640.0
12000.0,3.734375,2.927201890593602E-6,1000.0,22.54998394652888,33.96969630790404,12000.0,4870704.0
13000.0,4.09375,3.381853263514738E-6,1000.0,28.680652422932564,53.77180541007348,13000.0,4890272.0
14000.0,4.359375,3.718703648903304E-6,1000.0,30.77105012866364,47.745108422280886,14000.0,4901968.0
15000.0,4.640625,4.075822200522655E-6,1000.0,31.497876435805114,48.45091879280809,15000.0,4908200.0
16000.0,4.875,4.373732889588509E-6,1000.0,26.521615123630706,41.0361857804948,16000.0,4913344.0
17000.0,5.109375,4.67180170946651E-6,1000.0,30.08971276710339,49.25600662725379,17000.0,4915952.0
18000.0,5.375,5.069422445053028E-6,1000.0,28.45371170656866,42.00499328873819,18000.0,5786320.0
19000.0,5.796875,5.7032375156672465E-6,1000.0,22.912625678632395,35.321816053297255,19000.0,5807392.0
20000.0,6.234375,6.4659354716746345E-6,1000.0,16.764997751455052,31.834803930971987,20000.0,6738712.0
21000.0,6.546875,7.014393922872841E-6,1000.0,13.094370833053953,31.25320634122735,21000.0,6784160.0
22000.0,6.84375,7.537650558838827E-6,1000.0,12.813128558741244,24.689593353257557,22000.0,6813080.0
23000.0,7.1875,8.145325151013416E-6,1000.0,14.609791021385803,32.233811261064254,23000.0,6833304.0
24000.0,7.484375,8.671030227560549E-6,1000.0,14.978878894490466,23.723906465509547,24000.0,6844960.0
25000.0,7.78125,9.197369993974764E-6,1000.0,14.57473952502557,25.30806662020311,25000.0,6853224.0
26000.0,8.109375,9.853830755067367E-6,1000.0,15.732603388185229,28.157441315333013,26000.0,7733424.0
27000.0,8.453125,1.0544156086527639E-5,1000.0,16.48744902474209,26.934516509440638,27000.0,7762712.0
28000.0,8.78125,1.1203976302769863E-5,1000.0,16.87434907296525,28.4333050307439,28000.0,7773000.0
29000.0,9.15625,1.1954020818747165E-5,1000.0,17.71838428379857,34.20997617550455,29000.0,7731400.0
30000.0,9.515625,1.2676016873835274E-5,1000.0,18.409247314354435,28.214710409636023,30000.0,7765856.0
31000.0,9.875,1.3399300385370022E-5,1000.0,19.84339531179175,40.51172965563427,31000.0,7779704.0
32000.0,10.265625,1.4277280489396718E-5,1000.0,18.5316671710993,28.653414033533984,32000.0,8688144.0
33000.0,10.625,1.5091307739365019E-5,1000.0,19.654915043139173,33.09529859166494,33000.0,8755752.0
34000.0,11.015625,1.597852184204385E-5,1000.0,19.372272563410966,30.864873628492447,34000.0,8779520.0
35000.0,11.40625,1.686712565262699E-5,1000.0,19.975954158105264,32.24577027701881,35000.0,8793272.0
36000.0,11.78125,1.7720985472098825E-5,1000.0,21.60271311131772,32.50514055502232,36000.0,8801520.0
37000.0,12.171875,1.8611097831227303E-5,1000.0,19.963731049677655,29.93776698658824,37000.0,8808200.0
38000.0,12.5625,1.9501642705613957E-5,1000.0,20.26299900798342,28.879554437203122,38000.0,8812480.0
39000.0,12.953125,2.0482007659868238E-5,1000.0,19.318624187683426,29.375360565864806,39000.0,9701304.0
40000.0,13.375,2.1543590539497223E-5,1000.0,18.17749168506915,27.8268488663438,40000.0,9726856.0
41000.0,13.796875,2.2607397242811408E-5,1000.0,14.8085013691869,27.905045807734062,41000.0,9747232.0
42000.0,14.203125,2.3632416624524115E-5,1000.0,11.135564138016449,19.835795866121526,42000.0,9753064.0
43000.0,14.625,2.46973575041112E-5,1000.0,11.742641535488552,22.65912060859825,43000.0,9757624.0
44000.0,15.0625,2.5801959758003553E-5,1000.0,11.245932252720532,19.764564424418076,44000.0,9759560.0
45000.0,15.484375,2.686725774159034E-5,1000.0,13.362041505586548,24.26156769564438,45000.0,9760896.0
46000.0,15.890625,2.7893287737646866E-5,1000.0,12.362790589362346,18.90399209690265,46000.0,9762680.0
47000.0,16.34375,2.913062955485657E-5,1000.0,13.108184484701946,21.56212451258239,47000.0,1.0555384E7
48000.0,16.84375,3.0498998013273296E-5,1000.0,13.795364741734751,27.390808655584376,48000.0,1.0578776E7
49000.0,17.34375,3.18726863931968E-5,1000.0,15.779430623764632,33.49302240551228,49000.0,1.0619904E7
50000.0,17.78125,3.3076820513492246E-5,1000.0,15.30094751364418,31.974183649301107,50000.0,1.063896E7
