learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.578125,2.2920576157048344E-7,1000.0,19.628963470427735,37.755968983965936,1000.0,1533768.0
2000.0,1.140625,4.924382665194571E-7,1000.0,21.67943460957721,47.32465306512927,2000.0,1808920.0
3000.0,1.5625,7.169327000156045E-7,1000.0,18.44588359873909,32.49588673119561,3000.0,2056952.0
4000.0,2.171875,1.3794080587103962E-6,1000.0,20.40510496066088,57.07921570447378,4000.0,4202824.0
5000.0,2.609375,1.8820953684755496E-6,1000.0,17.489150777517224,30.06430175714728,5000.0,4441424.0
6000.0,3.171875,2.545769804985159E-6,1000.0,17.451723840145277,32.12372805607209,6000.0,4560736.0
7000.0,3.640625,3.1174447051145966E-6,1000.0,18.64937465963752,31.33217188066397,7000.0,4714224.0
8000.0,4.0625,3.7346880546667514E-6,1000.0,20.71083603604143,35.11527726513147,8000.0,5655552.0
9000.0,4.53125,4.43040445033047E-6,1000.0,22.380976780754192,40.24273855747055,9000.0,5737112.0
10000.0,5.140625,5.343894719974034E-6,1000.0,25.761245118361867,45.048912405930864,10000.0,5794576.0
11000.0,5.5625,6.083469326970064E-6,1000.0,23.33770211913817,37.36879285276909,11000.0,6776424.0
12000.0,6.0,6.862593096836159E-6,1000.0,22.649824421472264,34.096323145351825,12000.0,6883840.0
13000.0,6.421875,7.6181046703519915E-6,1000.0,28.691335775243246,53.88705001248434,13000.0,6922448.0
14000.0,6.875,8.434374984871182E-6,1000.0,30.89763338294963,47.89415455731634,14000.0,6963352.0
15000.0,7.296875,9.197101980033847E-6,1000.0,31.286003290425644,48.50221771784185,15000.0,6988560.0
16000.0,7.71875,9.96238720189366E-6,1000.0,26.483078147283333,41.00026461782043,16000.0,7012000.0
17000.0,8.125,1.070207702772071E-5,1000.0,30.187576641314436,49.53316917844495,17000.0,7038152.0
18000.0,8.609375,1.169560131125359E-5,1000.0,28.508817113000802,42.08199153133631,18000.0,7928648.0
19000.0,9.078125,1.2666391590351444E-5,1000.0,22.94237408878734,35.47382815178373,19000.0,8005464.0
20000.0,9.578125,1.3822887267451731E-5,1000.0,17.602060346446315,31.997436808583743,20000.0,8940800.0
21000.0,10.09375,1.502186331587533E-5,1000.0,13.612151075019359,31.447030002483622,21000.0,8988328.0
22000.0,10.625,1.6261268627002006E-5,1000.0,13.395923986981419,24.88546813611895,22000.0,9018136.0
23000.0,11.1875,1.7577053966104156E-5,1000.0,15.130492842454792,32.3044698915423,23000.0,9042008.0
24000.0,11.703125,1.8785768738275185E-5,1000.0,15.402755785092012,24.068926926773404,24000.0,9061336.0
25000.0,12.21875,1.999769133463916E-5,1000.0,15.275545584683712,25.557914124301384,25000.0,9085384.0
26000.0,12.75,2.1367710238943498E-5,1000.0,16.52975287897046,27.949179022097233,26000.0,9968504.0
27000.0,13.3125,2.2825664297367137E-5,1000.0,17.333375888978857,27.143846394240178,27000.0,1.0018984E7
28000.0,13.828125,2.4164952240729086E-5,1000.0,17.508849604820643,28.52613004195884,28000.0,1.00402E7
29000.0,14.4375,2.5742716291764135E-5,1000.0,18.202706840444357,34.330986591474606,29000.0,1.0008288E7
30000.0,15.0,2.720402893222248E-5,1000.0,18.79735425616611,28.500097113709916,30000.0,1.0042064E7
31000.0,15.578125,2.8825859060614476E-5,1000.0,20.168140318364344,40.502852377783924,31000.0,1.0843912E7
32000.0,16.234375,3.067776567250904E-5,1000.0,19.157629510532203,28.697699337225437,32000.0,1.0908176E7
33000.0,16.859375,3.245273197535426E-5,1000.0,19.943335175593603,32.92712550545142,33000.0,1.0977728E7
34000.0,17.484375,3.423217380057193E-5,1000.0,19.807401907574903,30.96529881505503,34000.0,1.1005408E7
35000.0,18.15625,3.614808840211481E-5,1000.0,20.109722643813964,32.0780350234881,35000.0,1.1022752E7
36000.0,18.78125,3.793248434602801E-5,1000.0,21.848105797671273,32.35610459992757,36000.0,1.1036048E7
37000.0,19.4375,3.996441211913609E-5,1000.0,20.150910463774416,30.195536749222992,37000.0,1.1968544E7
38000.0,20.0625,4.191067580702818E-5,1000.0,20.274710681179194,28.770855538239964,38000.0,1.203716E7
39000.0,20.75,4.405997777616398E-5,1000.0,19.277795877340523,29.280791428953,39000.0,1.2084456E7
40000.0,21.359375,4.597032390948799E-5,1000.0,18.299235202418824,27.37480131589249,40000.0,1.2117968E7
41000.0,22.03125,4.808174093745442E-5,1000.0,14.884601449801025,27.88843112095789,41000.0,1.2147528E7
42000.0,22.671875,5.009659523946337E-5,1000.0,11.104069797649142,19.98812419940424,42000.0,1.215744E7
43000.0,23.375,5.2309724722161064E-5,1000.0,11.713939155754797,22.541169244916265,43000.0,1.2166808E7
44000.0,24.015625,5.43270252011199E-5,1000.0,11.372518334057062,19.927155338974913,44000.0,1.21722E7
45000.0,24.671875,5.6394178698408524E-5,1000.0,13.502058445897513,24.544723388977378,45000.0,1.2176032E7
46000.0,25.296875,5.8504371974979425E-5,1000.0,12.71456264862526,19.23686871661122,46000.0,1.3051024E7
47000.0,26.015625,6.0924443500375166E-5,1000.0,13.351753489089933,21.686922615506546,47000.0,1.3015256E7
48000.0,26.640625,6.303528611574115E-5,1000.0,13.991250157753369,27.671183441299675,48000.0,1.305504E7
49000.0,27.296875,6.525452711179645E-5,1000.0,16.065555774055465,33.60158015859074,49000.0,1.3071864E7
50000.0,27.984375,6.758192343921918E-5,1000.0,15.151936602862737,32.01411915711676,50000.0,1.3085792E7
