learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.671875,1.927005359902978E-7,1000.0,19.6606122265642,38.09247410452495,1000.0,1109800.0
2000.0,1.453125,4.1927547297543946E-7,1000.0,21.450863209044304,47.07827187303155,2000.0,1121048.0
3000.0,2.171875,6.292431822253598E-7,1000.0,18.263732129937722,32.59522456333998,3000.0,1129216.0
4000.0,2.71875,1.0552902757707568E-6,1000.0,20.276776597925913,57.13649310743719,4000.0,3011944.0
5000.0,3.21875,1.4496940032889443E-6,1000.0,17.357941126874483,29.851071832538718,5000.0,3049112.0
6000.0,4.015625,2.0817415982795254E-6,1000.0,17.378781457312353,32.18393145705969,6000.0,3065928.0
7000.0,4.515625,2.480348695017811E-6,1000.0,18.869803337950582,31.949801801680206,7000.0,3081608.0
8000.0,5.015625,2.991790695685065E-6,1000.0,20.783178938402283,35.13402410537749,8000.0,3953928.0
9000.0,5.5625,3.5540925455279645E-6,1000.0,22.715639367777104,40.269472156540914,9000.0,3974512.0
10000.0,6.0625,4.070310161397274E-6,1000.0,26.01131722497529,45.62277544150857,10000.0,3990848.0
11000.0,6.625,4.785286501929577E-6,1000.0,23.03086813918104,37.30328147605702,11000.0,4913280.0
12000.0,7.171875,5.492005762385411E-6,1000.0,22.823930762133553,34.240321470706625,12000.0,4995296.0
13000.0,7.703125,6.1813202208011505E-6,1000.0,28.588559397608822,53.905028230882635,13000.0,5015576.0
14000.0,8.25,6.892771602401302E-6,1000.0,30.765993217543393,47.732793807957016,14000.0,5028744.0
15000.0,8.796875,7.6055924809123895E-6,1000.0,31.248248433869403,48.08224511772787,15000.0,5038424.0
16000.0,9.359375,8.33976105140108E-6,1000.0,26.595645085379452,41.119378887529976,16000.0,5045168.0
17000.0,9.921875,9.074340567975822E-6,1000.0,30.078458756803695,49.47526304728912,17000.0,5047992.0
18000.0,10.515625,9.981680422141734E-6,1000.0,28.362203001046225,41.88936608098648,18000.0,5907024.0
19000.0,11.109375,1.0893068037047568E-5,1000.0,22.789755127973237,35.30850053226541,19000.0,5933376.0
20000.0,11.6875,1.191785523486841E-5,1000.0,17.189877871406516,31.724809553335554,20000.0,6851952.0
21000.0,12.28125,1.297934792496057E-5,1000.0,14.680759653027767,31.84359159801384,21000.0,6910600.0
22000.0,12.921875,1.4129610596379886E-5,1000.0,12.984001245480775,24.82227915307055,22000.0,6940576.0
23000.0,13.546875,1.5255122982327723E-5,1000.0,14.876307483655046,32.21998809765512,23000.0,6961016.0
24000.0,14.203125,1.643899443378258E-5,1000.0,14.827917226767555,23.72171473814204,24000.0,6973288.0
25000.0,14.828125,1.7567827243409637E-5,1000.0,14.620755842948535,25.204552944119364,25000.0,6981552.0
26000.0,15.515625,1.8964189059463228E-5,1000.0,16.516897306360537,28.157628341429376,26000.0,7851048.0
27000.0,16.21875,2.039763856575721E-5,1000.0,16.713295807883988,26.990722960642493,27000.0,7880472.0
28000.0,16.921875,2.1833013290435903E-5,1000.0,17.17802176666473,28.39953606167228,28000.0,7891056.0
29000.0,17.59375,2.319578466186714E-5,1000.0,17.91170091732458,34.25454713707982,29000.0,7840376.0
30000.0,18.28125,2.4595774755451E-5,1000.0,18.547395633107325,28.303197387154967,30000.0,7871448.0
31000.0,18.9375,2.6067436135943153E-5,1000.0,19.994872410849236,40.48731115155149,31000.0,8668440.0
32000.0,19.6875,2.7761628314490535E-5,1000.0,19.47809324576145,29.202728640494247,32000.0,8731800.0
33000.0,20.390625,2.9361106442391047E-5,1000.0,20.024900354172047,32.996782389840206,33000.0,8793224.0
34000.0,21.09375,3.0966226347825595E-5,1000.0,19.597970541594197,31.07639798859285,34000.0,8824240.0
35000.0,21.734375,3.2431900003252346E-5,1000.0,20.236109548560936,32.3428663495575,35000.0,8843736.0
36000.0,22.4375,3.404315936172174E-5,1000.0,21.799350014468924,32.358963355256805,36000.0,8857992.0
37000.0,23.140625,3.582229543503167E-5,1000.0,20.12101018139637,30.17381337393756,37000.0,9780904.0
38000.0,23.828125,3.757348714215267E-5,1000.0,20.191276080478723,28.809437156744107,38000.0,9846080.0
39000.0,24.5,3.929269513011806E-5,1000.0,19.309439108674653,29.137935746692673,39000.0,9891048.0
40000.0,25.203125,4.1096939077963016E-5,1000.0,18.473109620869195,27.399817099726228,40000.0,9918936.0
41000.0,25.875,4.282673306685562E-5,1000.0,15.151518839870453,28.153543532140837,41000.0,9951952.0
42000.0,26.609375,4.471926500425777E-5,1000.0,11.804978284256661,20.277513209826576,42000.0,9961568.0
43000.0,27.375,4.669413183970998E-5,1000.0,11.303911535250506,22.669747479942934,43000.0,9970664.0
44000.0,28.09375,4.8549097005484834E-5,1000.0,11.02783418779944,19.74678511584615,44000.0,9976088.0
45000.0,28.8125,5.040486543698029E-5,1000.0,14.542448734440747,24.149650502507136,45000.0,9980408.0
46000.0,29.5625,5.250857101701614E-5,1000.0,12.343322071540964,19.202433860961662,46000.0,1.0842416E7
47000.0,30.34375,5.4692268604412676E-5,1000.0,13.206750110251237,21.54532478784216,47000.0,1.0804504E7
48000.0,31.109375,5.645274850798564E-5,1000.0,14.04248901090046,27.862991712493827,48000.0,8888272.0
49000.0,31.796875,5.8036811792084744E-5,1000.0,15.86670843507198,33.64660801349882,49000.0,8906400.0
50000.0,32.5,5.9817550031261314E-5,1000.0,15.22686096682249,31.86265264597448,50000.0,9789712.0
