learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.34375,1.4225693626536264E-7,1000.0,19.33211752951147,37.79871094283123,1000.0,1600928.0
2000.0,0.734375,3.438438094841937E-7,1000.0,21.43653051927713,47.06647571168246,2000.0,1994824.0
3000.0,1.03125,5.224816656361023E-7,1000.0,17.954277469182664,32.15522095412339,3000.0,2325848.0
4000.0,1.359375,9.100108096996943E-7,1000.0,20.138705643277078,57.04138213652137,4000.0,4565312.0
5000.0,1.765625,1.4254670046890775E-6,1000.0,17.319202240220687,29.84146975021564,5000.0,4904568.0
6000.0,2.171875,1.961891345369319E-6,1000.0,17.280936327971567,31.945955620538392,6000.0,5104080.0
7000.0,2.671875,2.653028932400048E-6,1000.0,18.307814399230264,30.934508765167656,7000.0,5343144.0
8000.0,2.984375,3.1641122445257176E-6,1000.0,20.720888930549744,35.10288942321342,8000.0,6321848.0
9000.0,3.3125,3.7113598146889773E-6,1000.0,22.565966525094296,40.11745530375733,9000.0,6446840.0
10000.0,3.609375,4.214477182055513E-6,1000.0,25.728063638119412,44.69717429947605,10000.0,6550856.0
11000.0,4.03125,5.039109770829479E-6,1000.0,23.28451993065355,37.38525551121192,11000.0,7555776.0
12000.0,4.5,5.972297900977235E-6,1000.0,22.567108014243253,33.92315921728597,12000.0,7695384.0
13000.0,4.8125,6.6002111028259E-6,1000.0,28.77614114908764,53.816527807489344,13000.0,7766976.0
14000.0,5.15625,7.297945946144561E-6,1000.0,30.828874684940132,47.79076697764759,14000.0,7846032.0
15000.0,5.484375,7.967392933399727E-6,1000.0,31.44389422332429,48.118303626503504,15000.0,7886408.0
16000.0,5.828125,8.67197099271127E-6,1000.0,26.666665505835475,41.04760522423374,16000.0,7922984.0
17000.0,6.28125,9.607739209766604E-6,1000.0,30.122809735720804,49.28316075747309,17000.0,7982752.0
18000.0,6.734375,1.0651777168580643E-5,1000.0,28.479082631912263,42.010984835491364,18000.0,8906368.0
19000.0,7.109375,1.1526198262193553E-5,1000.0,23.0195783175283,35.42295931954721,19000.0,9013464.0
20000.0,7.515625,1.2571931874845178E-5,1000.0,17.343502725532634,31.91100301483222,20000.0,9950160.0
21000.0,7.9375,1.3663121208082885E-5,1000.0,13.558337508089032,31.507588245466852,21000.0,9998128.0
22000.0,8.34375,1.4717260071645595E-5,1000.0,13.230181106984016,25.11629995676373,22000.0,1.0030136E7
23000.0,8.765625,1.5815012609689602E-5,1000.0,14.715234481920685,32.43073830378325,23000.0,1.0058264E7
24000.0,9.140625,1.6794438771386116E-5,1000.0,15.076831032144076,23.95250038048784,24000.0,1.0095848E7
25000.0,9.546875,1.7859357241023746E-5,1000.0,14.607883044657827,25.493150826968368,25000.0,1.0132704E7
26000.0,9.953125,1.9017906355050705E-5,1000.0,15.845513421222234,28.516040733822205,26000.0,1.10236E7
27000.0,10.4375,2.040837179972894E-5,1000.0,16.339696016044204,27.129215672988135,27000.0,1.1096368E7
28000.0,10.890625,2.1712177614164023E-5,1000.0,16.838262772681784,28.61432417028002,28000.0,1.1122368E7
29000.0,11.375,2.3103097175610148E-5,1000.0,17.602744185169016,34.33060405973268,29000.0,1.1099992E7
30000.0,11.90625,2.463464919451831E-5,1000.0,18.349876414687646,28.291111165454716,30000.0,1.1143848E7
31000.0,12.421875,2.623075409145612E-5,1000.0,19.835301038862386,40.65730619287581,31000.0,1.1965472E7
32000.0,13.015625,2.807751236509325E-5,1000.0,18.89030885839038,28.622833544131154,32000.0,1.2022888E7
33000.0,13.5625,2.9790419115064046E-5,1000.0,19.707770861500695,32.88456132410397,33000.0,1.210732E7
34000.0,14.0625,3.136138955596835E-5,1000.0,19.56897725711121,30.97757994358697,34000.0,1.214508E7
35000.0,14.640625,3.318191732331697E-5,1000.0,20.09152473359038,32.03262152989735,35000.0,1.2172448E7
36000.0,15.140625,3.475885236791025E-5,1000.0,21.844264363709577,32.30669562758652,36000.0,1.2191192E7
37000.0,15.6875,3.661564457514841E-5,1000.0,20.060290253777204,30.117051013039053,37000.0,1.3124344E7
38000.0,16.234375,3.848336785773023E-5,1000.0,20.222876463262892,28.772381557653862,38000.0,1.3201608E7
39000.0,16.765625,4.0305586686978744E-5,1000.0,19.23773242887546,29.11542756243884,39000.0,1.3258792E7
40000.0,17.28125,4.2080621157462404E-5,1000.0,18.24375505973989,27.26592819099092,40000.0,1.3306848E7
41000.0,17.8125,4.391373801303821E-5,1000.0,15.231325970784878,28.220096956585152,41000.0,1.3338088E7
42000.0,18.328125,4.5694141267126225E-5,1000.0,10.820808930939034,19.757908690897263,42000.0,1.3347096E7
43000.0,18.84375,4.7475693831478974E-5,1000.0,11.451127389476733,22.482846133890884,43000.0,1.3355712E7
44000.0,19.390625,4.936598664951614E-5,1000.0,11.260707399684796,19.800411487088006,44000.0,1.3361136E7
45000.0,19.9375,5.125754257379514E-5,1000.0,13.432346283627622,24.397789117196453,45000.0,1.3370064E7
46000.0,20.46875,5.3216300083376056E-5,1000.0,12.493042825629782,18.977952250785243,46000.0,1.4252272E7
47000.0,21.078125,5.545782588241208E-5,1000.0,13.142747640684197,21.57303305836537,47000.0,1.4218752E7
48000.0,21.703125,5.745267097760613E-5,1000.0,14.735207019014497,27.88909909609426,48000.0,1.2337624E7
49000.0,22.203125,5.905140517926258E-5,1000.0,16.140118072828816,33.633885027618575,49000.0,1.235972E7
50000.0,22.734375,6.087260589184654E-5,1000.0,15.481059342847079,31.96457874682288,50000.0,1.3251384E7
