learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.625,5.122597536279096E-7,1000.0,19.622156455805985,37.76647686816351,1000.0,3169344.0
2000.0,1.328125,1.2102627402378454E-6,1000.0,21.877285175513254,47.40064118977901,2000.0,3837312.0
3000.0,2.046875,1.9876737173439728E-6,1000.0,18.62956745669069,32.39308331133278,3000.0,4180952.0
4000.0,2.796875,3.2158320795537696E-6,1000.0,20.435881105047475,57.21944575530779,4000.0,6330400.0
5000.0,3.59375,4.578753303374267E-6,1000.0,17.5659549496129,30.140423997060726,5000.0,6611240.0
6000.0,4.234375,5.717992931345685E-6,1000.0,17.564400359875947,32.13321841826477,6000.0,6874064.0
7000.0,5.015625,7.151907937239028E-6,1000.0,19.061888126632972,31.51259361143268,7000.0,7094728.0
8000.0,5.78125,8.76863027871069E-6,1000.0,20.67914627451041,35.09638054407142,8000.0,8162472.0
9000.0,6.53125,1.0395054770116178E-5,1000.0,22.6187523611156,40.758643999972854,9000.0,8382528.0
10000.0,7.203125,1.1881455559180016E-5,1000.0,25.7866381520247,45.50078660144119,10000.0,8551648.0
11000.0,7.875,1.3552242987013113E-5,1000.0,23.140269564838672,37.0142047632332,11000.0,9612472.0
12000.0,8.625,1.545479220415776E-5,1000.0,22.609204699618868,34.130400947853694,12000.0,9805664.0
13000.0,9.3125,1.7223211826704856E-5,1000.0,28.84786249839443,54.206545130923146,13000.0,9942944.0
14000.0,10.03125,1.9095972303249357E-5,1000.0,30.693031820189947,47.39466413200924,14000.0,1.0071792E7
15000.0,10.6875,2.08227811445896E-5,1000.0,31.30580869106774,48.112052874882224,15000.0,1.017132E7
16000.0,11.390625,2.268811548775476E-5,1000.0,26.67948339694141,40.92886349859898,16000.0,1.0254784E7
17000.0,12.140625,2.4694084972401875E-5,1000.0,30.15159150476115,49.33885189734249,17000.0,1.0338688E7
18000.0,12.828125,2.6694960510616917E-5,1000.0,28.490489949147875,41.10562346747637,18000.0,1.1249928E7
19000.0,13.640625,2.9073746570955137E-5,1000.0,22.868188143714544,35.175249262641174,19000.0,1.131708E7
20000.0,14.4375,3.1637508913667666E-5,1000.0,17.5075853347301,31.923956232753465,20000.0,1.2436264E7
21000.0,15.3125,3.449274291698303E-5,1000.0,13.963848341972536,31.874467631575016,21000.0,1.2613512E7
22000.0,16.15625,3.7274714041915204E-5,1000.0,13.506475281696677,25.42245828755953,22000.0,1.274504E7
23000.0,17.109375,4.04423176142801E-5,1000.0,15.095842345662794,32.70797142018707,23000.0,1.2846456E7
24000.0,18.078125,4.3681401196712005E-5,1000.0,15.598056061989821,23.933891074333705,24000.0,1.2924472E7
25000.0,18.984375,4.6728007372520445E-5,1000.0,15.230530544739754,25.594983007986926,25000.0,1.2994832E7
26000.0,19.890625,4.9997329317395466E-5,1000.0,16.7795751219834,28.35901797129798,26000.0,1.3944792E7
27000.0,20.8125,5.334847241303779E-5,1000.0,17.21836509837482,27.235790960624637,27000.0,1.405152E7
28000.0,21.765625,5.683506201926825E-5,1000.0,17.596952937443426,28.610663576688832,28000.0,1.4140128E7
29000.0,22.734375,6.0387857083696864E-5,1000.0,18.16208038180937,34.49337337150239,29000.0,1.4176232E7
30000.0,23.6875,6.390518757850966E-5,1000.0,18.89947208970844,28.55139145217027,30000.0,1.42648E7
31000.0,24.640625,6.763212580052721E-5,1000.0,20.28085368555699,40.646967476643574,31000.0,1.511488E7
32000.0,25.65625,7.163545970494548E-5,1000.0,19.139873033824088,28.850730298405267,32000.0,1.5236696E7
33000.0,26.703125,7.57891880089624E-5,1000.0,19.77829310228794,32.79881634696566,33000.0,1.5337184E7
34000.0,27.65625,7.959340847769959E-5,1000.0,19.70230025609797,31.089694057331492,34000.0,1.5428304E7
35000.0,28.703125,8.379088947549462E-5,1000.0,20.26107456513617,32.317141487326516,35000.0,1.5498736E7
36000.0,29.625,8.75027625847401E-5,1000.0,21.739860097283714,32.33231751920085,36000.0,1.556408E7
37000.0,30.703125,9.211340295021526E-5,1000.0,20.092778923386824,30.161276752672126,37000.0,1.6530824E7
38000.0,31.734375,9.65495484868168E-5,1000.0,20.274019724198546,28.983700392924185,38000.0,1.662816E7
39000.0,32.75,1.0093940033887824E-4,1000.0,19.464074242331346,29.286635579838702,39000.0,1.6707784E7
40000.0,33.8125,1.0554567677900195E-4,1000.0,18.38224917416268,27.419581015726543,40000.0,1.6758048E7
41000.0,34.84375,1.1005065287463366E-4,1000.0,15.070067941548688,28.234411941878292,41000.0,1.688616E7
42000.0,35.828125,1.1437114037107675E-4,1000.0,11.138880383678996,19.98203768398895,42000.0,1.6965808E7
43000.0,36.890625,1.1905226487821588E-4,1000.0,11.873131191800526,22.807773250660745,43000.0,1.7030352E7
44000.0,37.953125,1.237456045863736E-4,1000.0,11.575715739239758,19.847241227655793,44000.0,1.7074792E7
45000.0,39.015625,1.284467703792163E-4,1000.0,13.626822918258867,23.929185573764624,45000.0,1.7103264E7
46000.0,40.125,1.3361318243874443E-4,1000.0,12.669825145229932,19.16280848807999,46000.0,1.800168E7
47000.0,41.28125,1.3899942750059482E-4,1000.0,13.377020812620733,21.67346692908209,47000.0,1.8006808E7
48000.0,42.375,1.4411621655906654E-4,1000.0,14.073881661106366,27.875640951287462,48000.0,1.8083472E7
49000.0,43.5,1.4939687143649078E-4,1000.0,16.14747655844927,33.63887387077785,49000.0,1.8144192E7
50000.0,44.65625,1.5484188334085046E-4,1000.0,15.124862388826637,31.995607415646678,50000.0,1.8203272E7
