learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.640625,6.274649381844534E-7,1000.0,19.622156455805985,37.76647686816351,1000.0,3787208.0
2000.0,1.71875,2.1102845332481794E-6,1000.0,21.797003967222135,47.35824061414184,2000.0,5316448.0
3000.0,2.6875,3.6198749310440488E-6,1000.0,18.628975100589916,32.330103124442346,3000.0,6023512.0
4000.0,3.6875,5.825120541784498E-6,1000.0,20.63573520853729,57.31285410216947,4000.0,8524832.0
5000.0,4.78125,8.38047048697869E-6,1000.0,17.61909663160645,29.99621148397188,5000.0,9030976.0
6000.0,5.65625,1.0529795609828497E-5,1000.0,17.616497359651653,32.38355610688644,6000.0,9495032.0
7000.0,6.546875,1.2814087450452563E-5,1000.0,19.033097936030725,32.032560393474185,7000.0,9914232.0
8000.0,7.5,1.557226949242047E-5,1000.0,20.77471752217895,35.13691433187183,8000.0,1.1186016E7
9000.0,8.4375,1.8375792973933535E-5,1000.0,22.652024134784476,40.79225752671617,9000.0,1.15594E7
10000.0,9.453125,2.1497285989527075E-5,1000.0,25.712748131035394,45.580115965542014,10000.0,1.1880408E7
11000.0,10.484375,2.5010907815562357E-5,1000.0,22.996574282908583,37.27476780849071,11000.0,1.3170232E7
12000.0,11.484375,2.8524616112311685E-5,1000.0,23.158581831876045,34.75756889196283,12000.0,1.3582136E7
13000.0,12.546875,3.23236008019497E-5,1000.0,29.020569037084567,54.37623781717849,13000.0,1.3821048E7
14000.0,13.65625,3.6358247161842886E-5,1000.0,30.834725109819274,48.091444622339964,14000.0,1.4058192E7
15000.0,14.734375,4.0339441814770303E-5,1000.0,31.148573725879128,48.52270727449889,15000.0,1.4274032E7
16000.0,15.8125,4.4375602155923846E-5,1000.0,26.753123925629513,41.242810033599454,16000.0,1.4471104E7
17000.0,16.953125,4.8678050580848426E-5,1000.0,30.057238019495138,49.71815591407797,17000.0,1.4580592E7
18000.0,18.1875,5.3611725517031224E-5,1000.0,28.45845335431736,42.047277520154324,18000.0,1.5449904E7
19000.0,19.40625,5.850381107949135E-5,1000.0,22.852512928332516,35.31406977113223,19000.0,1.5516072E7
20000.0,20.5625,6.353638542350382E-5,1000.0,17.163328554758145,32.00284710126004,20000.0,1.6824448E7
21000.0,21.8125,6.910860480275005E-5,1000.0,13.29980574251203,31.372913320445537,21000.0,1.72314E7
22000.0,23.0625,7.477840867876593E-5,1000.0,13.109564222617857,25.035708302845016,22000.0,1.7533168E7
23000.0,24.296875,8.045022728361396E-5,1000.0,14.878965000878459,32.4497801054649,23000.0,1.7761416E7
24000.0,25.75,8.718523306823852E-5,1000.0,15.398971965962971,24.040468307096226,24000.0,1.7915848E7
25000.0,27.125,9.35994728287268E-5,1000.0,14.869868398652166,25.514277914581168,25000.0,1.803204E7
26000.0,28.453125,1.001279342906653E-4,1000.0,16.378585455928448,28.304750038385926,26000.0,1.9000904E7
27000.0,29.84375,1.0704198664623415E-4,1000.0,16.96607337251432,27.081505498995366,27000.0,1.9218744E7
28000.0,31.234375,1.140221074132973E-4,1000.0,17.515193772586343,28.840485236554525,28000.0,1.9402392E7
29000.0,32.578125,1.2076923200058646E-4,1000.0,18.243185915757536,34.24724391031771,29000.0,1.9408976E7
30000.0,33.953125,1.2776274690016483E-4,1000.0,18.925425125094247,28.60967646440378,30000.0,1.9660528E7
31000.0,35.265625,1.3448335220649218E-4,1000.0,20.540058588669766,41.67688978206753,31000.0,1.9792992E7
32000.0,36.71875,1.4236747791680199E-4,1000.0,18.472989202442538,28.70429931103534,32000.0,2.0972632E7
