learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.515625,1.3935466995462774E-7,1000.0,19.32569785996651,37.687685102679154,1000.0,1045840.0
2000.0,0.96875,2.6306512558625806E-7,1000.0,21.51357749458845,47.01995296627722,2000.0,1055336.0
3000.0,1.3125,3.575632581487298E-7,1000.0,17.877907386490655,32.080011784573436,3000.0,1062632.0
4000.0,1.84375,7.635455242254668E-7,1000.0,20.199532482144125,57.0013523398206,4000.0,2954520.0
5000.0,2.3125,1.1261831322270962E-6,1000.0,17.293260525096578,29.858698068106023,5000.0,2990432.0
6000.0,2.765625,1.4782501643316612E-6,1000.0,17.30259450158094,31.926118958818336,6000.0,3003376.0
7000.0,3.28125,1.8801982191184328E-6,1000.0,18.25173006124661,30.90966494072887,7000.0,3013272.0
8000.0,3.71875,2.3201449140388933E-6,1000.0,20.749347403502863,35.11143447263472,8000.0,3887088.0
9000.0,4.125,2.7307444058048228E-6,1000.0,22.554740627180287,40.098154031209155,9000.0,3906856.0
10000.0,4.484375,3.0949852468135456E-6,1000.0,25.70185258175476,44.64966011627507,10000.0,3917808.0
11000.0,4.859375,3.5649119915130236E-6,1000.0,23.35325279243555,37.57017545775957,11000.0,4843968.0
12000.0,5.4375,4.299106270385285E-6,1000.0,22.570719468774044,33.98131481271119,12000.0,4908984.0
13000.0,5.859375,4.837086501841744E-6,1000.0,28.72269665508972,53.78647618163025,13000.0,4929296.0
14000.0,6.28125,5.376343227302035E-6,1000.0,30.773716113734686,47.74483627556023,14000.0,4940992.0
15000.0,6.71875,5.93627958248059E-6,1000.0,31.48460709908258,48.429481512453734,15000.0,4947240.0
16000.0,7.140625,6.476779623577992E-6,1000.0,26.557906052030262,41.074149080848954,16000.0,4952384.0
17000.0,7.5625,7.017564300137262E-6,1000.0,30.068433852100203,49.24640305527636,17000.0,4954992.0
18000.0,7.984375,7.652930022838215E-6,1000.0,28.473537017729896,42.01149477237058,18000.0,5821600.0
19000.0,8.453125,8.361445313009124E-6,1000.0,22.91643027909792,35.31804374774581,19000.0,5842656.0
20000.0,8.90625,9.153928581832185E-6,1000.0,17.452474570295834,31.949129468112048,20000.0,6760432.0
21000.0,9.40625,1.0034271593516073E-5,1000.0,13.570616589351662,31.43370363316724,21000.0,6805880.0
22000.0,9.890625,1.0890729802971086E-5,1000.0,13.105240285134098,25.086019071979077,22000.0,6834816.0
23000.0,10.359375,1.1722012811029953E-5,1000.0,14.776683754306738,32.46677195001048,23000.0,6855040.0
24000.0,10.828125,1.2554709295121334E-5,1000.0,15.044708072038265,23.969539424617793,24000.0,6866696.0
25000.0,11.3125,1.3416195870377125E-5,1000.0,14.671461749736107,25.545944681031873,25000.0,6874944.0
26000.0,11.8125,1.4418840162559517E-5,1000.0,15.806591116871072,28.69554834473698,26000.0,7751384.0
27000.0,12.328125,1.545672389006035E-5,1000.0,16.376010298989467,27.1744598853504,27000.0,7780672.0
28000.0,12.84375,1.6495984228741792E-5,1000.0,16.77975993076844,28.6229468756483,28000.0,7790992.0
29000.0,13.375,1.7561017820197676E-5,1000.0,17.568854431582903,34.34634852117337,29000.0,7749376.0
30000.0,13.90625,1.8630789062525663E-5,1000.0,18.204884625102345,28.26674304322189,30000.0,7783848.0
31000.0,14.421875,1.967092125495482E-5,1000.0,19.745132200346145,40.71913906129096,31000.0,7797528.0
32000.0,14.96875,2.090072042645059E-5,1000.0,18.370266918838844,28.665470426667184,32000.0,8692576.0
33000.0,15.546875,2.2210864699445665E-5,1000.0,19.531901459183953,33.177041399798654,33000.0,8759912.0
34000.0,16.09375,2.345355298732304E-5,1000.0,19.1637796903686,30.802345854662452,34000.0,8783680.0
35000.0,16.640625,2.469818460263519E-5,1000.0,19.846387556310074,32.18487277515484,35000.0,8797416.0
36000.0,17.171875,2.5908391075467484E-5,1000.0,21.64885592681794,32.58843610978241,36000.0,8805680.0
37000.0,17.734375,2.7190758232285995E-5,1000.0,19.869228191926602,29.915458389267123,37000.0,8812360.0
38000.0,18.25,2.836683451379132E-5,1000.0,20.297373609198388,28.87014799631135,38000.0,8816656.0
39000.0,18.8125,2.9778618255578398E-5,1000.0,19.348045629124965,29.36303832293252,39000.0,9701704.0
40000.0,19.390625,3.1233437411073186E-5,1000.0,18.27328728545435,27.804253760817407,40000.0,9727240.0
41000.0,20.015625,3.280951201708781E-5,1000.0,15.763458816126018,28.386598422614327,41000.0,9747632.0
42000.0,20.578125,3.422882550189065E-5,1000.0,11.280812010677755,19.878062560644167,42000.0,9753448.0
43000.0,21.140625,3.564880255402791E-5,1000.0,11.827513953919741,22.680051251149713,43000.0,9758008.0
44000.0,21.75,3.718742127400927E-5,1000.0,11.345271336998984,19.778447865883447,44000.0,9759976.0
45000.0,22.28125,3.8528962597613124E-5,1000.0,13.423053385174697,24.259784007814314,45000.0,9761296.0
46000.0,22.875,4.0028606340961744E-5,1000.0,12.477814971656288,18.949125542282605,46000.0,9763080.0
47000.0,23.484375,4.169202878579705E-5,1000.0,13.121781486222684,21.500960013719673,47000.0,1.0551648E7
48000.0,24.109375,4.340186330308724E-5,1000.0,13.920595838669191,27.420643079894017,48000.0,1.0574904E7
49000.0,24.703125,4.5032502611219475E-5,1000.0,15.9025525530606,33.48894555399302,49000.0,1.0615896E7
50000.0,25.328125,4.675204875335719E-5,1000.0,15.446818845403968,31.969244951975966,50000.0,1.0634968E7
