learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.53125,2.1371214340130488E-7,1000.0,19.4193661673318,37.76037504489182,1000.0,1556256.0
2000.0,1.109375,4.87481205103298E-7,1000.0,21.426408089156727,47.13388985309667,2000.0,1830480.0
3000.0,1.484375,6.891234079375863E-7,1000.0,17.985045637417638,32.21963147785135,3000.0,2078512.0
4000.0,2.125,1.391954461319579E-6,1000.0,20.216312310591885,57.07946305964261,4000.0,4241336.0
5000.0,2.5625,1.8996108944217363E-6,1000.0,17.429071132924374,30.001137034914947,5000.0,4485328.0
6000.0,3.0625,2.4952754999200504E-6,1000.0,17.268931855247416,31.942788902526694,6000.0,4605048.0
7000.0,3.53125,3.072375354046623E-6,1000.0,18.366611880290417,30.987491871626457,7000.0,4758960.0
8000.0,3.9375,3.671347642213934E-6,1000.0,20.699412761896625,35.10994508245104,8000.0,5699224.0
9000.0,4.328125,4.255461519480579E-6,1000.0,22.438061011182135,40.09436539807135,9000.0,5780160.0
10000.0,4.984375,5.246489244099293E-6,1000.0,25.70724548430253,44.893581577229305,10000.0,5837392.0
11000.0,5.453125,6.075881473306153E-6,1000.0,23.233978376295525,37.17119481361869,11000.0,6839448.0
12000.0,5.984375,7.0309617634241784E-6,1000.0,22.62257327487966,34.02859639207829,12000.0,6949336.0
13000.0,6.40625,7.793558664464702E-6,1000.0,28.667148569731015,53.89294984999589,13000.0,6987368.0
14000.0,6.875,8.645764416238913E-6,1000.0,30.752465231816092,47.7543512720832,14000.0,7027576.0
15000.0,7.28125,9.386894493622497E-6,1000.0,31.524255111307383,48.55371435099158,15000.0,7051856.0
16000.0,7.703125,1.015908780067952E-5,1000.0,26.4541762251297,41.049980324727564,16000.0,7075296.0
17000.0,8.109375,1.0905429856696475E-5,1000.0,30.151920600216567,49.467840484351086,17000.0,7101448.0
18000.0,8.5625,1.1842276532358177E-5,1000.0,28.463813111996203,42.02217495083231,18000.0,7991952.0
19000.0,9.0,1.2755460694380516E-5,1000.0,22.927234352438305,35.098208511325936,19000.0,8068312.0
20000.0,9.484375,1.3882969473747327E-5,1000.0,19.14574590120548,32.20930529795674,20000.0,8997888.0
21000.0,10.03125,1.5163425317344564E-5,1000.0,13.883599506463707,31.499796835141233,21000.0,9050632.0
22000.0,10.515625,1.6302611814656602E-5,1000.0,13.119850352161652,24.661449434225172,22000.0,9091080.0
23000.0,11.03125,1.7519187143382923E-5,1000.0,14.957247083238059,32.32221306372462,23000.0,9120264.0
24000.0,11.53125,1.8701620154186253E-5,1000.0,15.409803070811195,23.821432846985562,24000.0,9141320.0
25000.0,12.03125,1.9887298306760686E-5,1000.0,15.14071750279424,25.230225081379825,25000.0,9166408.0
26000.0,12.578125,2.1308023456691037E-5,1000.0,17.00564847570214,27.990555241182587,26000.0,1.0042096E7
27000.0,13.0625,2.2573867431169166E-5,1000.0,17.61126050602886,27.09619271151482,27000.0,1.0101848E7
28000.0,13.671875,2.4169690117964313E-5,1000.0,17.704066875306104,28.4331413834752,28000.0,1.012284E7
29000.0,14.203125,2.555424742038465E-5,1000.0,18.606219220678405,34.28408059222335,29000.0,1.0074288E7
30000.0,14.765625,2.7027586927740937E-5,1000.0,19.325697604269113,28.634251231319553,30000.0,1.0124712E7
31000.0,15.28125,2.8481749339132672E-5,1000.0,20.278632773513408,40.44172040161269,31000.0,1.0901376E7
32000.0,15.921875,3.030263838203003E-5,1000.0,19.137829997396366,28.81765197449282,32000.0,1.0987072E7
33000.0,16.53125,3.2046359265223146E-5,1000.0,20.07798549464796,32.75275042837498,33000.0,1.1061008E7
34000.0,17.171875,3.388435828835807E-5,1000.0,19.87293176899319,30.967667365771046,34000.0,1.1090312E7
35000.0,17.828125,3.5770425812289533E-5,1000.0,20.137386064395855,32.1242356891877,35000.0,1.1109392E7
36000.0,18.46875,3.7614212132110776E-5,1000.0,21.687096002192202,32.200243279673735,36000.0,1.1125232E7
37000.0,19.140625,3.9711337433093125E-5,1000.0,20.054596105866263,30.046166999871282,37000.0,1.2065304E7
38000.0,19.8125,4.182402956454704E-5,1000.0,20.153630287362216,28.749149389708286,38000.0,1.2154864E7
39000.0,20.40625,4.369941462452213E-5,1000.0,19.17840030924662,29.09624336465003,39000.0,1.2209256E7
40000.0,21.109375,4.592750347607459E-5,1000.0,18.35612006774676,27.36305140629906,40000.0,1.2249048E7
41000.0,21.78125,4.806156645322012E-5,1000.0,14.990851707363543,28.100201100875214,41000.0,1.2277816E7
42000.0,22.390625,4.999854841217813E-5,1000.0,11.159803977544994,20.0091068951094,42000.0,1.2286928E7
43000.0,23.015625,5.1986636244691914E-5,1000.0,11.617072309876253,22.54387060969261,43000.0,1.2295832E7
44000.0,23.71875,5.422421585535631E-5,1000.0,11.372051192224276,19.93684505664536,44000.0,1.2301224E7
45000.0,24.375,5.6313234672416E-5,1000.0,13.62824519469257,24.553176750661915,45000.0,1.2304824E7
46000.0,25.046875,5.8603972688110335E-5,1000.0,12.72320880961673,19.246471929208948,46000.0,1.3179208E7
47000.0,25.6875,6.078231381252408E-5,1000.0,13.40908667017102,21.836283358505668,47000.0,1.3143904E7
48000.0,26.328125,6.296722315407048E-5,1000.0,13.823724033743055,27.388102681965588,48000.0,1.3183536E7
49000.0,27.03125,6.53683139050069E-5,1000.0,15.964804713151363,33.455388681131595,49000.0,1.3200136E7
50000.0,27.703125,6.766507007543826E-5,1000.0,15.262066044881038,32.182710022419364,50000.0,1.3213832E7
