learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,0.8125,2.5033976675735577E-7,1000.0,19.622156455805985,37.76647686816351,1000.0,1192136.0
2000.0,1.59375,4.933599848300219E-7,1000.0,21.905360852257473,47.41916009649179,2000.0,1202416.0
3000.0,2.28125,7.085125738133987E-7,1000.0,18.64006011220846,32.63796826409396,3000.0,1209696.0
4000.0,3.140625,1.3950929537208544E-6,1000.0,20.964197051851407,57.559957156403335,4000.0,3088760.0
5000.0,3.859375,1.9776554674737985E-6,1000.0,17.940971902603177,30.106668490411774,5000.0,3133048.0
6000.0,4.515625,2.511869275218083E-6,1000.0,17.530206335436294,32.595248295844414,6000.0,3146648.0
7000.0,5.125,3.012724951582237E-6,1000.0,25.73821405654824,36.21741334789922,7000.0,3177096.0
8000.0,5.8125,3.57823824742809E-6,1000.0,38.14490269281283,45.49914011849708,8000.0,3179600.0
9000.0,6.359375,4.028608058837967E-6,1000.0,30.267071711506713,44.32754973651433,9000.0,3183344.0
10000.0,6.8125,4.403202684544441E-6,1000.0,25.75645451012979,45.63493173205367,10000.0,3195552.0
11000.0,7.4375,4.9208524675729376E-6,1000.0,23.392064883378403,36.833552788845545,11000.0,3201536.0
12000.0,8.0625,5.438616078916109E-6,1000.0,23.516874359174004,36.6844977081636,12000.0,3202240.0
13000.0,8.515625,5.814157872616003E-6,1000.0,28.80046604574778,54.82851462002925,13000.0,3203632.0
14000.0,9.25,6.4228295296844505E-6,1000.0,30.28318681010679,49.13121174946892,14000.0,3203816.0
15000.0,9.953125,7.00565265207034E-6,1000.0,30.141986527177423,49.08804149056363,15000.0,3204104.0
16000.0,10.59375,7.536675903894421E-6,1000.0,26.381427976899428,41.80654794962486,16000.0,3204144.0
17000.0,11.1875,8.028878203024053E-6,1000.0,29.42072205830728,50.78065492166115,17000.0,3204368.0
18000.0,11.84375,8.572953746705834E-6,1000.0,28.065379421501515,42.352861202914,18000.0,3204736.0
19000.0,12.484375,9.104144054516736E-6,1000.0,22.822700668687055,35.94099345439485,19000.0,3205152.0
20000.0,13.109375,9.622487155461892E-6,1000.0,20.865520396593073,33.02805187642926,20000.0,3205824.0
21000.0,13.640625,1.0063248110883354E-5,1000.0,17.412479079156938,32.368601850999184,21000.0,3207056.0
22000.0,14.265625,1.0582129309316064E-5,1000.0,15.974947794064772,28.147115675719252,22000.0,3209152.0
23000.0,14.984375,1.1178872438095926E-5,1000.0,21.186298572205853,35.43674535659269,23000.0,3209312.0
24000.0,15.75,1.1814546273348648E-5,1000.0,29.46272843795966,34.35465657299715,24000.0,3209376.0
25000.0,16.359375,1.2320515977787891E-5,1000.0,14.95054892188508,25.73388929914905,25000.0,3209536.0
26000.0,17.046875,1.3045556810943205E-5,1000.0,25.97685494229345,36.059035849250265,26000.0,4076544.0
27000.0,17.734375,1.3774231613044526E-5,1000.0,29.283881342118256,36.817369808609016,27000.0,4096976.0
28000.0,18.328125,1.4406080428873087E-5,1000.0,18.077620987897514,29.143700284904696,28000.0,4113504.0
29000.0,18.90625,1.514884397490985E-5,1000.0,18.524767785108132,34.61072936605687,29000.0,4966280.0
30000.0,19.609375,1.605489132796518E-5,1000.0,19.07847343154652,28.714947726706,30000.0,4981048.0
31000.0,20.21875,1.6843334467719415E-5,1000.0,28.018238643610264,49.088306780628606,31000.0,5001360.0
32000.0,20.9375,1.7773293042814153E-5,1000.0,62.42003907871467,68.5656567405638,32000.0,5001360.0
33000.0,21.59375,1.8622923493644016E-5,1000.0,47.63780720260426,56.634161515746875,33000.0,5004528.0
34000.0,22.21875,1.9433238808738275E-5,1000.0,21.08594819974211,32.226771732302666,34000.0,5011600.0
35000.0,22.90625,2.032473932356677E-5,1000.0,20.57683784096755,32.874689634613524,35000.0,5012464.0
36000.0,23.59375,2.1216242684103134E-5,1000.0,21.869185434968387,32.65872164366559,36000.0,5012480.0
37000.0,24.28125,2.2107746044639498E-5,1000.0,20.726957785871267,30.94657887654345,37000.0,5012480.0
38000.0,24.953125,2.2978985184130984E-5,1000.0,20.577442119658116,29.09961437774833,38000.0,5012464.0
39000.0,25.671875,2.3911241991704123E-5,1000.0,19.845177497464206,29.707588948164574,39000.0,5013720.0
40000.0,26.421875,2.4885163260882515E-5,1000.0,18.226682784290546,28.693996216815695,40000.0,5019552.0
41000.0,27.0625,2.571837753445531E-5,1000.0,18.30347204332562,29.920448702011853,41000.0,5027536.0
42000.0,27.734375,2.659225865500048E-5,1000.0,15.84482545898527,22.687468912036483,42000.0,5027664.0
43000.0,28.546875,2.7649048489466724E-5,1000.0,17.015905318197827,24.62809870900039,43000.0,5027680.0
44000.0,29.359375,2.8705838323932968E-5,1000.0,16.208456803970975,22.321899582920537,44000.0,5027680.0
45000.0,30.140625,2.9721979161776188E-5,1000.0,17.750920435530062,25.4883782434677,45000.0,5027664.0
46000.0,30.875,3.0677154589082215E-5,1000.0,16.633322557648352,21.298190529954304,46000.0,5027680.0
47000.0,31.46875,3.145336002085565E-5,1000.0,16.039108365877983,24.153757497886406,47000.0,5053304.0
48000.0,32.09375,3.242411763898821E-5,1000.0,14.348096830304405,27.91854723096477,48000.0,6003896.0
49000.0,32.78125,3.3504533316267447E-5,1000.0,17.9051507479921,34.25695693811219,49000.0,6074640.0
50000.0,33.640625,3.486324499438827E-5,1000.0,15.272191174539648,32.20933046822085,50000.0,6111488.0
