learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,4.109375,6.095483042170397E-5,1000.0,29.90621797263991,44.341037813899206,1000.0,5.7362712E7
2000.0,10.09375,2.3254166033843327E-4,1000.0,27.779058811298942,40.73454006884824,2000.0,1.108326E8
3000.0,19.5625,3.4131517737276027E-4,1000.0,26.86259230311616,38.89433779207698,3000.0,4.4405104E7
4000.0,25.625,4.66144789243117E-4,1000.0,28.61699500364795,39.94508972109379,4000.0,7.9591784E7
5000.0,33.0,6.793870046062189E-4,1000.0,35.74036753355038,49.370404580307586,5000.0,1.11766984E8
6000.0,41.703125,0.0010509322852077377,1000.0,34.05595982937625,57.56288916393605,6000.0,1.6502088E8
7000.0,53.21875,0.0015251146509156874,1000.0,31.52255211657359,49.02650103280508,7000.0,1.59169648E8
8000.0,63.578125,0.0017240476605365985,1000.0,38.66119408094807,143.84247566978073,8000.0,7.4229352E7
9000.0,71.6875,0.0018345926491504846,1000.0,47.12841425980963,241.5748545579374,9000.0,5.2693136E7
10000.0,77.953125,0.0019744207825796263,1000.0,39.14470015927721,60.71113212896397,10000.0,8.6264584E7
11000.0,84.71875,0.0022002824798497992,1000.0,34.66457261804426,52.3206415664959,11000.0,1.29043768E8
12000.0,94.75,0.0024037942095310426,1000.0,44.474199346371044,253.7797711960314,12000.0,7.8421792E7
13000.0,102.0625,0.0025640530281816607,1000.0,102.67284585503751,647.7339018285141,13000.0,8.4714632E7
14000.0,109.03125,0.0028015780759677806,1000.0,62.6111229826101,355.8548092802843,14000.0,1.31751904E8
15000.0,117.625,0.0032117057978757655,1000.0,40.662399501715505,150.35712697115994,15000.0,1.84475536E8
16000.0,128.53125,0.003875567132328999,1000.0,43.991414335210095,65.69391016176546,16000.0,2.35290448E8
17000.0,140.640625,0.004796971432774121,1000.0,32.08352168842884,85.52575590179522,17000.0,2.9412428E8
18000.0,155.140625,0.006053011111410645,1000.0,44.831399192573876,135.7556345141899,18000.0,3.34840304E8
19000.0,170.578125,0.007626047685108561,1000.0,29.004856007546596,44.47848464305957,19000.0,3.93880264E8
20000.0,192.828125,0.009627452652267594,1000.0,47.039323123533556,565.8460058299526,20000.0,3.47702112E8
21000.0,209.8125,0.011186597230650174,1000.0,34.140815245754496,65.69253728513952,21000.0,3.54845408E8
22000.0,228.828125,0.013164660235795761,1000.0,30.85101333166793,47.56567955960345,22000.0,4.02097976E8
23000.0,248.265625,0.01547539463606275,1000.0,30.48195997362106,53.0688351686382,23000.0,4.59528016E8
24000.0,275.859375,0.015964023213503726,1000.0,54.904893912779265,122.88412685035846,24000.0,6.8449536E7
25000.0,281.515625,0.016127074679663764,1000.0,52.03209936582148,103.9847782813116,25000.0,1.11429064E8
26000.0,288.796875,0.016422825856942734,1000.0,43.31511581859585,90.74440219415791,26000.0,1.57008408E8
27000.0,296.984375,0.01685456534113554,1000.0,38.60740982582164,69.73602161451693,27000.0,2.03832216E8
28000.0,307.359375,0.01753913011857852,1000.0,36.06378489016633,60.3170494075085,28000.0,2.55052048E8
29000.0,319.234375,0.018474347100030476,1000.0,32.80076553687058,60.688583514683344,29000.0,3.04425576E8
30000.0,332.421875,0.019687532374486585,1000.0,31.414402311257923,47.610408526140844,30000.0,3.5560432E8
31000.0,349.859375,0.021536172157470394,1000.0,28.326212606532494,40.15967728269485,31000.0,4.09798576E8
32000.0,368.96875,0.023826748331711212,1000.0,31.089360334366354,63.6845052196355,32000.0,4.63340888E8
