learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,3.4375,4.9748942385324174E-5,1000.0,29.757344783199486,44.34535938293616,1000.0,5.5968456E7
2000.0,8.75,2.073570963047031E-4,1000.0,27.822544238953565,41.15171758304475,2000.0,1.14678528E8
3000.0,18.3125,3.074958343576226E-4,1000.0,27.47392569515193,39.86959004655011,3000.0,4.0479304E7
4000.0,24.5,4.349943732894543E-4,1000.0,29.493141757614037,41.16111811311288,4000.0,7.9651208E7
5000.0,32.203125,6.842057621623907E-4,1000.0,36.98217110449119,51.45815191356058,5000.0,1.25055648E8
6000.0,41.578125,0.001145563019801759,1000.0,35.4846345126469,59.89855040861486,6000.0,1.90225376E8
7000.0,56.140625,0.0019184871982886559,1000.0,32.36583382712356,52.06884404538293,7000.0,2.05165024E8
8000.0,69.5,0.002189243877235438,1000.0,38.99672711621654,146.8088416179274,8000.0,7.8342136E7
9000.0,79.171875,0.0023033696185060155,1000.0,48.26335315500537,248.5939651845589,9000.0,4.56116E7
10000.0,86.734375,0.0024690690565168753,1000.0,42.43686520823516,63.95344529456862,10000.0,8.4695048E7
11000.0,94.671875,0.002755889578095068,1000.0,36.245425635163265,54.607991309323026,11000.0,1.39678272E8
12000.0,106.21875,0.003016273732420005,1000.0,45.43814717620492,254.0034723164545,12000.0,8.7167072E7
13000.0,115.21875,0.0032295492097101585,1000.0,102.41471096849101,651.7700714197745,13000.0,9.160112E7
14000.0,123.796875,0.003562523547217198,1000.0,63.86822664123886,377.78935390623974,14000.0,1.50044736E8
15000.0,133.875,0.004132538628247049,1000.0,40.668682093823605,149.13816297303148,15000.0,2.18629608E8
16000.0,147.03125,0.005109027491546132,1000.0,45.44095483365708,68.25722091475939,16000.0,2.86904624E8
17000.0,161.296875,0.006444417576713022,1000.0,32.63236445175634,86.06768371430374,17000.0,3.61842616E8
18000.0,180.40625,0.008509065718810436,1000.0,45.752295246496466,140.78452492161458,18000.0,4.17639856E8
19000.0,200.515625,0.011098315517139983,1000.0,29.286726477325725,44.38638714221581,19000.0,4.97711584E8
20000.0,225.140625,0.013817105010805082,1000.0,47.13721038204166,565.9060902098463,20000.0,4.26777696E8
21000.0,247.609375,0.01639128406852251,1000.0,34.03170500492857,62.12303965946885,21000.0,4.42855672E8
22000.0,269.75,0.019276329996064306,1000.0,31.666055587022125,48.69021798603298,22000.0,5.036922E8
23000.0,292.484375,0.022594751283080163,1000.0,31.28294647470999,55.40936251533215,23000.0,5.64223112E8
24000.0,324.640625,0.023105749306754055,1000.0,56.60867484159873,126.4450452689635,24000.0,6.142656E7
25000.0,330.203125,0.023287336821894215,1000.0,54.05958238562262,107.89745503130631,25000.0,1.2618808E8
26000.0,338.40625,0.02368889401708859,1000.0,44.27493093115584,93.61497518578953,26000.0,1.89221488E8
27000.0,348.890625,0.024360392594211994,1000.0,39.358729833203355,70.92259735408932,27000.0,2.47573936E8
28000.0,360.859375,0.025330902068688172,1000.0,36.10417582521322,60.881228689255806,28000.0,3.13439232E8
29000.0,374.25,0.026653064904385248,1000.0,32.712222184104625,60.696104456438505,29000.0,3.81668632E8
30000.0,392.25,0.02871831935422961,1000.0,31.74148120611253,48.14134303570939,30000.0,4.43510016E8
31000.0,412.046875,0.0313664639984361,1000.0,28.887806795976854,40.4272516613612,31000.0,5.17067728E8
32000.0,434.578125,0.03478310827017089,1000.0,31.771133894556453,64.10549813528947,32000.0,5.86160904E8
