learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,3.3125,4.994111963444286E-5,1000.0,30.146372595259233,44.72488250629604,1000.0,5.830376E7
2000.0,8.703125,2.1224909154827603E-4,1000.0,27.89854673142343,41.87031887066875,2000.0,1.16386632E8
3000.0,18.359375,3.256780357656276E-4,1000.0,27.010502341654593,39.436626503911334,3000.0,4.5406472E7
4000.0,24.53125,4.532129649629092E-4,1000.0,29.02392567411843,40.53379206588008,4000.0,7.9875648E7
5000.0,31.0625,6.732939521639815E-4,1000.0,36.592927607903384,50.841121095169434,5000.0,1.30253256E8
6000.0,40.140625,0.0011329055769278462,1000.0,34.49868993860541,58.17452717730934,6000.0,1.9570288E8
7000.0,54.109375,0.00194974494532087,1000.0,32.061429933676784,50.95397420588633,7000.0,2.26038016E8
8000.0,68.234375,0.002228773697570432,1000.0,38.70830711747945,144.91758923916362,8000.0,7.6359464E7
9000.0,77.140625,0.002355189154720089,1000.0,46.42798485074477,240.47987233320148,9000.0,5.4866552E7
10000.0,84.21875,0.002518392407412951,1000.0,40.56526728402049,62.666591241775066,10000.0,8.9127752E7
11000.0,92.5625,0.0028386934996039296,1000.0,35.301714281966014,53.36725024328611,11000.0,1.48388248E8
12000.0,104.40625,0.0031022807902708234,1000.0,45.90583303216885,256.8572837068708,12000.0,8.602756E7
13000.0,113.03125,0.003309581002815523,1000.0,103.69561547935962,664.5011967743754,13000.0,9.290584E7
14000.0,121.59375,0.003623397300640742,1000.0,65.34110782686315,408.6669148859073,14000.0,1.416698E8
15000.0,131.375,0.004153433678244861,1000.0,38.695074694040834,117.87663975899478,15000.0,2.09466072E8
16000.0,143.859375,0.005058640083233411,1000.0,45.15284778567091,67.11741918003094,16000.0,2.8027424E8
17000.0,158.234375,0.006383079508410041,1000.0,32.22565561066984,85.89076603207869,17000.0,3.56144808E8
18000.0,178.046875,0.008379299514603592,1000.0,45.799269225972076,144.3130111244707,18000.0,3.89467744E8
19000.0,197.765625,0.01077216065896209,1000.0,29.47368949284897,44.764456620183964,19000.0,4.69073056E8
20000.0,222.1875,0.013572878338939817,1000.0,46.29667645337993,565.7959008078677,20000.0,4.43294864E8
21000.0,244.890625,0.01631196192805267,1000.0,35.73819899551472,63.66492783371901,21000.0,4.66360776E8
22000.0,268.609375,0.019394683929179635,1000.0,32.54964533078382,50.16214489256556,22000.0,5.02394568E8
23000.0,292.203125,0.022896068696896282,1000.0,33.29362732635994,57.34854027128676,23000.0,5.73647672E8
24000.0,326.09375,0.023511529868733807,1000.0,58.53630524328883,128.16761414582493,24000.0,7.0197792E7
25000.0,332.921875,0.02373782163544092,1000.0,55.68376662982209,109.34681761597467,25000.0,1.28106056E8
26000.0,341.609375,0.024177716654246773,1000.0,48.638851072321984,102.40496829114545,26000.0,1.9572964E8
27000.0,352.90625,0.024950269476167804,1000.0,40.88354263980095,73.66247600267582,27000.0,2.64345688E8
28000.0,366.125,0.026087562496314703,1000.0,36.61809490873818,62.03086534604675,28000.0,3.32570984E8
29000.0,380.859375,0.027620203030011097,1000.0,32.79388599447014,60.78234383304241,29000.0,4.020786E8
30000.0,400.5,0.03001557760664986,1000.0,32.44468470484306,49.68094927256877,30000.0,4.71433568E8
31000.0,422.375,0.03306756521652763,1000.0,29.22798540511065,40.93314554429514,31000.0,5.39308264E8
32000.0,445.890625,0.03677088978910534,1000.0,31.518118353956368,64.1214671502054,32000.0,6.08748104E8
