learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,1.78125,2.2035423316992823E-5,1000.0,31.044431279457115,45.352450257984614,1000.0,4.7844568E7
2000.0,5.90625,1.124410950190698E-4,1000.0,28.190069084626472,41.52691879322867,2000.0,8.4717688E7
3000.0,11.71875,1.7499089803701886E-4,1000.0,27.202146509524002,39.24787276742933,3000.0,4.159732E7
4000.0,15.296875,2.359243268599837E-4,1000.0,29.187127232910814,40.34102794285029,4000.0,6.582676E7
5000.0,19.78125,3.4085722242404394E-4,1000.0,36.21561710797711,49.89185001338564,5000.0,9.0450736E7
6000.0,25.59375,5.349884355867592E-4,1000.0,34.076574682290705,56.90959399601895,6000.0,1.29102536E8
7000.0,33.28125,8.28240439974858E-4,1000.0,31.808026115284285,49.27847562192883,7000.0,1.47454568E8
8000.0,40.625,9.526005842942847E-4,1000.0,38.34435854498178,142.8344538919108,8000.0,6.5458448E7
9000.0,45.734375,0.0010222168807781094,1000.0,47.711667396608384,238.18005701817577,9000.0,5.266784E7
10000.0,49.703125,0.0011005426532291393,1000.0,41.24178331742749,62.70509595303738,10000.0,7.6287488E7
11000.0,54.25,0.001221820809716721,1000.0,36.022466591095736,54.22479534621835,11000.0,1.03103152E8
12000.0,61.140625,0.0013529658732133814,1000.0,46.07575055457914,255.6480595757718,12000.0,7.3569144E7
13000.0,66.234375,0.0014618165460544535,1000.0,101.4898849493432,638.4865961591779,13000.0,8.2603008E7
14000.0,71.671875,0.0016227804542803723,1000.0,61.9882273156609,367.5807886542047,14000.0,1.14427816E8
15000.0,78.578125,0.0018880501091350906,1000.0,39.492175631138686,139.78471968921744,15000.0,1.48473056E8
16000.0,85.984375,0.0022468409517184935,1000.0,44.50923488859239,65.85919406122004,16000.0,1.87260144E8
17000.0,95.765625,0.0028268987215900173,1000.0,32.544142717213816,86.01283202964999,17000.0,2.2923412E8
18000.0,106.859375,0.003582410299309736,1000.0,45.44600544073355,134.5066628526165,18000.0,2.63248024E8
19000.0,119.0,0.004551949658521658,1000.0,29.319673861802723,44.291853661626234,19000.0,3.08692992E8
20000.0,134.375,0.0055834464906688985,1000.0,46.27461550873273,565.7613730227513,20000.0,2.59331424E8
21000.0,146.78125,0.006418146527527521,1000.0,33.70341746713436,65.09776881749703,21000.0,2.60071208E8
22000.0,158.5,0.007267941512012234,1000.0,31.26312584598645,49.25493086482451,22000.0,2.8030784E8
23000.0,170.328125,0.008249042622305247,1000.0,31.219983864860648,54.31110955578755,23000.0,3.20627104E8
24000.0,186.8125,0.008589358485025718,1000.0,54.50019877793271,124.29513996970012,24000.0,7.9801688E7
25000.0,191.6875,0.008724008758274272,1000.0,51.317391904611256,103.62193002555055,25000.0,1.06766496E8
26000.0,197.796875,0.008945068646345238,1000.0,44.18995374741437,93.90440156811746,26000.0,1.39867088E8
27000.0,204.484375,0.009244081336687995,1000.0,38.64486513228558,68.31620625015312,27000.0,1.72833608E8
28000.0,211.609375,0.009631580402912938,1000.0,36.30815327868765,60.66071273021216,28000.0,2.1022684E8
29000.0,221.0,0.010231726190249904,1000.0,32.73398697184877,60.18121065693237,29000.0,2.47038496E8
30000.0,231.375,0.010998361576057507,1000.0,31.425168655360633,47.49149902453682,30000.0,2.85629544E8
31000.0,242.8125,0.011955315464195643,1000.0,28.38551513962439,40.129572503271504,31000.0,3.23416576E8
32000.0,255.484375,0.013101378518428346,1000.0,31.419764473415164,64.01360276582149,32000.0,3.49598856E8
