learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,5.1875,1.0171103148928118E-4,1000.0,31.801981617195977,46.54999451832128,1000.0,7.5815816E7
2000.0,12.3125,3.7349539744253787E-4,1000.0,28.248258735259302,42.18969678058611,2000.0,1.47449048E8
3000.0,23.96875,5.402427926633714E-4,1000.0,27.68693458601857,40.05569622387399,3000.0,5.5297128E7
4000.0,31.421875,7.281281435603483E-4,1000.0,29.63827108877091,41.030559312800634,4000.0,9.74444E7
5000.0,39.65625,0.001031195397178332,1000.0,36.84228716461477,50.647855997766236,5000.0,1.42269152E8
6000.0,49.515625,0.001565723864575072,1000.0,34.48979425327995,57.66795579737542,6000.0,2.09567448E8
7000.0,63.90625,0.0023891804975573906,1000.0,31.774459553297646,49.05976763222228,7000.0,2.2118896E8
8000.0,76.859375,0.002693785816987252,1000.0,39.34751185543316,148.09112991492103,8000.0,9.0900296E7
9000.0,85.5,0.002805203236283786,1000.0,50.38351074212502,252.79151945008064,9000.0,4.9843704E7
10000.0,91.421875,0.0029579912932563776,1000.0,43.65749135841572,65.10846273964698,10000.0,9.9731544E7
11000.0,99.46875,0.0032833960147561603,1000.0,37.682795792158075,56.75388823829151,11000.0,1.56314392E8
12000.0,110.703125,0.00354804952810001,1000.0,46.57090129061011,253.59609310437125,12000.0,9.1060728E7
13000.0,118.484375,0.0037531450077141113,1000.0,101.81712552999494,659.09381841505,13000.0,1.01884728E8
14000.0,126.53125,0.0040605325691608915,1000.0,65.25988483676477,399.6992113424446,14000.0,1.47659504E8
15000.0,135.5625,0.0045505739862306245,1000.0,39.72195741482218,105.14588149413699,15000.0,2.09742912E8
16000.0,147.015625,0.005356210669172772,1000.0,45.0509143166794,66.8284933298305,16000.0,2.71905256E8
17000.0,159.921875,0.006498878826290213,1000.0,32.53272518239819,85.95444874921492,17000.0,3.42233424E8
18000.0,175.03125,0.008036261554839762,1000.0,45.32455533252182,130.19480231354825,18000.0,3.93312608E8
19000.0,193.765625,0.010285467404109011,1000.0,29.07282746795773,43.65120761190369,19000.0,4.6407948E8
20000.0,216.953125,0.01288080007827375,1000.0,46.33743822187705,565.7359325288102,20000.0,4.32654752E8
21000.0,238.484375,0.015384941564730574,1000.0,33.44323514557729,65.35599543743132,21000.0,4.4956448E8
22000.0,259.5625,0.018115097335830794,1000.0,30.743430267046456,48.43006578079055,22000.0,5.00677208E8
23000.0,281.921875,0.021411147454346063,1000.0,30.475926605377094,53.5453459026368,23000.0,5.69818464E8
24000.0,313.96875,0.022115332003288333,1000.0,54.336566663979205,124.73219409751725,24000.0,8.4938224E7
25000.0,320.296875,0.022321807890095646,1000.0,52.981782313300386,105.8962112891305,25000.0,1.26123688E8
26000.0,327.8125,0.022685363894140918,1000.0,45.06284688561562,95.00669319558341,26000.0,1.86985784E8
27000.0,336.5625,0.023254036978630918,1000.0,38.56793485606516,68.46420477413477,27000.0,2.51221608E8
28000.0,347.828125,0.024178317987146633,1000.0,36.285322391293164,60.2889071801789,28000.0,3.17140064E8
29000.0,361.140625,0.025487684086450222,1000.0,32.408194582178766,60.43812485464065,29000.0,3.8019276E8
30000.0,379.1875,0.02756876148293183,1000.0,31.420910532177604,47.24994883126113,30000.0,4.45747168E8
31000.0,399.515625,0.030254863162990663,1000.0,28.440978643954107,40.167097587940376,31000.0,5.10772488E8
32000.0,421.171875,0.03343802845280152,1000.0,31.23687080512985,63.92875791138348,32000.0,5.68170008E8
