learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,6.796875,2.5362828455399723E-5,1000.0,89.1,78.20156948699693,22.14285714285716,77.75510204081633,1000.0,1.445072E7
2000.0,12.15625,5.592186107403702E-5,2000.0,91.10000000000001,79.34632271718851,36.42857142857146,70.13422818791948,2000.0,2.2040824E7
3000.0,18.359375,9.249514191954708E-5,3000.0,91.7,82.65920106969749,55.37634408602153,79.80535279805355,3000.0,2.27906E7
4000.0,23.609375,1.346704168827273E-4,4000.0,92.7,84.47970881382454,56.804733727810685,81.3299232736573,4000.0,3.1052816E7
5000.0,29.8125,1.8986516020959244E-4,5000.0,90.7,79.06480455982063,41.87500000000003,73.72881355932203,5000.0,3.4394544E7
6000.0,36.21875,2.4306355584283464E-4,6000.0,87.8,74.95936027323033,19.73684210526317,70.81339712918661,6000.0,3.2099408E7
7000.0,42.4375,3.011140945535671E-4,7000.0,91.3,81.9379162583667,54.45026178010471,79.33491686460809,7000.0,3.608324E7
8000.0,48.78125,3.4923027925995285E-4,8000.0,89.0,77.90942865749574,35.67251461988307,79.28436911487759,8000.0,2.9318888E7
9000.0,54.59375,4.0825178144991193E-4,9000.0,92.4,84.68532370389478,55.81395348837213,83.9662447257384,9000.0,3.9250904E7
10000.0,61.140625,4.638550115244774E-4,10000.0,90.0,80.00279960805487,30.069930069930095,79.42386831275721,10000.0,3.2829808E7
11000.0,66.40625,5.190329590954611E-4,11000.0,94.0,87.98081738454573,66.48044692737429,87.9759519038076,11000.0,4.0505872E7
12000.0,73.09375,5.638937046428005E-4,12000.0,88.7,77.04409159610603,18.115942028985522,74.83296213808464,12000.0,2.5930152E7
13000.0,79.375,6.145625349664544E-4,13000.0,90.7,81.40669359030748,34.96503496503499,81.17408906882592,13000.0,3.1181512E7
14000.0,84.765625,6.715450672264625E-4,14000.0,93.0,85.99955198566354,28.571428571428605,84.9785407725322,14000.0,4.0860624E7
15000.0,91.109375,7.116041176939487E-4,15000.0,90.2,79.62815140025279,32.4137931034483,78.22222222222223,15000.0,2.4409392E7
16000.0,97.1875,7.393073704507616E-4,16000.0,91.2,81.92595391939797,46.34146341463418,79.09738717339668,16000.0,1.761828E7
17000.0,103.15625,7.859002617705199E-4,17000.0,89.1,76.24444250719206,31.87500000000002,69.72222222222223,17000.0,3.01744E7
18000.0,108.875,8.467350284465485E-4,18000.0,90.7,80.96119358985908,33.093525179856144,77.53623188405798,18000.0,4.112E7
19000.0,113.765625,9.063853533977333E-4,19000.0,91.9,81.62598675256329,39.55223880597018,77.18309859154931,19000.0,4.7146648E7
20000.0,120.78125,9.601875757410503E-4,20000.0,90.4,80.81473428406984,22.580645161290345,81.32295719844359,20000.0,2.964396E7
21000.0,127.359375,9.939311923355693E-4,21000.0,89.3,78.08454858266427,41.530054644808764,75.90090090090091,21000.0,1.9828592E7
22000.0,132.375,0.0010277888119970967,22000.0,89.2,72.667638483965,42.24598930481286,60.58394160583942,22000.0,2.6093584E7
23000.0,138.328125,0.0010431508282716905,23000.0,86.4,71.83786895497786,9.933774834437093,68.14988290398126,23000.0,9974832.0
24000.0,143.96875,0.0010682446285176816,24000.0,84.6,67.12099473935915,-4.054054054054057,61.11111111111111,24000.0,1.719656E7
25000.0,149.71875,0.001104601172846742,25000.0,87.0,71.5198331500379,-12.068965517241391,65.51724137931035,25000.0,2.4440896E7
26000.0,155.828125,0.0011598161821085443,26000.0,90.10000000000001,79.849379198046,29.28571428571431,77.60180995475113,26000.0,3.493516E7
27000.0,161.671875,0.0012251975376016669,27000.0,92.7,84.76945545587316,31.775700934579472,82.19512195121953,27000.0,4.3247864E7
28000.0,168.328125,0.0012966791571751757,28000.0,87.7,74.4717944460587,-35.1648351648352,70.0,28000.0,4.1511376E7
29000.0,174.890625,0.0013347110688078426,29000.0,87.1,71.60491653166162,-11.20689655172415,66.14173228346458,29000.0,2.2401712E7
30000.0,180.6875,0.0013856969514421914,30000.0,89.3,77.32666553653162,0.9259259259259269,72.979797979798,30000.0,3.3998392E7
31000.0,187.0,0.0014325781874746707,31000.0,85.9,69.27167327725232,5.369127516778527,62.796833773087066,31000.0,2.8707808E7
32000.0,193.46875,0.0014671397125736502,32000.0,87.6,74.49766571375687,13.8888888888889,70.4057279236277,32000.0,2.0652608E7
33000.0,199.15625,0.0015110013756202535,33000.0,89.9,79.54223212477214,13.675213675213687,77.80219780219781,33000.0,2.981028E7
34000.0,205.484375,0.0015712614313815722,34000.0,90.0,79.2457920843451,29.577464788732417,74.02597402597402,34000.0,3.680924E7
35000.0,212.171875,0.001608597947730838,35000.0,87.5,73.77343605753899,-2.4590163934426252,70.30878859857482,35000.0,2.158104E7
