learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,3.65625,1.0034684091806412E-5,1000.0,86.9,73.79937118490844,6.428571428571433,73.26530612244898,1000.0,1.0635448E7
2000.0,7.0625,2.081171641798897E-5,2000.0,90.5,77.00537348114442,32.14285714285717,68.12080536912754,2000.0,1.222996E7
3000.0,11.5,3.508643434745156E-5,3000.0,90.2,79.59362154913565,47.311827956989276,76.15571776155718,3000.0,1.2434592E7
4000.0,15.8125,5.4709725017245446E-5,4000.0,91.9,82.90562215093703,52.071005917159795,79.2838874680307,4000.0,1.7588656E7
5000.0,20.46875,7.906445289134151E-5,5000.0,89.60000000000001,76.54234107436079,35.00000000000003,70.62146892655367,5000.0,2.021852E7
6000.0,25.53125,1.0800932288273341E-4,6000.0,89.1,77.66521593023353,28.28947368421055,73.92344497607655,6000.0,2.2100848E7
7000.0,31.203125,1.4596581407305266E-4,7000.0,89.3,77.74190595851258,43.979057591623025,74.58432304038006,7000.0,2.5867936E7
8000.0,38.140625,1.8525632279407648E-4,8000.0,88.6,77.1474391099529,33.33333333333336,78.53107344632768,8000.0,2.189208E7
9000.0,43.171875,2.2030831599194144E-4,9000.0,93.30000000000001,86.50314657985707,61.046511627907016,85.8649789029536,9000.0,2.6930176E7
10000.0,48.90625,2.5018120889500197E-4,10000.0,90.4,80.8019198080192,32.867132867132895,80.24691358024691,10000.0,2.0136944E7
11000.0,52.0,2.7035154001269905E-4,11000.0,93.4,86.78292353721008,63.128491620111774,86.77354709418839,11000.0,2.520172E7
12000.0,56.40625,2.987400753449442E-4,12000.0,90.0,79.69765751572417,27.536231884057994,77.72828507795101,12000.0,2.4904408E7
13000.0,61.8125,3.3256919511283437E-4,13000.0,90.8,81.60419424371244,35.664335664335695,81.37651821862349,13000.0,2.4187832E7
14000.0,65.109375,3.579112631915551E-4,14000.0,93.0,85.99887991039284,28.571428571428605,84.9785407725322,14000.0,2.9712688E7
15000.0,69.828125,3.8842885729132426E-4,15000.0,89.0,77.07722059215791,24.137931034482776,75.55555555555556,15000.0,2.4999176E7
16000.0,75.4375,4.0506562256875135E-4,16000.0,88.9,76.94014409293746,32.31707317073173,73.63420427553444,16000.0,1.1464544E7
17000.0,83.453125,4.4328799684687203E-4,17000.0,89.1,76.4171354392038,31.87500000000002,69.72222222222223,17000.0,1.8432432E7
18000.0,87.9375,4.715350574568017E-4,18000.0,90.2,79.85959258833009,29.496402877697864,76.32850241545894,18000.0,2.4348584E7
19000.0,92.390625,5.039581463077209E-4,19000.0,92.10000000000001,82.17348136113368,41.04477611940302,77.74647887323944,19000.0,2.8144392E7
20000.0,97.46875,5.198153642898736E-4,20000.0,91.0,82.01036203146987,27.419354838709705,82.49027237354086,20000.0,1.207052E7
21000.0,101.9375,5.317339529089319E-4,21000.0,87.4,74.11582960820405,31.147540983606575,71.62162162162163,21000.0,1.0309584E7
22000.0,105.625,5.446333086648439E-4,22000.0,88.4,70.37188393951779,37.967914438502696,57.664233576642346,22000.0,1.3521416E7
23000.0,109.546875,5.508166941581294E-4,23000.0,86.6,72.13407254291145,11.258278145695373,68.61826697892272,23000.0,6094456.0
24000.0,113.671875,5.617116261661673E-4,24000.0,85.39999999999999,68.91182883619514,1.3513513513513522,63.13131313131313,24000.0,1.0209464E7
25000.0,117.484375,5.737305719069101E-4,25000.0,87.7,73.26946982275267,-6.034482758620696,67.37400530503979,25000.0,1.2185936E7
26000.0,121.34375,5.915635182302341E-4,26000.0,89.8,79.2730110218812,27.142857142857164,76.92307692307693,26000.0,1.7861112E7
27000.0,124.953125,6.120026545573232E-4,27000.0,92.2,83.73237674146993,27.10280373831779,80.97560975609758,27000.0,2.1889352E7
28000.0,129.5,6.385727735404442E-4,28000.0,87.5,74.03730320275828,-37.36263736263741,69.51219512195122,28000.0,2.2588264E7
29000.0,133.78125,6.598860582582548E-4,29000.0,87.2,71.69156187384168,-10.344827586206906,66.40419947506561,29000.0,1.9243416E7
30000.0,138.75,6.927662787428642E-4,30000.0,89.4,77.5088267246062,1.8518518518518539,73.23232323232324,30000.0,2.5579376E7
31000.0,145.328125,7.298169977730139E-4,31000.0,88.1,73.90099044644658,20.13422818791948,68.60158311345647,31000.0,2.1771928E7
32000.0,150.734375,7.448655948974191E-4,32000.0,86.8,72.85235382432182,8.33333333333334,68.4964200477327,32000.0,1.0759752E7
33000.0,155.09375,7.612254642299375E-4,33000.0,87.8,75.28413119669375,-4.273504273504278,73.18681318681318,33000.0,1.4506344E7
34000.0,161.765625,7.904933860926474E-4,34000.0,89.60000000000001,78.31209726190228,26.76056338028171,72.98701298701299,34000.0,1.6956896E7
35000.0,166.921875,8.099518811731185E-4,35000.0,86.6,71.89444055254691,-9.836065573770501,68.17102137767222,35000.0,1.4587392E7
36000.0,171.265625,8.328779490936237E-4,36000.0,88.9,74.94153023722019,27.922077922077943,63.72549019607844,36000.0,2.0401232E7
37000.0,175.9375,8.528976618092404E-4,37000.0,84.89999999999999,65.71298819255222,6.790123456790129,56.98005698005697,37000.0,1.6564144E7
38000.0,180.34375,8.773673302817365E-4,38000.0,89.7,77.54934784124991,27.464788732394386,69.6165191740413,38000.0,2.1466504E7
39000.0,186.203125,9.049393170021681E-4,39000.0,89.5,78.85656292286875,19.847328244274827,77.56410256410257,39000.0,1.8189432E7
40000.0,190.515625,9.28007635844147E-4,40000.0,91.3,82.25894597747092,40.41095890410962,80.92105263157895,40000.0,2.067708E7
41000.0,195.0,9.57214433098367E-4,41000.0,89.3,78.4180207509722,42.16216216216219,77.18550106609808,41000.0,2.5175864E7
42000.0,199.25,9.877352398082924E-4,42000.0,91.5,83.0036712070193,46.54088050314469,82.79352226720648,42000.0,2.775936E7
43000.0,204.171875,0.0010221395137098928,43000.0,90.0,79.94102661825768,21.875000000000018,78.30802603036877,43000.0,2.7019928E7
44000.0,209.3125,0.0010392831678230625,44000.0,86.4,68.72340914840282,25.683060109289634,62.94277929155313,44000.0,1.2890592E7
45000.0,213.09375,0.0010546950399940315,45000.0,92.4,84.57491719166073,41.98473282442752,82.07547169811322,45000.0,1.5755144E7
