learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes)
1000.0,2.421875,3.721066378703755E-5,1000.0,30.072941779813195,44.62182422773549,1000.0,5.941452E7
2000.0,7.171875,1.846302573944235E-4,1000.0,27.688634752754687,40.56011263545442,2000.0,1.199676E8
3000.0,16.078125,3.451324127834394E-4,1000.0,26.524689096428222,38.76733906472474,3000.0,6.9660784E7
4000.0,21.6875,5.278183093630813E-4,1000.0,28.375839771420438,39.46636581042967,4000.0,1.25890488E8
5000.0,29.84375,8.153203710551478E-4,1000.0,35.77651403352298,49.24188409886826,5000.0,1.36255112E8
6000.0,37.921875,0.0011804700833292574,1000.0,33.87339279608227,56.790163403167234,6000.0,1.74728104E8
7000.0,47.6875,0.0016690364894263135,1000.0,31.43181396427485,47.95814795751451,7000.0,1.933864E8
8000.0,57.609375,0.0018758876306755054,1000.0,38.38551708053407,143.3608582038631,8000.0,8.0587288E7
9000.0,63.484375,0.0019614768569590525,1000.0,45.13600473051354,234.22659919583757,9000.0,5.631364E7
10000.0,67.90625,0.0020651709458777787,1000.0,38.2426234561624,58.11597538069673,10000.0,9.0646264E7
11000.0,73.796875,0.0022813586971541454,1000.0,34.33220208308887,50.451094785203956,11000.0,1.4186396E8
12000.0,82.421875,0.0025388138038235615,1000.0,44.18775860026361,256.983866727439,12000.0,1.15383784E8
13000.0,89.4375,0.002760612722938984,1000.0,99.50893476788518,626.2557132153565,13000.0,1.22206816E8
14000.0,96.515625,0.0030794124062392962,1000.0,60.04239394535134,353.0918807132142,14000.0,1.74101304E8
15000.0,104.59375,0.00355514167704516,1000.0,39.013513561686764,139.05777176074153,15000.0,2.27641624E8
16000.0,115.28125,0.004318666538585805,1000.0,44.42104486223295,66.22465451014203,16000.0,2.76152784E8
17000.0,126.984375,0.005305091088230256,1000.0,31.575450583895442,85.06319798198027,17000.0,3.25809992E8
18000.0,140.390625,0.006521518530498724,1000.0,43.37306059302961,118.91215855975385,18000.0,3.50736744E8
19000.0,153.8125,0.007951041137728477,1000.0,28.961792904063106,45.4388559615803,19000.0,4.11699376E8
20000.0,173.890625,0.009887689132657316,1000.0,45.89255348842216,565.6834912464969,20000.0,3.7284636E8
21000.0,191.4375,0.011586431927312837,1000.0,33.135255796864435,67.49702114438139,21000.0,3.74222776E8
22000.0,209.0625,0.013462448822910016,1000.0,30.085090481738106,46.63936953755875,22000.0,4.11443296E8
23000.0,227.5625,0.015533038421385247,1000.0,30.822690059482152,53.57248489905694,23000.0,4.32638008E8
24000.0,252.671875,0.015982931692819367,1000.0,53.38220216639163,122.34720478491057,24000.0,6.925896E7
25000.0,257.234375,0.01611529938653499,1000.0,49.800291894979445,100.11062883531812,25000.0,1.12145408E8
26000.0,263.671875,0.016386686521808663,1000.0,42.249566830903554,87.31483559845519,26000.0,1.62957512E8
27000.0,270.9375,0.016772496669469138,1000.0,37.957678267868545,67.15348889031827,27000.0,2.05259392E8
28000.0,280.359375,0.017390139176018737,1000.0,36.29900594729742,60.49488472851207,28000.0,2.53397432E8
29000.0,290.75,0.01820042784687959,1000.0,32.84621734807661,60.3035291344926,29000.0,3.01439712E8
30000.0,302.53125,0.01926850838418532,1000.0,30.850936057019545,46.578155135874454,30000.0,3.50441072E8
31000.0,315.34375,0.020607782866055552,1000.0,28.218727367425224,39.95006545848033,31000.0,4.04052768E8
32000.0,333.125,0.022680645446590555,1000.0,31.261535474601104,63.82600418892287,32000.0,4.50620136E8
