learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.328125,6.706761066905326E-7,1000.0,85.3,70.59694208197652,71.34502923976608,69.18238993710692,1000.0,1973296.0
2000.0,2.09375,1.0618551297941143E-6,2000.0,91.5,82.96688762955185,83.23471400394477,82.36514522821578,2000.0,1974976.0
3000.0,2.84375,1.4452790815590157E-6,3000.0,89.7,79.38845753622029,80.15414258188825,79.0224032586558,3000.0,1976152.0
4000.0,3.71875,1.9033185283963878E-6,4000.0,85.8,71.54160337011548,72.7447216890595,70.60041407867494,4000.0,2023472.0
5000.0,4.5625,2.3458026892816024E-6,5000.0,88.9,77.79111644657863,77.97619047619048,78.69481765834934,5000.0,2027152.0
6000.0,5.265625,2.718018852950384E-6,6000.0,89.8,79.49171626186265,78.83817427385893,79.09836065573771,6000.0,2046280.0
7000.0,6.03125,3.1286877411831583E-6,7000.0,89.60000000000001,79.20374332620129,78.37837837837837,78.6008230452675,7000.0,2073376.0
8000.0,6.78125,3.538898082398292E-6,8000.0,87.9,75.76704317872306,75.9920634920635,75.50607287449392,8000.0,2114208.0
9000.0,7.515625,3.937665508904805E-6,9000.0,89.8,79.60416075120675,78.79417879417879,79.14110429447852,9000.0,2098960.0
10000.0,8.265625,4.34849828404064E-6,10000.0,90.10000000000001,80.204592534532,80.2,79.58762886597938,10000.0,2117416.0
11000.0,9.03125,4.77319036791515E-6,11000.0,89.0,78.02109974424553,77.82258064516128,76.93920335429769,11000.0,2144176.0
12000.0,9.84375,5.2311836366748645E-6,12000.0,87.4,74.8005039899202,76.18147448015124,72.96137339055794,12000.0,2178904.0
13000.0,10.578125,5.648581589209951E-6,13000.0,90.10000000000001,80.18573372828438,80.51181102362204,79.41787941787942,13000.0,2197024.0
14000.0,11.359375,6.092757782122742E-6,14000.0,91.7,83.40995402758345,83.33333333333334,83.53174603174604,14000.0,2197696.0
15000.0,12.09375,6.513662067138487E-6,15000.0,91.10000000000001,82.17176006794763,82.75193798449612,82.12851405622492,15000.0,2215480.0
16000.0,12.84375,6.95190987446242E-6,16000.0,90.7,81.3672062830582,81.80039138943249,80.9034907597536,16000.0,2258712.0
17000.0,13.640625,7.419461261532788E-6,17000.0,88.4,76.72701592193117,76.65995975855131,76.42276422764228,17000.0,2267992.0
18000.0,14.375,7.860339634741347E-6,18000.0,89.4,78.7849797656741,78.62903225806453,78.36734693877551,18000.0,2320616.0
19000.0,15.0,8.238657093089489E-6,19000.0,88.3,76.51715251406964,76.36363636363637,75.67567567567568,19000.0,2339800.0
20000.0,15.703125,8.673672046926287E-6,20000.0,90.0,79.91685578294138,80.58252427184468,79.03563941299791,20000.0,2391520.0
21000.0,16.4375,9.139609982311313E-6,21000.0,85.8,71.61090141385708,71.37096774193547,71.19675456389452,21000.0,2452520.0
22000.0,17.09375,9.559330679217562E-6,22000.0,88.9,77.77332799359232,76.82672233820459,78.01980198019803,22000.0,2472256.0
23000.0,17.75,9.986528150168145E-6,23000.0,87.1,74.19504544872616,74.70588235294117,74.14829659318637,23000.0,2516296.0
24000.0,18.46875,1.045749920497959E-5,24000.0,87.5,75.0001999984,75.0499001996008,75.49019607843137,24000.0,2532904.0
25000.0,19.15625,1.091440890579381E-5,25000.0,87.3,74.56296367511096,74.8015873015873,73.92197125256673,25000.0,2568976.0
26000.0,19.84375,1.1376078053015388E-5,26000.0,86.3,72.49879556768909,72.09775967413442,71.27882599580713,26000.0,2595736.0
27000.0,20.484375,1.179739988098542E-5,27000.0,87.8,75.59072447530062,75.10204081632654,74.94866529774127,27000.0,2542216.0
28000.0,21.171875,1.2250985795011124E-5,28000.0,88.8,77.59650505478855,77.37373737373737,78.125,28000.0,2550288.0
29000.0,21.84375,1.2697516746508578E-5,29000.0,88.2,76.38384655104092,77.39463601532567,76.30522088353415,29000.0,2569008.0
30000.0,22.609375,1.3218582252092245E-5,30000.0,89.5,78.99781577284037,79.20792079207921,78.07933194154488,30000.0,2630744.0
31000.0,23.25,1.3659075743311809E-5,31000.0,87.7,75.39350388502565,76.79245283018868,75.54671968190854,31000.0,2657896.0
32000.0,23.9375,1.4137581521127786E-5,32000.0,90.3,80.60279319777952,81.9366852886406,80.28455284552845,32000.0,2690400.0
33000.0,24.65625,1.4649554828388822E-5,33000.0,89.2,78.41036302574764,79.11025145067698,78.04878048780488,33000.0,2753416.0
34000.0,25.3125,1.5120288719319634E-5,34000.0,89.0,78.00316754387369,77.13097713097713,77.91164658634538,34000.0,2772736.0
35000.0,25.96875,1.5599748908749056E-5,35000.0,89.4,78.76738670598039,78.8,78.05383022774328,35000.0,2824136.0
36000.0,26.640625,1.6095224645040513E-5,36000.0,87.2,74.40460717070927,73.66255144032921,74.4,36000.0,2850600.0
37000.0,27.28125,1.6572267599662556E-5,37000.0,87.4,74.75304065561946,75.43859649122807,74.9003984063745,37000.0,2878432.0
38000.0,27.9375,1.706394324881128E-5,38000.0,87.9,75.78081840817929,76.18110236220473,74.89626556016597,38000.0,2896088.0
39000.0,28.59375,1.7561593526301695E-5,39000.0,88.3,76.59681716713473,77.05882352941177,76.50602409638554,39000.0,2931280.0
40000.0,29.28125,1.8089207684776433E-5,40000.0,87.6,75.19364957429102,74.43298969072166,74.84787018255578,40000.0,2966512.0
41000.0,29.984375,1.8638260177491852E-5,41000.0,88.3,76.61683587816772,75.36842105263159,75.97535934291582,41000.0,3018448.0
42000.0,30.671875,1.918786596636184E-5,42000.0,87.9,75.79883834424052,77.29831144465291,75.35641547861506,42000.0,3090160.0
43000.0,31.3125,1.9708558263826285E-5,43000.0,87.1,74.16838209969002,75.56818181818183,73.06889352818371,43000.0,3141808.0
44000.0,32.03125,2.0291204079209514E-5,44000.0,87.9,75.79128486255053,75.25562372188139,75.05154639175258,44000.0,3133496.0
45000.0,32.65625,2.079768575236408E-5,45000.0,87.6,75.16791694869771,75.1004016064257,73.94957983193278,45000.0,3132464.0
46000.0,33.3125,2.1317607445073208E-5,46000.0,88.6,77.18110595573134,77.94970986460349,76.78207739307535,46000.0,3062464.0
47000.0,33.96875,2.1849095388056913E-5,47000.0,88.5,76.96517133906467,77.71317829457365,76.14107883817427,47000.0,3130592.0
48000.0,34.640625,2.239659590284443E-5,48000.0,87.3,74.57253834140872,75.80952380952381,73.48643006263048,48000.0,3149912.0
49000.0,35.28125,2.2921727116530136E-5,49000.0,86.8,73.59904956578437,74.01574803149606,72.55717255717255,49000.0,3168592.0
50000.0,35.96875,2.3485114668599428E-5,50000.0,87.7,75.38818632943813,76.34615384615385,74.375,50000.0,3167648.0
