learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,2.578125,2.478769844553123E-6,1000.0,38.9,31.97135002911537,32.111111111111114,29.931192660550458,1000.0,3737816.0
2000.0,3.921875,3.7786467712269062E-6,2000.0,66.9,63.11722926820572,63.34440753045405,62.34357224118317,2000.0,3739264.0
3000.0,4.96875,4.790910429114269E-6,3000.0,63.9,59.79149495444521,60.19845644983462,58.88382687927107,3000.0,3737672.0
4000.0,6.359375,6.11677416600287E-6,4000.0,60.199999999999996,55.704838411695704,55.62987736900781,54.87528344671202,4000.0,3685456.0
5000.0,7.40625,7.129315151056896E-6,5000.0,58.4,53.72378886478669,54.23542354235423,52.83446712018141,5000.0,3738696.0
6000.0,8.546875,8.231792566625195E-6,6000.0,63.2,59.033775983773815,59.15649278579357,58.22928490351873,6000.0,3736192.0
7000.0,9.625,9.27515887370747E-6,7000.0,67.2,63.519318078179886,64.42516268980478,62.81179138321996,7000.0,3740848.0
8000.0,10.96875,1.0575138698590713E-5,8000.0,63.1,58.969226920190145,59.62800875273523,58.30508474576271,8000.0,3739560.0
9000.0,12.078125,1.1644137201882485E-5,9000.0,65.5,61.64859889547966,61.75166297117517,61.53846153846154,9000.0,3724784.0
10000.0,13.15625,1.2687039399881744E-5,10000.0,66.9,63.1177635324937,62.975391498881436,62.767154105736786,10000.0,3739184.0
11000.0,14.25,1.3745388876284577E-5,11000.0,68.60000000000001,65.06822265114391,65.26548672566372,64.67941507311586,11000.0,3740360.0
12000.0,15.203125,1.4653006510343404E-5,12000.0,67.5,63.83838316404133,64.24642464246425,63.235294117647065,12000.0,3680912.0
13000.0,16.328125,1.5734716726001352E-5,13000.0,62.1,57.887672310533425,57.70089285714286,57.36782902137233,13000.0,3716728.0
14000.0,17.296875,1.6669092551132457E-5,14000.0,63.6,59.53703250821486,59.51056729699666,58.683314415437,14000.0,3728312.0
15000.0,18.25,1.7591299482672993E-5,15000.0,68.4,64.83939056427216,64.77146042363434,64.33408577878104,15000.0,3740080.0
16000.0,19.15625,1.846877654315904E-5,16000.0,70.39999999999999,67.08854848268201,67.18403547671839,66.17142857142856,16000.0,3742744.0
17000.0,20.1875,1.946510582153375E-5,17000.0,69.39999999999999,65.99028833789204,66.55737704918032,65.38461538461537,17000.0,3734576.0
18000.0,21.0625,2.031211136555713E-5,18000.0,66.3,62.55767728717595,62.47216035634744,61.92090395480226,18000.0,3741800.0
19000.0,21.96875,2.1186437451332394E-5,19000.0,70.5,67.17396795511625,67.11259754738015,66.81664791901012,19000.0,3729304.0
20000.0,22.96875,2.2154516223559364E-5,20000.0,69.89999999999999,66.56840814531301,66.25560538116592,66.55555555555556,20000.0,3742080.0
21000.0,23.875,2.3031391222806026E-5,21000.0,67.80000000000001,64.19509005713218,64.8471615720524,63.11569301260024,21000.0,3740176.0
22000.0,24.84375,2.396628632494766E-5,22000.0,66.8,63.12975107029225,63.39581036383684,62.40090600226501,22000.0,3730384.0
23000.0,25.796875,2.4886633101333347E-5,23000.0,65.3,61.36537223962822,61.826182618261825,61.098654708520186,23000.0,3732536.0
24000.0,26.625,2.567565767094493E-5,24000.0,65.8,61.90336152707368,61.74496644295302,61.18047673098752,24000.0,3682960.0
25000.0,27.515625,2.653502713656053E-5,25000.0,60.6,56.108152186627244,56.17352614015573,55.379388448471126,25000.0,3729816.0
26000.0,28.4375,2.7426892839786077E-5,26000.0,66.5,62.78869309447007,62.35955056179776,62.10407239819005,26000.0,3739640.0
27000.0,29.296875,2.825852428537069E-5,27000.0,70.6,67.28986519864173,67.65676567656766,66.05080831408775,27000.0,3739160.0
28000.0,30.203125,2.9121578134234165E-5,28000.0,65.7,61.76794816491724,61.63310961968681,61.417322834645674,28000.0,3681224.0
29000.0,31.046875,2.9934142528670942E-5,29000.0,64.3,60.351263373119046,60.333333333333336,59.43181818181819,29000.0,3722600.0
30000.0,31.90625,3.0765510746277866E-5,30000.0,67.2,63.46979074204215,63.75690607734808,63.06306306306306,30000.0,3739496.0
31000.0,32.71875,3.155185614660796E-5,31000.0,70.7,67.40725249812841,67.48057713651498,66.66666666666666,31000.0,3741040.0
32000.0,33.625,3.24269718516411E-5,32000.0,65.4,61.510608499481066,61.34078212290503,60.90395480225988,32000.0,3732672.0
33000.0,34.453125,3.322813591997449E-5,33000.0,66.9,63.18270499224724,62.975391498881436,62.47165532879819,33000.0,3739624.0
34000.0,35.34375,3.408978179019565E-5,34000.0,71.5,68.32604832444795,68.01346801346801,67.50285062713797,34000.0,3739696.0
35000.0,36.234375,3.495155300091331E-5,35000.0,69.1,65.62836138496567,65.12415349887132,65.08474576271186,35000.0,3740240.0
36000.0,37.09375,3.578321290357659E-5,36000.0,69.19999999999999,65.73227785782233,65.15837104072398,65.70155902004454,36000.0,3740808.0
37000.0,37.984375,3.664538962766528E-5,37000.0,65.2,61.22536752334835,60.58890147225369,59.9078341013825,37000.0,3742000.0
38000.0,38.84375,3.747348883836013E-5,38000.0,67.10000000000001,63.44099164921132,63.92543859649123,62.44292237442923,38000.0,3724792.0
39000.0,39.671875,3.827447466190077E-5,39000.0,69.19999999999999,65.74744523761598,65.27621195039458,65.07936507936508,39000.0,3738792.0
40000.0,40.5,3.907514684316185E-5,40000.0,68.5,64.96063911794249,65.2317880794702,64.56692913385828,40000.0,3737328.0
41000.0,41.390625,3.9930439056156E-5,41000.0,69.8,66.36495361816202,65.91422121896161,65.99099099099098,41000.0,3712120.0
42000.0,42.234375,4.074683817129376E-5,42000.0,74.2,71.31829137058546,71.64835164835165,71.0762331838565,42000.0,3740168.0
43000.0,43.0625,4.1547616613873595E-5,43000.0,72.89999999999999,69.81547341255565,70.08830022075055,69.61883408071749,43000.0,3737824.0
44000.0,43.765625,4.221791857465481E-5,44000.0,70.8,67.54167060353595,67.41071428571428,67.22783389450055,44000.0,3685024.0
45000.0,44.53125,4.295837182629233E-5,45000.0,72.1,69.00285862526012,68.93095768374164,68.43891402714932,45000.0,3738384.0
46000.0,45.25,4.3652481173113406E-5,46000.0,71.39999999999999,68.20317945969863,67.9372197309417,67.46302616609783,46000.0,3732952.0
47000.0,46.0625,4.443770665804752E-5,47000.0,72.5,69.40548743177423,69.7136563876652,69.10112359550563,47000.0,3735712.0
48000.0,46.84375,4.519402951700613E-5,48000.0,72.89999999999999,69.8792167707186,69.75446428571428,68.59791425260718,48000.0,3742136.0
49000.0,47.734375,4.6052447869442405E-5,49000.0,70.3,67.00260312797546,67.25468577728776,66.77852348993288,49000.0,3725688.0
50000.0,48.59375,4.6881139343087044E-5,50000.0,69.8,66.37738600876192,66.33221850613154,65.56442417331813,50000.0,3727456.0
