learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.875,1.6536291999121506E-6,1000.0,59.099999999999994,54.561260641719436,54.55555555555556,53.096330275229356,1000.0,3430408.0
2000.0,2.953125,2.6108809591581422E-6,2000.0,69.5,66.04346214180026,66.22369878183831,65.30147895335608,2000.0,3432096.0
3000.0,3.796875,3.360364547309776E-6,3000.0,72.3,69.16843827565864,69.45975744211687,68.4510250569476,3000.0,3433608.0
4000.0,4.875,4.318084878226121E-6,4000.0,72.89999999999999,69.85492543821593,69.78818283166109,69.27437641723357,4000.0,3433776.0
5000.0,5.71875,5.067605137204131E-6,5000.0,73.0,69.99329850333241,70.29702970297029,69.38775510204081,5000.0,3433776.0
6000.0,6.59375,5.845533709766137E-6,6000.0,72.3,69.18582726041981,69.25638179800222,68.55845629965948,6000.0,3436640.0
7000.0,7.484375,6.63704235598238E-6,7000.0,73.7,70.72925338449963,71.47505422993493,70.18140589569161,7000.0,3435288.0
8000.0,8.453125,7.498023688741442E-6,8000.0,73.6,70.65988584028308,71.11597374179432,70.16949152542374,8000.0,3435456.0
9000.0,9.3125,8.261797451672868E-6,9000.0,74.5,71.62523951636055,71.72949002217295,71.57190635451505,9000.0,3435456.0
10000.0,10.171875,9.025571214604294E-6,10000.0,74.3,71.43050888155443,71.25279642058166,71.09111361079866,10000.0,3435456.0
11000.0,11.0,9.76167936136739E-6,11000.0,75.6,72.8903648579133,73.00884955752213,72.55343082114736,11000.0,3435960.0
12000.0,11.8125,1.0484004613115555E-5,12000.0,74.2,71.30310593825496,71.61716171617162,70.81447963800905,12000.0,3436464.0
13000.0,12.6875,1.1261969403777686E-5,13000.0,73.3,70.34812632364519,70.20089285714286,69.96625421822273,13000.0,3436800.0
14000.0,13.53125,1.201218640845683E-5,14000.0,70.6,67.32443831932025,67.29699666295885,66.62883087400681,14000.0,3436968.0
15000.0,14.328125,1.2720759324212042E-5,15000.0,72.5,69.43649793390726,69.3422519509476,68.96162528216703,15000.0,3437136.0
16000.0,15.109375,1.3415438653383818E-5,16000.0,75.3,72.52218527611866,72.61640798226165,71.77142857142857,16000.0,3437136.0
17000.0,15.921875,1.4137905155722467E-5,17000.0,74.1,71.1977082717068,71.69398907103826,70.70135746606336,17000.0,3437136.0
18000.0,16.640625,1.47770101385605E-5,18000.0,73.3,70.28744394119806,70.26726057906458,69.83050847457626,18000.0,3437136.0
19000.0,17.390625,1.5443902294565406E-5,19000.0,76.7,74.10578841206248,74.02452619843925,73.79077615298087,19000.0,3437136.0
20000.0,18.21875,1.618026238348749E-5,20000.0,73.2,70.2301939147406,69.95515695067265,70.22222222222221,20000.0,3437136.0
21000.0,19.0,1.6874941712659267E-5,21000.0,75.1,72.32530767255837,72.81659388646288,71.47766323024055,21000.0,3437136.0
22000.0,19.78125,1.756958708736218E-5,22000.0,75.1,72.32552298093017,72.54685777287762,71.80067950169875,22000.0,3436968.0
23000.0,20.53125,1.8236544435947307E-5,23000.0,75.3,72.52505837034666,72.82728272827282,72.30941704035875,23000.0,3437472.0
24000.0,21.21875,1.8847951885416278E-5,24000.0,71.6,68.42269118726233,68.23266219239373,67.7639046538025,24000.0,3437640.0
25000.0,21.96875,1.951497442658163E-5,25000.0,70.6,67.30136133107928,67.29699666295885,66.7044167610419,25000.0,3437808.0
26000.0,22.71875,2.0182029564037092E-5,26000.0,73.2,70.22079943819539,69.88764044943821,69.68325791855203,26000.0,3437976.0
27000.0,23.4375,2.0821353213654623E-5,27000.0,73.4,70.40939601795014,70.73707370737074,69.28406466512702,27000.0,3438312.0
28000.0,24.1875,2.148847354369031E-5,28000.0,75.8,73.05341547958797,72.93064876957494,72.77840269966255,28000.0,3438312.0
29000.0,24.90625,2.212779719330784E-5,29000.0,74.9,72.10875585049405,72.11111111111111,71.47727272727272,29000.0,3438312.0
30000.0,25.625,2.2767183319148087E-5,30000.0,74.3,71.44920291062601,71.60220994475138,71.05855855855856,30000.0,3438648.0
31000.0,26.328125,2.3392669746600504E-5,31000.0,74.2,71.28573145703766,71.36514983351832,70.64846416382252,31000.0,3438648.0
32000.0,27.03125,2.401815617405292E-5,32000.0,72.1,68.921648021512,68.8268156424581,68.47457627118644,32000.0,3438648.0
33000.0,27.765625,2.4671473915481733E-5,33000.0,73.3,70.31377340847914,70.13422818791946,69.72789115646259,33000.0,3438816.0
34000.0,28.5,2.5324791656910545E-5,34000.0,74.2,71.3303070879704,71.04377104377105,70.58152793614595,34000.0,3438816.0
35000.0,29.296875,2.6033710908248193E-5,35000.0,73.1,70.08292257593823,69.63882618510158,69.6045197740113,35000.0,3438816.0
36000.0,30.046875,2.6714310580347148E-5,36000.0,68.7,65.198982876343,64.59276018099548,65.14476614699333,36000.0,3507784.0
37000.0,30.796875,2.7421248054856228E-5,37000.0,70.19999999999999,66.84884966620797,66.25141562853906,65.66820276497695,37000.0,3643528.0
38000.0,31.53125,2.811628917697817E-5,38000.0,71.89999999999999,68.75236303304466,69.18859649122807,67.92237442922374,38000.0,3658432.0
39000.0,32.25,2.878719306964841E-5,39000.0,73.9,70.9926837102247,70.5749718151071,70.40816326530613,39000.0,3608152.0
40000.0,32.984375,2.9460805591144082E-5,40000.0,73.3,70.32113202094196,70.52980132450331,69.96625421822273,40000.0,3545640.0
41000.0,33.734375,3.0149012616473352E-5,41000.0,75.7,72.99807986345695,72.57336343115124,72.63513513513513,41000.0,3546992.0
42000.0,34.484375,3.0837300356425756E-5,42000.0,76.2,73.53579561628239,73.84615384615385,73.31838565022422,42000.0,3547408.0
43000.0,35.234375,3.152563466250689E-5,43000.0,77.4,74.86241062808381,75.0551876379691,74.66367713004485,43000.0,3547648.0
44000.0,35.875,3.2113657151866285E-5,44000.0,75.5,72.77012315684298,72.65625,72.50280583613917,44000.0,3548072.0
45000.0,36.578125,3.275914518680009E-5,45000.0,74.1,71.21835268963939,71.15812917594656,70.70135746606336,45000.0,3548608.0
46000.0,37.3125,3.343547826969168E-5,46000.0,75.3,72.52826696740985,72.30941704035875,71.89988623435723,46000.0,3559960.0
47000.0,38.03125,3.409772771798695E-5,47000.0,75.0,72.1920351314705,72.4669603524229,71.91011235955057,47000.0,3561608.0
48000.0,38.71875,3.473165894522228E-5,48000.0,73.5,70.54845446068663,70.42410714285714,69.29316338354576,48000.0,3564280.0
49000.0,39.421875,3.5380119936437236E-5,49000.0,74.1,71.20945841545307,71.44432194046306,71.02908277404921,49000.0,3564952.0
50000.0,40.171875,3.60722369643756E-5,50000.0,72.7,69.62927693204523,69.56521739130434,68.87115165336374,50000.0,3567144.0
