learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.46875,3.545816677312056E-8,1000.0,63.3,26.624067305923667,24.485596707818928,23.382045929018787,1000.0,313712.0
2000.0,0.703125,5.4581323638558384E-8,2000.0,70.8,41.51297130129631,40.65040650406503,40.7707910750507,2000.0,315392.0
3000.0,0.9375,7.381361986820895E-8,3000.0,69.6,39.16690679729771,40.74074074074073,38.08553971486761,3000.0,317192.0
4000.0,1.28125,1.1356602448763118E-7,4000.0,68.10000000000001,35.853093529809215,31.545064377682408,33.40292275574114,4000.0,447016.0
5000.0,1.46875,1.3580135095657573E-7,5000.0,74.6,49.082686509718386,47.950819672131146,47.950819672131146,5000.0,458400.0
6000.0,1.71875,1.676650006427533E-7,6000.0,76.0,51.95753045692392,53.846153846153854,50.20746887966805,6000.0,492672.0
7000.0,1.953125,2.0079680123469895E-7,7000.0,75.0,49.916861990904906,50.29821073558648,49.494949494949495,7000.0,546432.0
8000.0,2.15625,2.3134518414735792E-7,8000.0,75.7,51.05858468677494,52.90697674418605,49.163179916317986,8000.0,581336.0
9000.0,2.34375,2.600171137601137E-7,9000.0,78.10000000000001,56.25948709754734,54.37500000000001,55.03080082135524,9000.0,591096.0
10000.0,2.5,2.856145793985989E-7,10000.0,78.60000000000001,57.20684690449529,56.68016194331984,57.02811244979921,10000.0,633256.0
11000.0,2.6875,3.190932976495888E-7,11000.0,77.3,54.60798899393707,53.861788617886184,53.002070393374744,11000.0,690192.0
12000.0,2.921875,3.660712455813255E-7,12000.0,82.3,64.68813840653728,63.4297520661157,63.278008298755175,12000.0,774792.0
13000.0,3.21875,4.2991195287969375E-7,13000.0,76.9,53.6204182595008,52.46913580246913,52.76073619631902,13000.0,831240.0
14000.0,3.515625,4.979288334854775E-7,14000.0,76.3,52.73159523885502,53.62035225048925,49.46695095948827,14000.0,885616.0
15000.0,3.703125,5.436490108776424E-7,15000.0,74.0,48.147882239851945,47.04684317718941,44.56289978678038,15000.0,942560.0
16000.0,3.921875,5.969987250864506E-7,16000.0,82.3,64.31250151218212,64.24242424242424,61.68831168831167,16000.0,942728.0
17000.0,4.109375,6.44239674632748E-7,17000.0,84.0,68.00268777422696,69.2898272552783,68.56581532416503,17000.0,973912.0
18000.0,4.296875,6.947227908919256E-7,18000.0,85.39999999999999,70.68838135620442,70.5050505050505,70.38539553752535,18000.0,1040752.0
19000.0,4.4375,7.337644152964155E-7,19000.0,81.69999999999999,63.412293469394264,61.87499999999999,62.268041237113394,19000.0,1073168.0
20000.0,4.59375,7.780601218756703E-7,20000.0,85.5,70.7807386629266,70.2258726899384,68.3406113537118,20000.0,1095832.0
21000.0,4.75,8.237091565711631E-7,21000.0,81.89999999999999,63.78174599998398,62.75720164609052,62.60330578512395,21000.0,1129312.0
22000.0,4.921875,8.743716494387223E-7,22000.0,82.19999999999999,64.35508741013676,64.25702811244979,61.38828633405639,22000.0,1139400.0
23000.0,5.078125,9.213400577815871E-7,23000.0,84.3,68.63763483819416,69.45525291828794,69.8076923076923,23000.0,1161952.0
24000.0,5.34375,1.0049388705131909E-6,24000.0,84.7,69.40195827467042,70.0587084148728,69.09090909090908,24000.0,1216560.0
25000.0,5.640625,1.1033336179227464E-6,25000.0,82.8,65.56018757683883,66.60194174757281,63.86554621848739,25000.0,1281152.0
26000.0,5.9375,1.2035568619871304E-6,26000.0,82.0,63.99078164009986,66.35514018691589,63.48884381338742,26000.0,1304960.0
27000.0,6.140625,1.2726868347575266E-6,27000.0,85.1,70.19523123699791,70.43650793650794,69.46721311475409,27000.0,1315544.0
28000.0,6.328125,1.3390909104297556E-6,28000.0,86.5,72.91853896520735,71.99170124481327,70.65217391304347,28000.0,1368976.0
29000.0,6.515625,1.4081779712190228E-6,29000.0,86.3,72.59802705794817,73.0844793713163,72.48995983935743,29000.0,1424288.0
30000.0,6.734375,1.491309829159743E-6,30000.0,85.2,70.37784262628446,71.15009746588694,69.85743380855396,30000.0,1469000.0
31000.0,6.9375,1.5696992826027172E-6,31000.0,85.39999999999999,70.78176782312163,70.5050505050505,70.56451612903226,31000.0,1491752.0
32000.0,7.15625,1.6601462913159692E-6,32000.0,88.2,76.40566264096617,76.953125,75.7700205338809,32000.0,1598264.0
33000.0,7.421875,1.775238553010341E-6,33000.0,85.9,71.82231672515367,72.83236994219652,71.4574898785425,33000.0,1674864.0
34000.0,7.609375,1.8580851287374064E-6,34000.0,85.9,71.83312424588684,70.625,70.06369426751591,34000.0,1707952.0
35000.0,7.8125,1.9495789375570085E-6,35000.0,87.8,75.44915963680855,75.7455268389662,75.0,35000.0,1741128.0
