learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
500.0,0.03125,1.4965836372640398E-10,500.0,63.2,59.03300069911075,58.651685393258425,57.20930232558139,500.0,18512.0
1000.0,0.046875,2.2448754558960596E-10,1000.0,69.5,66.06397774687066,66.11111111111111,65.0229357798165,1000.0,18512.0
1500.0,0.0625,2.9931672745280796E-10,1500.0,75.4,72.6313002246236,72.5752508361204,71.88571428571429,1500.0,18512.0
2000.0,0.0625,2.9931672745280796E-10,2000.0,74.5,71.63590738400755,71.76079734219269,70.98976109215018,2000.0,18512.0
2500.0,0.078125,3.7414590931600996E-10,2500.0,73.7,70.76517431959556,71.06710671067107,70.38288288288288,2500.0,18512.0
3000.0,0.078125,3.7414590931600996E-10,3000.0,72.89999999999999,69.84211065163296,70.1212789415656,69.13439635535308,3000.0,18512.0
3500.0,0.078125,3.7414590931600996E-10,3500.0,71.5,68.30413792259759,68.64686468646865,67.72366930917327,3500.0,18512.0
4000.0,0.09375,4.4897509117921196E-10,4000.0,71.8,68.65691548481749,68.56187290969899,68.02721088435374,4000.0,18512.0
4500.0,0.09375,4.4897509117921196E-10,4500.0,73.6,70.65871191745318,70.4367301231803,70.13574660633483,4500.0,18512.0
5000.0,0.09375,4.4897509117921196E-10,5000.0,72.8,69.7555312907939,70.07700770077008,69.1609977324263,5000.0,18512.0
5500.0,0.09375,4.4897509117921196E-10,5500.0,73.5,70.53335735142696,70.81497797356829,69.78335233751424,5500.0,18512.0
6000.0,0.109375,5.238042730424139E-10,6000.0,72.5,69.41555913918701,69.47835738068812,68.78547105561861,6000.0,18512.0
6500.0,0.109375,5.238042730424139E-10,6500.0,70.39999999999999,67.04028434435776,67.54385964912281,66.43990929705214,6500.0,18512.0
7000.0,0.109375,5.238042730424139E-10,7000.0,74.5,71.61677526496575,72.34273318872017,71.08843537414967,7000.0,18512.0
7500.0,0.109375,5.238042730424139E-10,7500.0,76.6,73.97828632558947,74.5928338762215,73.61894024802706,7500.0,18512.0
8000.0,0.109375,5.238042730424139E-10,8000.0,73.7,70.77186719981151,71.2253829321663,70.28248587570621,8000.0,18512.0
8500.0,0.109375,5.238042730424139E-10,8500.0,72.1,68.99590056907525,69.6078431372549,68.43891402714932,8500.0,18512.0
9000.0,0.109375,5.238042730424139E-10,9000.0,73.4,70.42298467665984,70.50997782705099,70.34559643255295,9000.0,18512.0
9500.0,0.109375,5.238042730424139E-10,9500.0,75.1,72.31444563290957,72.24080267558529,72.14765100671141,9500.0,18512.0
10000.0,0.125,5.986334549056159E-10,10000.0,75.1,72.29725820735446,72.14765100671141,71.9910011248594,10000.0,18512.0
