learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
500.0,0.015625,1.852943872412046E-11,500.0,67.2,34.43671543935397,31.66666666666667,27.111111111111114,500.0,4584.0
1000.0,0.046875,5.558831617236138E-11,1000.0,69.3,38.605402724560236,36.8312757201646,35.908141962421695,1000.0,4584.0
1500.0,0.0625,7.411775489648184E-11,1500.0,69.69999999999999,39.302884615384606,38.53955375253549,38.28920570264765,1500.0,4584.0
2000.0,0.0625,7.411775489648184E-11,2000.0,69.8,39.576797490236245,38.617886178861774,38.74239350912778,2000.0,4584.0
2500.0,0.078125,9.26471936206023E-11,2500.0,70.7,41.4098431463514,39.95901639344262,41.046277665995966,2500.0,4584.0
3000.0,0.078125,9.26471936206023E-11,3000.0,69.6,39.20680883741019,40.74074074074073,38.08553971486761,3000.0,4584.0
3500.0,0.078125,9.26471936206023E-11,3500.0,69.89999999999999,39.79999999999999,40.748031496062985,39.06882591093117,3500.0,4584.0
4000.0,0.078125,9.26471936206023E-11,4000.0,71.1,42.18196077176078,37.98283261802574,39.66597077244258,4000.0,4584.0
4500.0,0.09375,1.1117663234472276E-10,4500.0,71.39999999999999,42.6384699313266,40.66390041493775,38.88888888888888,4500.0,4584.0
5000.0,0.09375,1.1117663234472276E-10,5000.0,72.8,45.47437295528898,44.26229508196721,44.26229508196721,5000.0,4584.0
5500.0,0.09375,1.1117663234472276E-10,5500.0,73.4,46.72392176027367,44.927536231884055,46.0446247464503,5500.0,4584.0
6000.0,0.09375,1.1117663234472276E-10,6000.0,72.6,45.15722263365425,47.30769230769231,43.153526970954346,6000.0,4584.0
6500.0,0.109375,1.2970607106884322E-10,6500.0,69.6,39.15887139706441,41.425818882466274,36.929460580912846,6500.0,4584.0
7000.0,0.109375,1.2970607106884322E-10,7000.0,69.6,39.17932096912949,39.56262425447315,38.585858585858574,7000.0,4584.0
7500.0,0.109375,1.2970607106884322E-10,7500.0,73.1,46.18277848911651,48.368522072936656,44.989775051124745,7500.0,4584.0
8000.0,0.109375,1.2970607106884322E-10,8000.0,70.8,41.502660426950435,43.410852713178286,38.91213389121338,8000.0,4584.0
8500.0,0.109375,1.2970607106884322E-10,8500.0,70.6,41.11520589649093,40.12219959266802,39.754098360655725,8500.0,4584.0
9000.0,0.109375,1.2970607106884322E-10,9000.0,74.0,47.911449464088946,45.83333333333333,46.61190965092402,9000.0,4584.0
9500.0,0.109375,1.2970607106884322E-10,9500.0,74.5,48.993879265511865,47.42268041237113,49.101796407185624,9500.0,4584.0
10000.0,0.109375,1.2970607106884322E-10,10000.0,73.4,46.79148663786206,46.15384615384615,46.5863453815261,10000.0,4584.0
