learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
500.0,0.03125,1.2352959149413639E-11,500.0,49.0,-2.9155366137156173,2.2988505747126458,-7.1428571428571495,500.0,1528.0
1000.0,0.046875,1.852943872412046E-11,1000.0,50.2,-1.6347272393314067,2.9239766081871372,-4.402515723270444,1000.0,1528.0
1500.0,0.046875,1.852943872412046E-11,1500.0,52.900000000000006,-0.3733633387888655,4.268292682926833,-0.856531049250536,1500.0,1528.0
2000.0,0.046875,1.852943872412046E-11,2000.0,51.800000000000004,0.0,4.930966469428013,0.0,2000.0,1528.0
2500.0,0.046875,1.852943872412046E-11,2500.0,51.6,0.0,7.101727447216896,0.0,2500.0,1528.0
3000.0,0.046875,1.852943872412046E-11,3000.0,50.5,0.0,4.624277456647403,-0.8146639511201638,3000.0,1528.0
3500.0,0.046875,1.852943872412046E-11,3500.0,49.9,0.0,3.4682080924855523,-0.6024096385542175,3500.0,1528.0
4000.0,0.046875,1.852943872412046E-11,4000.0,51.9,0.0,7.677543186180428,0.4140786749482405,4000.0,1528.0
4500.0,0.046875,1.852943872412046E-11,4500.0,48.5,0.0,0.19379844961240328,-2.5896414342629503,4500.0,1528.0
5000.0,0.046875,1.852943872412046E-11,5000.0,49.5,0.0,-0.19841269841269857,3.0710172744721715,5000.0,1528.0
5500.0,0.046875,1.852943872412046E-11,5500.0,52.800000000000004,0.0,3.8696537678207776,5.976095617529886,5500.0,1528.0
6000.0,0.046875,1.852943872412046E-11,6000.0,47.8,0.0,-8.298755186722,-6.967213114754105,6000.0,1528.0
6500.0,0.046875,1.852943872412046E-11,6500.0,47.599999999999994,0.0,-6.9387755102040884,-2.343750000000002,6500.0,1528.0
7000.0,0.046875,1.852943872412046E-11,7000.0,51.5,0.0,-0.8316008316008323,0.20576131687242818,7000.0,1528.0
7500.0,0.046875,1.852943872412046E-11,7500.0,48.1,0.0,-7.45341614906833,-11.373390557939924,7500.0,1528.0
8000.0,0.046875,1.852943872412046E-11,8000.0,48.0,0.0,-3.174603174603177,-5.263157894736847,8000.0,1528.0
8500.0,0.046875,1.852943872412046E-11,8500.0,50.6,0.0,0.4032258064516132,0.20202020202020218,8500.0,1528.0
9000.0,0.046875,1.852943872412046E-11,9000.0,49.9,0.0,-4.158004158004162,-2.453987730061352,9000.0,1528.0
9500.0,0.046875,1.852943872412046E-11,9500.0,50.2,0.0,3.1128404669260727,-2.2587268993839853,9500.0,1528.0
10000.0,0.046875,1.852943872412046E-11,10000.0,49.8,0.0,-0.40000000000000036,-3.5051546391752613,10000.0,1528.0
