learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
500.0,0.015625,5.982454038328594E-12,500.0,52.0,3.9615846338535494,0.0,-6.666666666666673,500.0,1480.0
1000.0,0.015625,5.982454038328594E-12,1000.0,51.4,2.7996111984448064,0.0,-1.4613778705636757,1000.0,1480.0
1500.0,0.015625,5.982454038328594E-12,1500.0,50.7,1.3052530429211986,0.0,-0.4073319755600819,1500.0,1480.0
2000.0,0.015625,5.982454038328594E-12,2000.0,50.8,1.585828359283746,0.0,0.20283975659229225,2000.0,1480.0
2500.0,0.015625,5.982454038328594E-12,2500.0,51.2,2.385943575874936,0.0,1.8108651911468827,2500.0,1480.0
3000.0,0.015625,5.982454038328594E-12,3000.0,48.699999999999996,-2.6008208065664555,0.0,-4.4806517311609,3000.0,1480.0
3500.0,0.015625,5.982454038328594E-12,3500.0,49.2,-1.6000000000000014,0.0,-2.8340080971659942,3500.0,1480.0
4000.0,0.015625,5.982454038328594E-12,4000.0,53.400000000000006,6.736954181026389,0.0,2.7139874739039693,4000.0,1480.0
4500.0,0.015625,5.982454038328594E-12,4500.0,51.800000000000004,3.2035216245742495,0.0,-2.991452991452994,4500.0,1480.0
5000.0,0.015625,5.982454038328594E-12,5000.0,51.2,2.343750000000011,0.0,0.0,5000.0,1480.0
5500.0,0.015625,5.982454038328594E-12,5500.0,51.7,3.378356751912431,0.0,2.0283975659229228,5500.0,1480.0
6000.0,0.03125,1.1964908076657189E-11,6000.0,48.0,-4.070351557652967,0.0,-7.883817427385899,6000.0,1480.0
6500.0,0.03125,1.1964908076657189E-11,6500.0,48.1,-3.8648116424648973,0.0,-7.67634854771785,6500.0,1480.0
7000.0,0.03125,1.1964908076657189E-11,7000.0,49.7,-0.612073448813848,0.0,-1.6161616161616175,7000.0,1480.0
7500.0,0.03125,1.1964908076657189E-11,7500.0,47.9,-4.212505500660072,0.0,-6.5439672801636055,7500.0,1480.0
8000.0,0.03125,1.1964908076657189E-11,8000.0,48.4,-3.305785123966936,0.0,-7.949790794979086,8000.0,1480.0
8500.0,0.03125,1.1964908076657189E-11,8500.0,50.9,1.7481230089487183,0.0,-0.6147540983606563,8500.0,1480.0
9000.0,0.03125,1.1964908076657189E-11,9000.0,52.0,3.8888955632711513,0.0,1.4373716632443545,9000.0,1480.0
9500.0,0.046875,1.7947362114985785E-11,9500.0,51.5,2.9837012618119925,0.0,3.1936127744511005,9500.0,1480.0
10000.0,0.046875,1.7947362114985785E-11,10000.0,50.6,1.1984191747067947,0.0,0.8032128514056233,10000.0,1480.0
