learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
500.0,0.0625,3.2372274694757328E-6,500.0,71.8,43.618042226487525,45.97701149425287,40.7563025210084,500.0,2.0021452E8
1000.0,0.140625,7.285561069794414E-6,1000.0,75.4,50.89447902236098,52.046783625730995,48.42767295597484,1000.0,2.00303544E8
1500.0,0.203125,1.0524736943706457E-5,1500.0,81.89999999999999,63.8448324078143,63.211382113821124,61.24197002141326,1500.0,2.00335024E8
2000.0,0.265625,1.3763722931293564E-5,2000.0,85.39999999999999,70.76210769156826,71.20315581854044,69.70954356846472,2000.0,2.0032328E8
2500.0,0.328125,1.700277747457019E-5,2500.0,84.6,69.18422232182877,70.44145873320538,68.18181818181817,2500.0,2.0032752E8
3000.0,0.40625,2.105302594524498E-5,3000.0,84.8,69.60060798784023,70.71290944123314,69.04276985743381,3000.0,2.00398288E8
3500.0,0.609375,3.158499535250788E-5,3500.0,85.7,71.39931358352601,72.44701348747591,71.285140562249,3500.0,2.00423472E8
4000.0,0.71875,3.7258069755302535E-5,4000.0,86.1,72.14071544246156,73.32053742802303,71.2215320910973,4000.0,2.00494648E8
4500.0,0.890625,4.6176317943415295E-5,4500.0,87.1,74.24944107313956,75.0,74.30278884462152,4500.0,2.00571496E8
5000.0,0.96875,5.022924283467647E-5,5000.0,86.1,72.21889115401527,72.42063492063492,73.32053742802303,5000.0,2.00530712E8
5500.0,1.046875,5.428187878957639E-5,5500.0,84.8,69.42880128720836,69.04276985743381,69.7211155378486,5500.0,2.00516416E8
6000.0,1.140625,5.914485858132442E-5,6000.0,85.0,70.00527907088352,68.87966804979253,69.26229508196721,6000.0,2.00508856E8
6500.0,1.234375,6.40079970859612E-5,6500.0,85.1,70.14554547494629,69.59183673469387,70.8984375,6500.0,2.005154E8
7000.0,1.390625,7.21154462856551E-5,7000.0,86.6,73.18873927049361,72.14137214137214,72.42798353909464,7000.0,2.0057028E8
7500.0,1.578125,8.184763214861353E-5,7500.0,87.9,75.7705369729591,74.94824016563147,74.0343347639485,7500.0,2.00637216E8
8000.0,1.765625,9.15839852920423E-5,8000.0,87.7,75.39015606242498,75.59523809523809,75.10121457489879,8000.0,2.00723128E8
8500.0,1.9375,1.005109545076266E-4,8500.0,90.10000000000001,80.19382047198727,80.04032258064517,80.0,8500.0,2.00767632E8
9000.0,2.0625,1.0700362456393325E-4,9000.0,89.4,78.80025439694724,77.96257796257797,78.32310838445808,9000.0,2.007778E8
9500.0,2.25,1.1674398666299466E-4,9500.0,87.1,74.19772940018721,74.90272373540856,73.51129363449692,9500.0,2.00805776E8
10000.0,2.515625,1.3054551789537072E-4,10000.0,87.0,73.99875194009311,74.0,73.19587628865979,10000.0,2.00844848E8
